time,x,y,z,mag,lagX0,lagX1,lagX2,lagX0.1,lagX1.1,lagX2.1,lagY0,lagY1,lagY2,activity,name
1672835408455100200,-466.4374894784159,74.3301898249226,-124.19592673283954,488.3784771336316,-466.4374894784159,,,-466.4374894784159,,,74.3301898249226,,,downstairs,karol
1672835408465100200,-464.5835023185837,72.9569693467669,-126.13306354506068,486.8984490857707,-464.5835023185837,-466.4374894784159,,-464.5835023185837,-466.4374894784159,,72.9569693467669,74.3301898249226,,downstairs,karol
1672835408475100200,-467.3119054688879,74.15746914263546,-124.9030732305066,489.36747432275166,-467.3119054688879,-464.5835023185837,-466.4374894784159,-467.3119054688879,-464.5835023185837,-466.4374894784159,74.15746914263546,72.9569693467669,74.3301898249226,downstairs,karol
1672835408485100200,-465.9736807126024,75.04215665068463,-123.88309623966173,487.9649761259116,-465.9736807126024,-467.3119054688879,-464.5835023185837,-465.9736807126024,-467.3119054688879,-464.5835023185837,75.04215665068463,74.15746914263546,72.9569693467669,downstairs,karol
1672835408495100200,-466.73361910100834,74.2573687606515,-126.88876801255198,489.3415856660087,-466.73361910100834,-465.9736807126024,-467.3119054688879,-466.73361910100834,-465.9736807126024,-467.3119054688879,74.2573687606515,75.04215665068463,74.15746914263546,downstairs,karol
1672835408505100200,-466.7359008789063,74.25502014160156,-126.8977508544922,489.34573499459736,-466.7359008789063,-466.73361910100834,-465.9736807126024,-466.7359008789063,-466.73361910100834,-465.9736807126024,74.25502014160156,74.2573687606515,75.04215665068463,downstairs,karol
1672835408515100200,-465.7192830693368,74.94006206984237,-126.86323176379112,488.4718447353975,-465.7192830693368,-466.7359008789063,-466.73361910100834,-465.7192830693368,-466.7359008789063,-466.73361910100834,74.94006206984237,74.25502014160156,74.2573687606515,downstairs,karol
1672835408525100200,-465.0805653460976,74.34166490409551,-127.48534451664126,487.93352874124696,-465.0805653460976,-465.7192830693368,-466.7359008789063,-465.0805653460976,-465.7192830693368,-466.7359008789063,74.34166490409551,74.94006206984237,74.25502014160156,downstairs,karol
1672835408535100200,-466.76909292004194,75.32245495790401,-128.0982291426167,489.8530541251719,-466.76909292004194,-465.0805653460976,-465.7192830693368,-466.76909292004194,-465.0805653460976,-465.7192830693368,75.32245495790401,74.34166490409551,74.94006206984237,downstairs,karol
1672835408545100200,-465.8929172794194,76.16862175793823,-128.52986939080068,489.26250279093335,-465.8929172794194,-466.76909292004194,-465.0805653460976,-465.8929172794194,-466.76909292004194,-465.0805653460976,76.16862175793823,75.32245495790401,74.34166490409551,downstairs,karol
