time,x,y,z,mag,lagX0,lagX1,lagX2,lagX0.1,lagX1.1,lagX2.1,lagY0,lagY1,lagY2,activity,name
1672332713374049300,-405.3259914012258,92.49264463126798,-139.7631233505659,438.608913800185,-405.3259914012258,,,-405.3259914012258,,,92.49264463126798,,,lying,karol
1672332713384049300,-404.1924401322872,92.25458726725468,-140.93242420811885,437.8862703089939,-404.1924401322872,-405.3259914012258,,-404.1924401322872,-405.3259914012258,,92.25458726725468,92.49264463126798,,lying,karol
1672332713394049300,-403.047227223379,92.20596433888709,-140.95129138587535,436.8252210844335,-403.047227223379,-404.1924401322872,-405.3259914012258,-403.047227223379,-404.1924401322872,-405.3259914012258,92.20596433888709,92.25458726725468,92.49264463126798,lying,karol
1672332713404049300,-403.7324995376178,91.73583308133207,-141.39962346385033,437.5034260091425,-403.7324995376178,-403.047227223379,-404.1924401322872,-403.7324995376178,-403.047227223379,-404.1924401322872,91.73583308133207,92.20596433888709,92.25458726725468,lying,karol
1672332713414049300,-405.0106211743811,91.28805827746476,-140.79536941390205,438.3953112164008,-405.0106211743811,-403.7324995376178,-403.047227223379,-405.0106211743811,-403.7324995376178,-403.047227223379,91.28805827746476,91.73583308133207,92.20596433888709,lying,karol
1672332713424049300,-405.3614851080262,92.53827626860344,-141.34151146605467,439.1567932381985,-405.3614851080262,-405.0106211743811,-403.7324995376178,-405.3614851080262,-405.0106211743811,-403.7324995376178,92.53827626860344,91.28805827746476,91.73583308133207,lying,karol
1672332713434049300,-404.6154209413984,92.57650438985964,-141.69418371676707,438.5901158573819,-404.6154209413984,-405.3614851080262,-405.0106211743811,-404.6154209413984,-405.3614851080262,-405.0106211743811,92.57650438985964,92.53827626860344,91.28805827746476,lying,karol
1672332713444049300,-402.76688146603016,91.92932454063404,-141.22834877509408,436.597764554639,-402.76688146603016,-404.6154209413984,-405.3614851080262,-402.76688146603016,-404.6154209413984,-405.3614851080262,91.92932454063404,92.57650438985964,92.53827626860344,lying,karol
1672332713454049300,-403.56522151790335,92.2290780559334,-141.7962877170215,437.58116740574,-403.56522151790335,-402.76688146603016,-404.6154209413984,-403.56522151790335,-402.76688146603016,-404.6154209413984,92.2290780559334,91.92932454063404,92.57650438985964,lying,karol
1672332713464049300,-403.0424084829038,93.783137537952,-141.7399016778623,437.4113163257352,-403.0424084829038,-403.56522151790335,-402.76688146603016,-403.0424084829038,-403.56522151790335,-402.76688146603016,93.783137537952,92.2290780559334,91.92932454063404,lying,karol
