time,x,y,z,mag,lagX0,lagX1,lagX2,lagX0.1,lagX1.1,lagX2.1,lagY0,lagY1,lagY2,activity,name
1672836294634103600,-470.7613063720518,44.999647187927856,-159.45620470369468,499.06658578056033,-470.7613063720518,,,-470.7613063720518,,,44.999647187927856,,,walking,karol
1672836294644103600,-470.8025172586686,45.08068181980127,-160.3832235125218,499.4097080701422,-470.8025172586686,-470.7613063720518,,-470.8025172586686,-470.7613063720518,,45.08068181980127,44.999647187927856,,walking,karol
1672836294654103600,-469.0690004761777,43.89812242097838,-160.04928116612737,497.5626038616665,-469.0690004761777,-470.8025172586686,-470.7613063720518,-469.0690004761777,-470.8025172586686,-470.7613063720518,43.89812242097838,45.08068181980127,44.999647187927856,walking,karol
1672836294664103600,-467.4726409912114,43.32746022461228,-161.70991819512284,496.5461071516791,-467.4726409912114,-469.0690004761777,-470.8025172586686,-467.4726409912114,-469.0690004761777,-470.8025172586686,43.32746022461228,43.89812242097838,45.08068181980127,walking,karol
1672836294674103600,-468.1631066464344,42.73241769799826,-160.24184248113812,496.6691071819413,-468.1631066464344,-467.4726409912114,-469.0690004761777,-468.1631066464344,-467.4726409912114,-469.0690004761777,42.73241769799826,43.32746022461228,43.89812242097838,walking,karol
1672836294684103600,-466.5962125727546,42.84567124568696,-161.15931016471177,495.4998490257071,-466.5962125727546,-468.1631066464344,-467.4726409912114,-466.5962125727546,-468.1631066464344,-467.4726409912114,42.84567124568696,42.73241769799826,43.32746022461228,walking,karol
1672836294694103600,-465.66767452011,42.03892009455499,-161.7089273065276,494.73571840560624,-465.66767452011,-466.5962125727546,-468.1631066464344,-465.66767452011,-466.5962125727546,-468.1631066464344,42.03892009455499,42.84567124568696,42.73241769799826,walking,karol
1672836294704103600,-467.96274108019816,42.36691658606927,-159.93267269248588,496.3492142180396,-467.96274108019816,-465.66767452011,-466.5962125727546,-467.96274108019816,-465.66767452011,-466.5962125727546,42.36691658606927,42.03892009455499,42.84567124568696,walking,karol
1672836294714103600,-469.38000564273534,42.96119729102428,-160.31649397648772,497.8600530377646,-469.38000564273534,-467.96274108019816,-465.66767452011,-469.38000564273534,-467.96274108019816,-465.66767452011,42.96119729102428,42.36691658606927,42.03892009455499,walking,karol
1672836294724103600,-467.37777182554015,43.38689589090426,-159.7799680738074,495.8367095418831,-467.37777182554015,-469.38000564273534,-467.96274108019816,-467.37777182554015,-469.38000564273534,-467.96274108019816,43.38689589090426,42.96119729102428,42.36691658606927,walking,karol
