time,x,y,z,mag,lagX0,lagX1,lagX2,lagX0.1,lagX1.1,lagX2.1,lagY0,lagY1,lagY2,activity,name
1674889792548584700,-60.29258728027344,-94.14378356933594,295.4556884765625,315.8992116464663,-60.29258728027344,,,-60.29258728027344,,,-94.14378356933594,,,downstairs,kuba
1674889792558584700,-60.319942957839785,-94.34799410771176,295.21529669562085,315.740575336255,-60.319942957839785,-60.29258728027344,,-60.319942957839785,-60.29258728027344,,-94.34799410771176,-94.14378356933594,,downstairs,kuba
1674889792568584700,-60.477726922545685,-94.34626274429672,295.2822309767017,315.83281760784786,-60.477726922545685,-60.319942957839785,-60.29258728027344,-60.477726922545685,-60.319942957839785,-60.29258728027344,-94.34626274429672,-94.34799410771176,-94.14378356933594,downstairs,kuba
1674889792578584700,-60.15026985141894,-94.21746237212064,295.49267264299937,315.9286387220115,-60.15026985141894,-60.477726922545685,-60.319942957839785,-60.15026985141894,-60.477726922545685,-60.319942957839785,-94.21746237212064,-94.34626274429672,-94.34799410771176,downstairs,kuba
1674889792588584700,-60.476702155139535,-94.27935620575728,295.55835389403484,316.0708291928963,-60.476702155139535,-60.15026985141894,-60.477726922545685,-60.476702155139535,-60.15026985141894,-60.477726922545685,-94.27935620575728,-94.21746237212064,-94.34626274429672,downstairs,kuba
1674889792598584700,-60.62815463742955,-94.16069454485252,295.78838314459045,316.27958697203354,-60.62815463742955,-60.476702155139535,-60.15026985141894,-60.62815463742955,-60.476702155139535,-60.15026985141894,-94.16069454485252,-94.27935620575728,-94.21746237212064,downstairs,kuba
1674889792608584700,-60.59500818751902,-94.18243387660613,296.1367622220782,316.60553976129734,-60.59500818751902,-60.62815463742955,-60.476702155139535,-60.59500818751902,-60.62815463742955,-60.476702155139535,-94.18243387660613,-94.16069454485252,-94.27935620575728,downstairs,kuba
1674889792618584700,-60.35842748723484,-94.29419081390758,296.3490938508985,316.7922341476035,-60.35842748723484,-60.59500818751902,-60.62815463742955,-60.35842748723484,-60.59500818751902,-60.62815463742955,-94.29419081390758,-94.18243387660613,-94.16069454485252,downstairs,kuba
1674889792628584700,-60.67413470649862,-94.38038548162214,296.4273828752664,316.95141757739736,-60.67413470649862,-60.35842748723484,-60.59500818751902,-60.67413470649862,-60.35842748723484,-60.59500818751902,-94.38038548162214,-94.29419081390758,-94.18243387660613,downstairs,kuba
1674889792638584700,-60.4238232108218,-94.280478010096,296.4194438503658,316.86642870109324,-60.4238232108218,-60.67413470649862,-60.35842748723484,-60.4238232108218,-60.67413470649862,-60.35842748723484,-94.280478010096,-94.38038548162214,-94.29419081390758,downstairs,kuba
1674889792648584700,-60.59991601318234,-94.18313249092778,296.4061738967095,316.8586943586917,-60.59991601318234,-60.4238232108218,-60.67413470649862,-60.59991601318234,-60.4238232108218,-60.67413470649862,-94.18313249092778,-94.280478010096,-94.38038548162214,downstairs,kuba
1674889792658584700,-60.68930478018461,-94.17898243871772,296.63319675102025,317.0869373888239,-60.68930478018461,-60.59991601318234,-60.4238232108218,-60.68930478018461,-60.59991601318234,-60.4238232108218,-94.17898243871772,-94.18313249092778,-94.280478010096,downstairs,kuba
1674889792668584700,-60.8358764262812,-94.1512147874915,296.74767867749085,317.2138709246389,-60.8358764262812,-60.68930478018461,-60.59991601318234,-60.8358764262812,-60.68930478018461,-60.59991601318234,-94.1512147874915,-94.17898243871772,-94.18313249092778,downstairs,kuba
1674889792678584700,-60.852978826402406,-94.048392040525,296.906065670218,317.33483406210337,-60.852978826402406,-60.8358764262812,-60.68930478018461,-60.852978826402406,-60.8358764262812,-60.68930478018461,-94.048392040525,-94.1512147874915,-94.17898243871772,downstairs,kuba
1674889792688584700,-60.7548977930496,-93.94726554450608,297.03844659961845,317.4099637179782,-60.7548977930496,-60.852978826402406,-60.8358764262812,-60.7548977930496,-60.852978826402406,-60.8358764262812,-93.94726554450608,-94.048392040525,-94.1512147874915,downstairs,kuba
1674889792698584700,-60.66815110205121,-93.88378278588962,297.2637419202058,317.5854554111887,-60.66815110205121,-60.7548977930496,-60.852978826402406,-60.66815110205121,-60.7548977930496,-60.852978826402406,-93.88378278588962,-93.94726554450608,-94.048392040525,downstairs,kuba
1674889792708584700,-61.14910739883549,-93.9069082392696,297.32109725493274,317.7381872290614,-61.14910739883549,-60.66815110205121,-60.7548977930496,-61.14910739883549,-60.66815110205121,-60.7548977930496,-93.9069082392696,-93.88378278588962,-93.94726554450608,downstairs,kuba
1674889792718584700,-61.05963589654753,-93.82604908568796,297.4385418226024,317.80700556218846,-61.05963589654753,-61.14910739883549,-60.66815110205121,-61.05963589654753,-61.14910739883549,-60.66815110205121,-93.82604908568796,-93.9069082392696,-93.88378278588962,downstairs,kuba
1674889792728584700,-60.90363744619141,-93.7456108681705,297.642450669255,317.9442105961728,-60.90363744619141,-61.05963589654753,-61.14910739883549,-60.90363744619141,-61.05963589654753,-61.14910739883549,-93.7456108681705,-93.82604908568796,-93.9069082392696,downstairs,kuba
1674889792738584700,-61.0990512176402,-93.68750933807152,297.7764836143284,318.0900464638613,-61.0990512176402,-60.90363744619141,-61.05963589654753,-61.0990512176402,-60.90363744619141,-61.05963589654753,-93.68750933807152,-93.7456108681705,-93.82604908568796,downstairs,kuba
1674889792748584700,-61.21422055654386,-93.54876044986256,297.9163215881684,318.2022722242503,-61.21422055654386,-61.0990512176402,-60.90363744619141,-61.21422055654386,-61.0990512176402,-60.90363744619141,-93.54876044986256,-93.68750933807152,-93.7456108681705,downstairs,kuba
1674889792758584700,-61.45523430354551,-93.50972978603625,298.10330807864176,318.4123076694599,-61.45523430354551,-61.21422055654386,-61.0990512176402,-61.45523430354551,-61.21422055654386,-61.0990512176402,-93.50972978603625,-93.54876044986256,-93.68750933807152,downstairs,kuba
1674889792768584700,-61.56361480676857,-93.47481407824492,298.175762921617,318.49082424604785,-61.56361480676857,-61.45523430354551,-61.21422055654386,-61.56361480676857,-61.45523430354551,-61.21422055654386,-93.47481407824492,-93.50972978603625,-93.54876044986256,downstairs,kuba
1674889792778584700,-61.50018965319895,-93.35822177832644,298.0946469274178,318.36841776120394,-61.50018965319895,-61.56361480676857,-61.45523430354551,-61.50018965319895,-61.56361480676857,-61.45523430354551,-93.35822177832644,-93.47481407824492,-93.50972978603625,downstairs,kuba
1674889792788584700,-61.49519914831829,-93.26403016658966,297.9291952387484,318.18492141648403,-61.49519914831829,-61.50018965319895,-61.56361480676857,-61.49519914831829,-61.50018965319895,-61.56361480676857,-93.26403016658966,-93.35822177832644,-93.47481407824492,downstairs,kuba
1674889792798584700,-61.255473977852645,-93.20361154552384,297.7499448926704,317.9531034303149,-61.255473977852645,-61.49519914831829,-61.50018965319895,-61.255473977852645,-61.49519914831829,-61.50018965319895,-93.20361154552384,-93.26403016658966,-93.35822177832644,downstairs,kuba
1674889792808584700,-61.27058457130906,-93.16897495495412,297.61206635432944,317.8167466757543,-61.27058457130906,-61.255473977852645,-61.49519914831829,-61.27058457130906,-61.255473977852645,-61.49519914831829,-93.16897495495412,-93.20361154552384,-93.26403016658966,downstairs,kuba
1674889792818584700,-61.500695939396685,-93.08574746063374,297.52202651303594,317.75249525654186,-61.500695939396685,-61.27058457130906,-61.255473977852645,-61.500695939396685,-61.27058457130906,-61.255473977852645,-93.08574746063374,-93.16897495495412,-93.20361154552384,downstairs,kuba
