time,x,y,z,mag,lagX0,lagX1,lagX2,lagX0.1,lagX1.1,lagX2.1,lagY0,lagY1,lagY2,activity,name
1669637333855199500,-44.8066576410803,-146.2612432713612,261.77136625543017,303.19009885463583,-44.8066576410803,,,-44.8066576410803,,,-146.2612432713612,,,downstairs,kuba
1669637333865199500,-44.70148059663644,-146.25037099843718,261.91810069436684,303.29603501538963,-44.70148059663644,-44.8066576410803,,-44.70148059663644,-44.8066576410803,,-146.25037099843718,-146.2612432713612,,downstairs,kuba
1669637333875199500,-44.86172801686911,-146.44043181327186,261.9160622437469,303.4096214222406,-44.86172801686911,-44.70148059663644,-44.8066576410803,-44.86172801686911,-44.70148059663644,-44.8066576410803,-146.44043181327186,-146.25037099843718,-146.2612432713612,downstairs,kuba
1669637333885199500,-44.54218993385891,-146.552662404494,261.7929556837141,303.3104699603439,-44.54218993385891,-44.86172801686911,-44.70148059663644,-44.54218993385891,-44.86172801686911,-44.70148059663644,-146.552662404494,-146.44043181327186,-146.25037099843718,downstairs,kuba
1669637333895199500,-44.47247405315657,-146.40712351882323,261.6779941483244,303.13069687340334,-44.47247405315657,-44.54218993385891,-44.86172801686911,-44.47247405315657,-44.54218993385891,-44.86172801686911,-146.40712351882323,-146.552662404494,-146.44043181327186,downstairs,kuba
1669637333905199500,-44.533317050171206,-146.2794379485063,261.7124630382484,303.1077425661847,-44.533317050171206,-44.47247405315657,-44.54218993385891,-44.533317050171206,-44.47247405315657,-44.54218993385891,-146.2794379485063,-146.40712351882323,-146.552662404494,downstairs,kuba
1669637333915199500,-44.78873946175884,-146.33710749642154,261.7714680813382,303.22414434614467,-44.78873946175884,-44.533317050171206,-44.47247405315657,-44.78873946175884,-44.533317050171206,-44.47247405315657,-146.33710749642154,-146.2794379485063,-146.40712351882323,downstairs,kuba
1669637333925199500,-44.81399512912043,-146.30206856949047,261.7211816191941,303.16755488556475,-44.81399512912043,-44.78873946175884,-44.533317050171206,-44.81399512912043,-44.78873946175884,-44.533317050171206,-146.30206856949047,-146.33710749642154,-146.2794379485063,downstairs,kuba
1669637333935199500,-44.97170952634103,-146.2655739318793,261.661377026294,303.12167359435057,-44.97170952634103,-44.81399512912043,-44.78873946175884,-44.97170952634103,-44.81399512912043,-44.78873946175884,-146.2655739318793,-146.30206856949047,-146.33710749642154,downstairs,kuba
1669637333945199500,-44.679618123686375,-146.72789452167163,261.66271801353486,303.3030189508042,-44.679618123686375,-44.97170952634103,-44.81399512912043,-44.679618123686375,-44.97170952634103,-44.81399512912043,-146.72789452167163,-146.2655739318793,-146.30206856949047,downstairs,kuba
