time,x,y,z,mag,lagX0,lagX1,lagX2,lagX0.1,lagX1.1,lagX2.1,lagY0,lagY1,lagY2,activity,name
1675001495367235800,-45.9295654296875,-89.34152221679688,285.47869873046875,302.6376050682005,-45.9295654296875,,,-45.9295654296875,,,-89.34152221679688,,,squats,kuba
1675001495377235800,-46.05093693118696,-89.68466388864071,285.3856516283664,302.6697835668534,-46.05093693118696,-45.9295654296875,,-46.05093693118696,-45.9295654296875,,-89.68466388864071,-89.34152221679688,,squats,kuba
1675001495387235800,-45.92170539289998,-89.7062422098768,285.18480478320066,302.46716482428576,-45.92170539289998,-46.05093693118696,-45.9295654296875,-45.92170539289998,-46.05093693118696,-45.9295654296875,-89.7062422098768,-89.68466388864071,-89.34152221679688,squats,kuba
1675001495397235800,-45.8304226404356,-89.81333878449607,285.2498126143578,302.5463915824247,-45.8304226404356,-45.92170539289998,-46.05093693118696,-45.8304226404356,-45.92170539289998,-46.05093693118696,-89.81333878449607,-89.7062422098768,-89.68466388864071,squats,kuba
1675001495407235800,-45.97921857608266,-89.90059914997285,285.309538600157,302.65118384804936,-45.97921857608266,-45.8304226404356,-45.92170539289998,-45.97921857608266,-45.8304226404356,-45.92170539289998,-89.90059914997285,-89.81333878449607,-89.7062422098768,squats,kuba
1675001495417235800,-45.86932161578483,-89.72822530131309,285.30109819027166,302.57538847333655,-45.86932161578483,-45.97921857608266,-45.8304226404356,-45.86932161578483,-45.97921857608266,-45.8304226404356,-89.72822530131309,-89.90059914997285,-89.81333878449607,squats,kuba
1675001495427235800,-45.98350206232767,-89.91112662745502,285.285067903737,302.63189376233,-45.98350206232767,-45.86932161578483,-45.97921857608266,-45.98350206232767,-45.86932161578483,-45.97921857608266,-89.91112662745502,-89.72822530131309,-89.90059914997285,squats,kuba
1675001495437235800,-46.24574188718432,-89.92636932251497,285.2842731552644,302.67563009260084,-46.24574188718432,-45.98350206232767,-45.86932161578483,-46.24574188718432,-45.98350206232767,-45.86932161578483,-89.92636932251497,-89.91112662745502,-89.72822530131309,squats,kuba
1675001495447235800,-46.18458888998356,-90.02714689089338,285.2807998678259,302.6929767957589,-46.18458888998356,-46.24574188718432,-45.98350206232767,-46.18458888998356,-46.24574188718432,-45.98350206232767,-90.02714689089338,-89.92636932251497,-89.91112662745502,squats,kuba
1675001495457235800,-45.68743719439738,-90.11973486462324,285.23631225587,302.6031433392425,-45.68743719439738,-46.18458888998356,-46.24574188718432,-45.68743719439738,-46.18458888998356,-46.24574188718432,-90.11973486462324,-90.02714689089338,-89.92636932251497,squats,kuba
1675001495467235800,-45.77878783983841,-90.06410328293899,285.2894839862072,302.6505076641392,-45.77878783983841,-45.68743719439738,-46.18458888998356,-45.77878783983841,-45.68743719439738,-46.18458888998356,-90.06410328293899,-90.11973486462324,-90.02714689089338,squats,kuba
1675001495477235800,-45.995436528779976,-90.0822223269646,285.0382606019129,302.45197464688795,-45.995436528779976,-45.77878783983841,-45.68743719439738,-45.995436528779976,-45.77878783983841,-45.68743719439738,-90.0822223269646,-90.06410328293899,-90.11973486462324,squats,kuba
1675001495487235800,-45.916912379135,-90.1824263104828,285.04187006107566,302.47330550908777,-45.916912379135,-45.995436528779976,-45.77878783983841,-45.916912379135,-45.995436528779976,-45.77878783983841,-90.1824263104828,-90.0822223269646,-90.06410328293899,squats,kuba
1675001495497235800,-45.95902369963572,-90.14207040211208,285.2110928731652,302.6271504900184,-45.95902369963572,-45.916912379135,-45.995436528779976,-45.95902369963572,-45.916912379135,-45.995436528779976,-90.14207040211208,-90.1824263104828,-90.0822223269646,squats,kuba
1675001495507235800,-45.95926354033183,-90.05378666489533,285.2409617015789,302.6290545045168,-45.95926354033183,-45.95902369963572,-45.916912379135,-45.95926354033183,-45.95902369963572,-45.916912379135,-90.05378666489533,-90.14207040211208,-90.1824263104828,squats,kuba
1675001495517235800,-46.02937456298968,-90.10037031320896,285.2104841460252,302.6248507972329,-46.02937456298968,-45.95926354033183,-45.95902369963572,-46.02937456298968,-45.95926354033183,-45.95902369963572,-90.10037031320896,-90.05378666489533,-90.14207040211208,squats,kuba
1675001495527235800,-45.77727028611866,-90.17936601461388,285.1315255266233,302.5357224837846,-45.77727028611866,-46.02937456298968,-45.95926354033183,-45.77727028611866,-46.02937456298968,-45.95926354033183,-90.17936601461388,-90.10037031320896,-90.05378666489533,squats,kuba
1675001495537235800,-45.600050647583394,-90.39677271360983,284.90135515031034,302.3569468402892,-45.600050647583394,-45.77727028611866,-46.02937456298968,-45.600050647583394,-45.77727028611866,-46.02937456298968,-90.39677271360983,-90.17936601461388,-90.10037031320896,squats,kuba
1675001495547235800,-45.45181869538982,-90.48560290992542,284.8514099897332,302.3141378265832,-45.45181869538982,-45.600050647583394,-45.77727028611866,-45.45181869538982,-45.600050647583394,-45.77727028611866,-90.48560290992542,-90.39677271360983,-90.17936601461388,squats,kuba
1675001495557235800,-45.44313344761079,-90.4106368125108,284.7493445328401,302.1942270101518,-45.44313344761079,-45.45181869538982,-45.600050647583394,-45.44313344761079,-45.45181869538982,-45.600050647583394,-90.4106368125108,-90.48560290992542,-90.39677271360983,squats,kuba
1675001495567235800,-45.498965220884,-90.40035000242048,284.45942237620267,301.9263852254953,-45.498965220884,-45.44313344761079,-45.45181869538982,-45.498965220884,-45.44313344761079,-45.45181869538982,-90.40035000242048,-90.4106368125108,-90.48560290992542,squats,kuba
1675001495577235800,-45.41339201492861,-90.35554683658404,284.364637468472,301.8107818833105,-45.41339201492861,-45.498965220884,-45.44313344761079,-45.41339201492861,-45.498965220884,-45.44313344761079,-90.35554683658404,-90.40035000242048,-90.4106368125108,squats,kuba
1675001495587235800,-45.26295588533191,-90.0842664454415,284.2710503026811,301.61886591637506,-45.26295588533191,-45.41339201492861,-45.498965220884,-45.26295588533191,-45.41339201492861,-45.498965220884,-90.0842664454415,-90.35554683658404,-90.40035000242048,squats,kuba
1675001495597235800,-44.93420795921249,-89.97766084535284,283.9052949529138,301.1930925476613,-44.93420795921249,-45.26295588533191,-45.41339201492861,-44.93420795921249,-45.26295588533191,-45.41339201492861,-89.97766084535284,-90.0842664454415,-90.35554683658404,squats,kuba
