time,x,y,z,mag,lagX0,lagX1,lagX2,lagX0.1,lagX1.1,lagX2.1,lagY0,lagY1,lagY2,activity,name
1675001129996050000,-45.30108642578125,-63.171875,306.263916015625,315.97541118827195,-45.30108642578125,,,-45.30108642578125,,,-63.171875,,,standing,kuba
1675001130006050000,-45.30738820564092,-63.2826323931873,306.30075014778294,316.0341762052365,-45.30738820564092,-45.30108642578125,,-45.30738820564092,-45.30108642578125,,-63.2826323931873,-63.171875,,standing,kuba
1675001130016050000,-45.0639386672433,-63.32950077369394,306.141419362176,315.854322252424,-45.0639386672433,-45.30738820564092,-45.30108642578125,-45.0639386672433,-45.30738820564092,-45.30108642578125,-63.32950077369394,-63.2826323931873,-63.171875,standing,kuba
1675001130026050000,-45.1968660749302,-63.50075123934666,306.0932464886479,315.8610100295963,-45.1968660749302,-45.0639386672433,-45.30738820564092,-45.1968660749302,-45.0639386672433,-45.30738820564092,-63.50075123934666,-63.32950077369394,-63.2826323931873,standing,kuba
1675001130036050000,-45.394957366375806,-63.51534874519414,306.17099765021885,315.9676905676418,-45.394957366375806,-45.1968660749302,-45.0639386672433,-45.394957366375806,-45.1968660749302,-45.0639386672433,-63.51534874519414,-63.50075123934666,-63.32950077369394,standing,kuba
1675001130046050000,-45.243252278182105,-63.51190198517615,306.0319135263956,315.810458451124,-45.243252278182105,-45.394957366375806,-45.1968660749302,-45.243252278182105,-45.394957366375806,-45.1968660749302,-63.51190198517615,-63.51534874519414,-63.50075123934666,standing,kuba
1675001130056050000,-45.57240666340081,-63.49498702432889,306.09112177923856,315.9117478954949,-45.57240666340081,-45.243252278182105,-45.394957366375806,-45.57240666340081,-45.243252278182105,-45.394957366375806,-63.49498702432889,-63.51190198517615,-63.51534874519414,standing,kuba
1675001130066050000,-45.273449500204045,-63.50029337792069,305.9683645116927,315.7508710529388,-45.273449500204045,-45.57240666340081,-45.243252278182105,-45.273449500204045,-45.57240666340081,-45.243252278182105,-63.50029337792069,-63.49498702432889,-63.51190198517615,standing,kuba
1675001130076050000,-45.55036211948457,-63.56385038600877,305.8900866624714,315.727641620884,-45.55036211948457,-45.273449500204045,-45.57240666340081,-45.55036211948457,-45.273449500204045,-45.57240666340081,-63.56385038600877,-63.50029337792069,-63.49498702432889,standing,kuba
1675001130086050000,-45.112785609645634,-63.67803426790232,305.79501907872555,315.5957052417604,-45.112785609645634,-45.55036211948457,-45.273449500204045,-45.112785609645634,-45.55036211948457,-45.273449500204045,-63.67803426790232,-63.56385038600877,-63.50029337792069,standing,kuba
1675001130096050000,-45.55305313605825,-63.59136987150842,305.46913092140267,315.32575682622024,-45.55305313605825,-45.112785609645634,-45.55036211948457,-45.55305313605825,-45.112785609645634,-45.55036211948457,-63.59136987150842,-63.67803426790232,-63.56385038600877,standing,kuba
1675001130106050000,-45.576599719280026,-63.45804298086504,305.37306987141795,315.2092344199749,-45.576599719280026,-45.55305313605825,-45.112785609645634,-45.576599719280026,-45.55305313605825,-45.112785609645634,-63.45804298086504,-63.59136987150842,-63.67803426790232,standing,kuba
1675001130116050000,-45.274106754992935,-63.34709961978686,305.1189929688585,314.89712549185333,-45.274106754992935,-45.576599719280026,-45.55305313605825,-45.274106754992935,-45.576599719280026,-45.55305313605825,-63.34709961978686,-63.45804298086504,-63.59136987150842,standing,kuba
1675001130126050000,-45.15025272537461,-63.29002727873341,304.70683939998816,314.4684894408948,-45.15025272537461,-45.274106754992935,-45.576599719280026,-45.15025272537461,-45.274106754992935,-45.576599719280026,-63.29002727873341,-63.34709961978686,-63.45804298086504,standing,kuba
1675001130136050000,-45.23594641596794,-63.09143896750449,304.6339653608706,314.3702806733276,-45.23594641596794,-45.15025272537461,-45.274106754992935,-45.23594641596794,-45.15025272537461,-45.274106754992935,-63.09143896750449,-63.29002727873341,-63.34709961978686,standing,kuba
