time,x,y,z,mag,lagX0,lagX1,lagX2,lagX0.1,lagX1.1,lagX2.1,lagY0,lagY1,lagY2,activity,name
1674923810190430200,-172.62426899376325,-55.71110355786837,-2.643238495121681,181.4107273978272,-172.62426899376325,,,-172.62426899376325,,,-55.71110355786837,,,sitting,michal
1674923810200430200,-173.8289222474924,-57.20383071257055,-2.194042750693276,183.012530394804,-173.8289222474924,-172.62426899376325,,-173.8289222474924,-172.62426899376325,,-57.20383071257055,-55.71110355786837,,sitting,michal
1674923810210430200,-173.74028363051315,-57.57501786758597,-1.707517295612851,183.0395707320655,-173.74028363051315,-173.8289222474924,-172.62426899376325,-173.74028363051315,-173.8289222474924,-172.62426899376325,-57.57501786758597,-57.20383071257055,-55.71110355786837,sitting,michal
1674923810220430200,-173.37926616105065,-58.086491544518594,-1.2340565260267842,182.85495161467543,-173.37926616105065,-173.74028363051315,-173.8289222474924,-173.37926616105065,-173.74028363051315,-173.8289222474924,-58.086491544518594,-57.57501786758597,-57.20383071257055,sitting,michal
1674923810230430200,-173.33304107795993,-58.07310628728595,-0.7307970819572054,182.8041653452217,-173.33304107795993,-173.37926616105065,-173.74028363051315,-173.33304107795993,-173.37926616105065,-173.74028363051315,-58.07310628728595,-58.086491544518594,-57.57501786758597,sitting,michal
1674923810240430200,-173.18382311703502,-56.61378259645259,-1.0277522641111732,182.2054149690049,-173.18382311703502,-173.33304107795993,-173.37926616105065,-173.18382311703502,-173.33304107795993,-173.37926616105065,-56.61378259645259,-58.07310628728595,-58.086491544518594,sitting,michal
1674923810250430200,-173.44830624270196,-57.202888158233634,-1.137597583336771,182.64112209567463,-173.44830624270196,-173.18382311703502,-173.33304107795993,-173.44830624270196,-173.18382311703502,-173.33304107795993,-57.202888158233634,-56.61378259645259,-58.07310628728595,sitting,michal
1674923810260430200,-172.90792938226235,-56.56894493576238,-2.3965953605035977,181.94213707585365,-172.90792938226235,-173.44830624270196,-173.18382311703502,-172.90792938226235,-173.44830624270196,-173.18382311703502,-56.56894493576238,-57.202888158233634,-56.61378259645259,sitting,michal
1674923810270430200,-172.0975713468644,-55.82509802853697,-2.2964150197804725,180.94001535129792,-172.0975713468644,-172.90792938226235,-173.44830624270196,-172.0975713468644,-172.90792938226235,-173.44830624270196,-55.82509802853697,-56.56894493576238,-57.202888158233634,sitting,michal
1674923810280430200,-173.751838387649,-56.51019064483286,-1.1788668291907292,182.71423786011863,-173.751838387649,-172.0975713468644,-172.90792938226235,-173.751838387649,-172.0975713468644,-172.90792938226235,-56.51019064483286,-55.82509802853697,-56.56894493576238,sitting,michal
1674923810290430200,-173.84358042013474,-56.63697717072497,-2.239190684583005,182.8506264994764,-173.84358042013474,-173.751838387649,-172.0975713468644,-173.84358042013474,-173.751838387649,-172.0975713468644,-56.63697717072497,-56.51019064483286,-55.82509802853697,sitting,michal
1674923810300430200,-172.5671667654905,-57.47364502657365,-3.0594108442458747,181.9120856700376,-172.5671667654905,-173.84358042013474,-173.751838387649,-172.5671667654905,-173.84358042013474,-173.751838387649,-57.47364502657365,-56.63697717072497,-56.51019064483286,sitting,michal
1674923810310430200,-172.46881867367227,-56.435405083385525,-3.1303172027405126,181.49448269136897,-172.46881867367227,-172.5671667654905,-173.84358042013474,-172.46881867367227,-172.5671667654905,-173.84358042013474,-56.435405083385525,-57.47364502657365,-56.63697717072497,sitting,michal
