time,x,y,z,mag,lagX0,lagX1,lagX2,lagX0.1,lagX1.1,lagX2.1,lagY0,lagY1,lagY2,activity,name
1674920729010292700,-209.1936838998912,-43.80169149775261,13.483802067251704,214.15508044373053,-209.1936838998912,,,-209.1936838998912,,,-43.80169149775261,,,squats,michal
1674920729020292700,-210.2740957806054,-42.91287610902894,14.718041018318376,215.1123683652732,-210.2740957806054,-209.1936838998912,,-210.2740957806054,-209.1936838998912,,-42.91287610902894,-43.80169149775261,,squats,michal
1674920729030292700,-208.11261071820496,-43.30618755419584,13.764636484231971,213.01584410078365,-208.11261071820496,-210.2740957806054,-209.1936838998912,-208.11261071820496,-210.2740957806054,-209.1936838998912,-43.30618755419584,-42.91287610902894,-43.80169149775261,squats,michal
1674920729040292700,-208.02962229966727,-44.11086801933765,14.22006914860869,213.12977923826807,-208.02962229966727,-208.11261071820496,-210.2740957806054,-208.02962229966727,-208.11261071820496,-210.2740957806054,-44.11086801933765,-43.30618755419584,-42.91287610902894,squats,michal
1674920729050292700,-211.1700704932386,-42.068409486299046,15.896875460466145,215.905674770794,-211.1700704932386,-208.02962229966727,-208.11261071820496,-211.1700704932386,-208.02962229966727,-208.11261071820496,-42.068409486299046,-44.11086801933765,-43.30618755419584,squats,michal
1674920729060292700,-209.54123066239532,-41.71273312121692,13.834716448161398,214.1001607452785,-209.54123066239532,-211.1700704932386,-208.02962229966727,-209.54123066239532,-211.1700704932386,-208.02962229966727,-41.71273312121692,-42.068409486299046,-44.11086801933765,squats,michal
1674920729070292700,-208.89727571712697,-40.92805901893698,14.255445782918214,213.34571838114,-208.89727571712697,-209.54123066239532,-211.1700704932386,-208.89727571712697,-209.54123066239532,-211.1700704932386,-40.92805901893698,-41.71273312121692,-42.068409486299046,squats,michal
1674920729080292700,-209.8429587411397,-41.85685785744599,13.661902991902949,214.4124797587451,-209.8429587411397,-208.89727571712697,-209.54123066239532,-209.8429587411397,-208.89727571712697,-209.54123066239532,-41.85685785744599,-40.92805901893698,-41.71273312121692,squats,michal
1674920729090292700,-210.26197273440465,-42.17577822416414,14.870317718257834,214.9651594933917,-210.26197273440465,-209.8429587411397,-208.89727571712697,-210.26197273440465,-209.8429587411397,-208.89727571712697,-42.17577822416414,-41.85685785744599,-40.92805901893698,squats,michal
1674920729100292700,-208.81665165574464,-40.89598871907626,14.545108315437076,213.2801821031088,-208.81665165574464,-210.26197273440465,-209.8429587411397,-208.81665165574464,-210.26197273440465,-209.8429587411397,-40.89598871907626,-42.17577822416414,-41.85685785744599,squats,michal
1674920729110292700,-208.85846193955155,-41.02672026159782,14.102258262084542,213.3164845652324,-208.85846193955155,-208.81665165574464,-210.26197273440465,-208.85846193955155,-208.81665165574464,-210.26197273440465,-41.02672026159782,-40.89598871907626,-42.17577822416414,squats,michal
