time,x,y,z,mag,lagX0,lagX1,lagX2,lagX0.1,lagX1.1,lagX2.1,lagY0,lagY1,lagY2,activity,name
1674924376602679800,-208.15083429858424,-43.81025137037058,11.664030744826974,213.0308840462997,-208.15083429858424,,,-208.15083429858424,,,-43.81025137037058,,,squats,michal
1674924376612679800,-209.1373628389981,-43.30051242161501,10.874653765990582,213.8495475930575,-209.1373628389981,-208.15083429858424,,-209.1373628389981,-208.15083429858424,,-43.30051242161501,-43.81025137037058,,squats,michal
1674924376622679800,-208.3632495711281,-45.54678272794023,10.843171539244294,213.55872156794692,-208.3632495711281,-209.1373628389981,-208.15083429858424,-208.3632495711281,-209.1373628389981,-208.15083429858424,-45.54678272794023,-43.30051242161501,-43.81025137037058,squats,michal
1674924376632679800,-207.9702656325642,-45.86648886829128,12.636567561365766,213.34256262667645,-207.9702656325642,-208.3632495711281,-209.1373628389981,-207.9702656325642,-208.3632495711281,-209.1373628389981,-45.86648886829128,-45.54678272794023,-43.30051242161501,squats,michal
1674924376642679800,-209.0082519070686,-46.20404391225504,12.35877157068217,214.4108259249764,-209.0082519070686,-207.9702656325642,-208.3632495711281,-209.0082519070686,-207.9702656325642,-208.3632495711281,-46.20404391225504,-45.86648886829128,-45.54678272794023,squats,michal
1674924376652679800,-209.4049910677689,-48.10839470752172,12.73901528075699,215.23742805504443,-209.4049910677689,-209.0082519070686,-207.9702656325642,-209.4049910677689,-209.0082519070686,-207.9702656325642,-48.10839470752172,-46.20404391225504,-45.86648886829128,squats,michal
1674924376662679800,-209.8841705580676,-47.23162594882668,12.041941687558626,215.4697192187905,-209.8841705580676,-209.4049910677689,-209.0082519070686,-209.8841705580676,-209.4049910677689,-209.0082519070686,-47.23162594882668,-48.10839470752172,-46.20404391225504,squats,michal
1674924376672679800,-209.24066824087265,-47.07352871591284,13.527194312004124,214.896624770166,-209.24066824087265,-209.8841705580676,-209.4049910677689,-209.24066824087265,-209.8841705580676,-209.4049910677689,-47.07352871591284,-47.23162594882668,-48.10839470752172,squats,michal
1674924376682679800,-209.07503102762703,-46.7926214960036,11.43136508890788,214.5520779052661,-209.07503102762703,-209.24066824087265,-209.8841705580676,-209.07503102762703,-209.24066824087265,-209.8841705580676,-46.7926214960036,-47.07352871591284,-47.23162594882668,squats,michal
1674924376692679800,-208.4949161608513,-46.898711106560896,11.51937594763351,214.0147546095829,-208.4949161608513,-209.07503102762703,-209.24066824087265,-208.4949161608513,-209.07503102762703,-209.24066824087265,-46.898711106560896,-46.7926214960036,-47.07352871591284,squats,michal
1674924376702679800,-208.81377998870184,-47.94783875235122,12.043355400076123,214.5861886596712,-208.81377998870184,-208.4949161608513,-209.07503102762703,-208.81377998870184,-208.4949161608513,-209.07503102762703,-47.94783875235122,-46.898711106560896,-46.7926214960036,squats,michal
1674924376712679800,-208.37016667086664,-48.062159285032045,12.004067118309056,214.1779520421404,-208.37016667086664,-208.81377998870184,-208.4949161608513,-208.37016667086664,-208.81377998870184,-208.4949161608513,-48.062159285032045,-47.94783875235122,-46.898711106560896,squats,michal
1674924376722679800,-208.904461930197,-46.21286580886074,11.785015663312029,214.27923318604024,-208.904461930197,-208.37016667086664,-208.81377998870184,-208.904461930197,-208.37016667086664,-208.81377998870184,-46.21286580886074,-48.062159285032045,-47.94783875235122,squats,michal
1674924376732679800,-208.77337628638944,-46.42015210927545,12.12715986433683,214.2153616672759,-208.77337628638944,-208.904461930197,-208.37016667086664,-208.77337628638944,-208.904461930197,-208.37016667086664,-46.42015210927545,-46.21286580886074,-48.062159285032045,squats,michal
1674924376742679800,-208.42567215070065,-46.046415236290784,11.080583618246145,213.7388886022036,-208.42567215070065,-208.77337628638944,-208.904461930197,-208.42567215070065,-208.77337628638944,-208.904461930197,-46.046415236290784,-46.42015210927545,-46.21286580886074,squats,michal
1674924376752679800,-211.04476333407408,-46.59660121206766,10.745018245576093,216.3945257910873,-211.04476333407408,-208.42567215070065,-208.77337628638944,-211.04476333407408,-208.42567215070065,-208.77337628638944,-46.59660121206766,-46.046415236290784,-46.42015210927545,squats,michal
