time,x,y,z,mag,lagX0,lagX1,lagX2,lagX0.1,lagX1.1,lagX2.1,lagY0,lagY1,lagY2,activity,name
1674934408995162000,-209.2423235075696,-55.584403313483584,-7.743043096852724,216.6377865354106,-209.2423235075696,,,-209.2423235075696,,,-55.584403313483584,,,walking,michal
1674934409005162000,-210.58932102052125,-55.21699447785517,-7.507767096860703,217.837428312566,-210.58932102052125,-209.2423235075696,,-210.58932102052125,-209.2423235075696,,-55.21699447785517,-55.584403313483584,,walking,michal
1674934409015162000,-209.27288304034496,-55.54130236902515,-8.124331139544752,216.67021161509567,-209.27288304034496,-210.58932102052125,-209.2423235075696,-209.27288304034496,-210.58932102052125,-209.2423235075696,-55.54130236902515,-55.21699447785517,-55.584403313483584,walking,michal
1674934409025162000,-209.43233793126103,-56.20407432694892,-7.150935122626488,216.960683109708,-209.43233793126103,-209.27288304034496,-210.58932102052125,-209.43233793126103,-209.27288304034496,-210.58932102052125,-56.20407432694892,-55.54130236902515,-55.21699447785517,walking,michal
1674934409035162000,-208.70181017385303,-55.29504481998678,-7.93581845014493,216.04852410039973,-208.70181017385303,-209.43233793126103,-209.27288304034496,-208.70181017385303,-209.43233793126103,-209.27288304034496,-55.29504481998678,-56.20407432694892,-55.54130236902515,walking,michal
1674934409045162000,-208.7415690069536,-54.92210452778078,-8.39861898131786,216.00929840643107,-208.7415690069536,-208.70181017385303,-209.43233793126103,-208.7415690069536,-208.70181017385303,-209.43233793126103,-54.92210452778078,-55.29504481998678,-56.20407432694892,walking,michal
1674934409055162000,-208.3760191372979,-56.28784103672661,-7.8063330519511505,215.9857060914016,-208.3760191372979,-208.7415690069536,-208.70181017385303,-208.3760191372979,-208.7415690069536,-208.70181017385303,-56.28784103672661,-54.92210452778078,-55.29504481998678,walking,michal
1674934409065162000,-209.69462469058564,-55.955428541768086,-8.024865064475165,217.18021103848645,-209.69462469058564,-208.3760191372979,-208.7415690069536,-209.69462469058564,-208.3760191372979,-208.7415690069536,-55.955428541768086,-56.28784103672661,-54.92210452778078,walking,michal
1674934409075162000,-209.93372374208823,-55.19904449408584,-8.21013566276787,217.22455939621688,-209.93372374208823,-209.69462469058564,-208.3760191372979,-209.93372374208823,-209.69462469058564,-208.3760191372979,-55.19904449408584,-55.955428541768086,-56.28784103672661,walking,michal
1674934409085162000,-209.6225283274415,-55.07951406800792,-7.945869005820252,216.8835957065784,-209.6225283274415,-209.93372374208823,-209.69462469058564,-209.6225283274415,-209.93372374208823,-209.69462469058564,-55.07951406800792,-55.19904449408584,-55.955428541768086,walking,michal
1674934409095162000,-209.3387731129965,-54.66209632951401,-8.624126721955772,216.52954132244412,-209.3387731129965,-209.6225283274415,-209.93372374208823,-209.3387731129965,-209.6225283274415,-209.93372374208823,-54.66209632951401,-55.07951406800792,-55.19904449408584,walking,michal
1674934409105162000,-208.5477060217081,-54.48492729022775,-8.906543655708896,215.73149864734452,-208.5477060217081,-209.3387731129965,-209.6225283274415,-208.5477060217081,-209.3387731129965,-209.6225283274415,-54.48492729022775,-54.66209632951401,-55.07951406800792,walking,michal
1674934409115162000,-207.59491331139824,-54.87534350964898,-8.227371387202913,214.8828541275732,-207.59491331139824,-208.5477060217081,-209.3387731129965,-207.59491331139824,-208.5477060217081,-209.3387731129965,-54.87534350964898,-54.48492729022775,-54.66209632951401,walking,michal
1674934409125162000,-209.3699370811652,-55.66220683200192,-8.136319830265837,216.7954139809235,-209.3699370811652,-207.59491331139824,-208.5477060217081,-209.3699370811652,-207.59491331139824,-208.5477060217081,-55.66220683200192,-54.87534350964898,-54.48492729022775,walking,michal
1674934409135162000,-209.63216061263145,-54.73270489207814,-8.390626494336168,216.8218493623068,-209.63216061263145,-209.3699370811652,-207.59491331139824,-209.63216061263145,-209.3699370811652,-207.59491331139824,-54.73270489207814,-55.66220683200192,-54.87534350964898,walking,michal
1674934409145162000,-209.0551185036094,-54.91152289531819,-7.174847554143545,216.2655690503378,-209.0551185036094,-209.63216061263145,-209.3699370811652,-209.0551185036094,-209.63216061263145,-209.3699370811652,-54.91152289531819,-54.73270489207814,-55.66220683200192,walking,michal
1674934409155162000,-209.4519457267689,-54.80456938281276,-7.363375985662591,216.6284323441204,-209.4519457267689,-209.0551185036094,-209.63216061263145,-209.4519457267689,-209.0551185036094,-209.63216061263145,-54.80456938281276,-54.91152289531819,-54.73270489207814,walking,michal
1674934409165162000,-209.85646489237777,-54.55824186649076,-8.302388937288459,216.9913990801348,-209.85646489237777,-209.4519457267689,-209.0551185036094,-209.85646489237777,-209.4519457267689,-209.0551185036094,-54.55824186649076,-54.80456938281276,-54.91152289531819,walking,michal
1674934409175162000,-208.30338719947065,-55.21302307067588,-7.891391293022579,215.64102831306283,-208.30338719947065,-209.85646489237777,-209.4519457267689,-208.30338719947065,-209.85646489237777,-209.4519457267689,-55.21302307067588,-54.55824186649076,-54.80456938281276,walking,michal
1674934409185162000,-207.83240234474133,-54.6029158517644,-7.596374449849792,215.01974511352125,-207.83240234474133,-208.30338719947065,-209.85646489237777,-207.83240234474133,-208.30338719947065,-209.85646489237777,-54.6029158517644,-55.21302307067588,-54.55824186649076,walking,michal
1674934409195162000,-209.2765969653435,-55.23141530723182,-8.439865166915629,216.6066356284369,-209.2765969653435,-207.83240234474133,-208.30338719947065,-209.2765969653435,-207.83240234474133,-208.30338719947065,-55.23141530723182,-54.6029158517644,-55.21302307067588,walking,michal
1674934409205162000,-209.0815881650516,-54.575227669863246,-8.522719009785616,216.25494843854412,-209.0815881650516,-209.2765969653435,-207.83240234474133,-209.0815881650516,-209.2765969653435,-207.83240234474133,-54.575227669863246,-55.23141530723182,-54.6029158517644,walking,michal
1674934409215162000,-207.84840081435203,-54.018497265421225,-8.96125640020119,214.94013092991267,-207.84840081435203,-209.0815881650516,-209.2765969653435,-207.84840081435203,-209.0815881650516,-209.2765969653435,-54.018497265421225,-54.575227669863246,-55.23141530723182,walking,michal
1674934409225162000,-208.4706915126007,-54.35505913802255,-9.647951595640173,215.65617228271407,-208.4706915126007,-207.84840081435203,-209.0815881650516,-208.4706915126007,-207.84840081435203,-209.0815881650516,-54.35505913802255,-54.018497265421225,-54.575227669863246,walking,michal
1674934409235162000,-208.6913479279239,-54.75015484487605,-8.567019146841913,215.92371794820053,-208.6913479279239,-208.4706915126007,-207.84840081435203,-208.6913479279239,-208.4706915126007,-207.84840081435203,-54.75015484487605,-54.35505913802255,-54.018497265421225,walking,michal
1674934409245162000,-208.40314554050303,-54.92042025234583,-8.23670677581122,215.6756058769305,-208.40314554050303,-208.6913479279239,-208.4706915126007,-208.40314554050303,-208.6913479279239,-208.4706915126007,-54.92042025234583,-54.75015484487605,-54.35505913802255,walking,michal
1674934409255162000,-209.62064177662467,-55.70714156369366,-7.524948936774682,217.0270119974527,-209.62064177662467,-208.40314554050303,-208.6913479279239,-209.62064177662467,-208.40314554050303,-208.6913479279239,-55.70714156369366,-54.92042025234583,-54.75015484487605,walking,michal
1674934409265162000,-209.7237115317949,-54.98523678722863,-6.753167929536622,216.9170733720692,-209.7237115317949,-209.62064177662467,-208.40314554050303,-209.7237115317949,-209.62064177662467,-208.40314554050303,-54.98523678722863,-55.70714156369366,-54.92042025234583,walking,michal
1674934409275162000,-209.54433946175888,-54.8703674234227,-7.4670462808577245,216.7379620689618,-209.54433946175888,-209.7237115317949,-209.62064177662467,-209.54433946175888,-209.7237115317949,-209.62064177662467,-54.8703674234227,-54.98523678722863,-55.70714156369366,walking,michal
1674934409285162000,-209.81031222335648,-55.176624244584296,-7.036601361817615,217.05838094166165,-209.81031222335648,-209.54433946175888,-209.7237115317949,-209.81031222335648,-209.54433946175888,-209.7237115317949,-55.176624244584296,-54.8703674234227,-54.98523678722863,walking,michal
1674934409295162000,-208.3874552309306,-55.62318005299288,-8.349883362705897,215.84482900686217,-208.3874552309306,-209.81031222335648,-209.54433946175888,-208.3874552309306,-209.81031222335648,-209.54433946175888,-55.62318005299288,-55.176624244584296,-54.8703674234227,walking,michal
1674934409305162000,-208.27843434201205,-55.70711450485138,-8.409179698486543,215.76353519911072,-208.27843434201205,-208.3874552309306,-209.81031222335648,-208.27843434201205,-208.3874552309306,-209.81031222335648,-55.70711450485138,-55.62318005299288,-55.176624244584296,walking,michal
1674934409315162000,-208.7109270366125,-54.98809252176033,-8.34334553424388,215.99433510712183,-208.7109270366125,-208.27843434201205,-208.3874552309306,-208.7109270366125,-208.27843434201205,-208.3874552309306,-54.98809252176033,-55.70711450485138,-55.62318005299288,walking,michal
1674934409325162000,-209.43031831462588,-54.87083701187056,-7.758610064689389,216.6380922503812,-209.43031831462588,-208.7109270366125,-208.27843434201205,-209.43031831462588,-208.7109270366125,-208.27843434201205,-54.87083701187056,-54.98809252176033,-55.70711450485138,walking,michal
1674934409335162000,-210.32598859595413,-55.78086520081284,-7.827254658189402,217.7378982099828,-210.32598859595413,-209.43031831462588,-208.7109270366125,-210.32598859595413,-209.43031831462588,-208.7109270366125,-55.78086520081284,-54.87083701187056,-54.98809252176033,walking,michal
1674934409345162000,-209.0147530932484,-55.044489426585656,-7.805231033482414,216.2821871036797,-209.0147530932484,-210.32598859595413,-209.43031831462588,-209.0147530932484,-210.32598859595413,-209.43031831462588,-55.044489426585656,-55.78086520081284,-54.87083701187056,walking,michal
1674934409355162000,-209.3553173865889,-54.30217996640084,-7.393373672958094,216.4094213323689,-209.3553173865889,-209.0147530932484,-210.32598859595413,-209.3553173865889,-209.0147530932484,-210.32598859595413,-54.30217996640084,-55.044489426585656,-55.78086520081284,walking,michal
1674934409365162000,-209.39845476915303,-55.150416056925486,-7.00909006625726,216.65273733446787,-209.39845476915303,-209.3553173865889,-209.0147530932484,-209.39845476915303,-209.3553173865889,-209.0147530932484,-55.150416056925486,-54.30217996640084,-55.044489426585656,walking,michal
1674934409375162000,-209.78125936939787,-55.23558642533372,-7.563650400934197,217.0630221796164,-209.78125936939787,-209.39845476915303,-209.3553173865889,-209.78125936939787,-209.39845476915303,-209.3553173865889,-55.23558642533372,-55.150416056925486,-54.30217996640084,walking,michal
1674934409385162000,-208.8159819249261,-55.38716206281596,-7.590861190714308,216.170009951104,-208.8159819249261,-209.78125936939787,-209.39845476915303,-208.8159819249261,-209.78125936939787,-209.39845476915303,-55.38716206281596,-55.23558642533372,-55.150416056925486,walking,michal
1674934409395162000,-208.4939937500468,-53.52216516388561,-7.76159263595547,215.39408049879484,-208.4939937500468,-208.8159819249261,-209.78125936939787,-208.4939937500468,-208.8159819249261,-209.78125936939787,-53.52216516388561,-55.38716206281596,-55.23558642533372,walking,michal
1674934409405162000,-209.24474816833137,-53.88663002746447,-8.153317363493501,216.22583128704832,-209.24474816833137,-208.4939937500468,-208.8159819249261,-209.24474816833137,-208.4939937500468,-208.8159819249261,-53.88663002746447,-53.52216516388561,-55.38716206281596,walking,michal
1674934409415162000,-209.36981392334977,-55.6282070923209,-7.455601771008172,216.7620871009784,-209.36981392334977,-209.24474816833137,-208.4939937500468,-209.36981392334977,-209.24474816833137,-208.4939937500468,-55.6282070923209,-53.88663002746447,-53.52216516388561,walking,michal
1674934409425162000,-208.44933693699323,-55.961760173159945,-7.37710298627124,215.95663064518408,-208.44933693699323,-209.36981392334977,-209.24474816833137,-208.44933693699323,-209.36981392334977,-209.24474816833137,-55.961760173159945,-55.6282070923209,-53.88663002746447,walking,michal
1674934409435162000,-209.08183658289025,-56.56069478996106,-7.716875013968335,216.73457671534263,-209.08183658289025,-208.44933693699323,-209.36981392334977,-209.08183658289025,-208.44933693699323,-209.36981392334977,-56.56069478996106,-55.961760173159945,-55.6282070923209,walking,michal
1674934409445162000,-209.6475517613986,-56.66727335771488,-7.994828558785247,217.3181840367498,-209.6475517613986,-209.08183658289025,-208.44933693699323,-209.6475517613986,-209.08183658289025,-208.44933693699323,-56.66727335771488,-56.56069478996106,-55.961760173159945,walking,michal
1674934409455162000,-209.40313814313487,-55.06375104614534,-8.578960494419542,216.6916922879821,-209.40313814313487,-209.6475517613986,-209.08183658289025,-209.40313814313487,-209.6475517613986,-209.08183658289025,-55.06375104614534,-56.66727335771488,-56.56069478996106,walking,michal
1674934409465162000,-208.52355945646,-54.37461941922203,-8.482412527901495,215.663222195326,-208.52355945646,-209.40313814313487,-209.6475517613986,-208.52355945646,-209.40313814313487,-209.6475517613986,-54.37461941922203,-55.06375104614534,-56.66727335771488,walking,michal
1674934409475162000,-208.4608814523788,-54.88172013677714,-7.542040874672391,215.6961397003421,-208.4608814523788,-208.52355945646,-209.40313814313487,-208.4608814523788,-208.52355945646,-209.40313814313487,-54.88172013677714,-54.37461941922203,-55.06375104614534,walking,michal
1674934409485162000,-208.738313287066,-54.747206309508165,-7.895585932137518,215.9427709135847,-208.738313287066,-208.4608814523788,-208.52355945646,-208.738313287066,-208.4608814523788,-208.52355945646,-54.747206309508165,-54.88172013677714,-54.37461941922203,walking,michal
1674934409495162000,-209.46561095759355,-55.3179211532084,-8.875222718143485,216.8286977151484,-209.46561095759355,-208.738313287066,-208.4608814523788,-209.46561095759355,-208.738313287066,-208.4608814523788,-55.3179211532084,-54.747206309508165,-54.88172013677714,walking,michal
1674934409505162000,-208.1608581079676,-55.54532238988951,-8.382913869471132,215.6072794053697,-208.1608581079676,-209.46561095759355,-208.738313287066,-208.1608581079676,-209.46561095759355,-208.738313287066,-55.54532238988951,-55.3179211532084,-54.747206309508165,walking,michal
1674934409515162000,-208.25080961624144,-55.60418543375957,-7.722385735039816,215.68463177753927,-208.25080961624144,-208.1608581079676,-209.46561095759355,-208.25080961624144,-208.1608581079676,-209.46561095759355,-55.60418543375957,-55.54532238988951,-55.3179211532084,walking,michal
1674934409525162000,-209.37490696507,-55.91228139378765,-7.236215259962948,216.8326490374048,-209.37490696507,-208.25080961624144,-208.1608581079676,-209.37490696507,-208.25080961624144,-208.1608581079676,-55.91228139378765,-55.60418543375957,-55.54532238988951,walking,michal
1674934409535162000,-209.63474439148467,-55.505200159413945,-7.601412905262219,216.9915546259255,-209.63474439148467,-209.37490696507,-208.25080961624144,-209.63474439148467,-209.37490696507,-208.25080961624144,-55.505200159413945,-55.91228139378765,-55.60418543375957,walking,michal
1674934409545162000,-209.16844628633075,-55.975211758745054,-8.344282527333846,216.6893866901883,-209.16844628633075,-209.63474439148467,-209.37490696507,-209.16844628633075,-209.63474439148467,-209.37490696507,-55.975211758745054,-55.505200159413945,-55.91228139378765,walking,michal
1674934409555162000,-209.5269519253892,-55.0538112610892,-8.00610362196191,216.78690784436583,-209.5269519253892,-209.16844628633075,-209.63474439148467,-209.5269519253892,-209.16844628633075,-209.63474439148467,-55.0538112610892,-55.975211758745054,-55.505200159413945,walking,michal
1674934409565162000,-208.85430185606245,-55.50841393978415,-7.397712600607524,216.2314259621271,-208.85430185606245,-209.5269519253892,-209.16844628633075,-208.85430185606245,-209.5269519253892,-209.16844628633075,-55.50841393978415,-55.0538112610892,-55.975211758745054,walking,michal
1674934409575162000,-208.5902715329748,-56.36662328959739,-8.207882034768286,216.22781256528543,-208.5902715329748,-208.85430185606245,-209.5269519253892,-208.5902715329748,-208.85430185606245,-209.5269519253892,-56.36662328959739,-55.50841393978415,-55.0538112610892,walking,michal
1674934409585162000,-207.9055680340164,-56.16972275377902,-8.255927259178906,215.51780276509007,-207.9055680340164,-208.5902715329748,-208.85430185606245,-207.9055680340164,-208.5902715329748,-208.85430185606245,-56.16972275377902,-56.36662328959739,-55.50841393978415,walking,michal
1674934409595162000,-208.5677100341325,-56.15411446572089,-7.83192998911703,216.13679318354312,-208.5677100341325,-207.9055680340164,-208.5902715329748,-208.5677100341325,-207.9055680340164,-208.5902715329748,-56.15411446572089,-56.16972275377902,-56.36662328959739,walking,michal
1674934409605162000,-208.8246780033098,-55.79522461439838,-8.194840129015343,216.3053597063589,-208.8246780033098,-208.5677100341325,-207.9055680340164,-208.8246780033098,-208.5677100341325,-207.9055680340164,-55.79522461439838,-56.15411446572089,-56.16972275377902,walking,michal
1674934409615162000,-209.12468599641048,-55.388442083115656,-7.82618337252231,216.4769340037693,-209.12468599641048,-208.8246780033098,-208.5677100341325,-209.12468599641048,-208.8246780033098,-208.5677100341325,-55.388442083115656,-55.79522461439838,-56.15411446572089,walking,michal
