,time,x,y,z,mag,lagX0,lagX1,lagX2,lagX0,lagX1,lagX2,lagY0,lagY1,lagY2
0,1683470592836390100,61.65966796875,-190.5403594970703,-360.3088684082031,412.22569534769315,61.65966796875,,,61.65966796875,,,-190.5403594970703,,
1,1683470592846390100,61.84188739524867,-190.57224579363205,-360.95525822263807,412.8327728536174,61.84188739524867,61.65966796875,,61.84188739524867,61.65966796875,,-190.57224579363205,-190.5403594970703,
2,1683470592856390100,61.766473139564134,-191.12291221081728,-360.38708427987314,412.57958661547065,61.766473139564134,61.84188739524867,61.65966796875,61.766473139564134,61.84188739524867,61.65966796875,-191.12291221081728,-190.57224579363205,-190.5403594970703
3,1683470592866390100,61.55679892982592,-190.86810355849076,-360.798655906061,412.7899496767357,61.55679892982592,61.766473139564134,61.84188739524867,61.55679892982592,61.766473139564134,61.84188739524867,-190.86810355849076,-191.12291221081728,-190.57224579363205
4,1683470592876390100,61.66474239051666,-191.1226177074358,-360.28471989062575,412.4748172193039,61.66474239051666,61.55679892982592,61.766473139564134,61.66474239051666,61.55679892982592,61.766473139564134,-191.1226177074358,-190.86810355849076,-191.12291221081728
5,1683470592886390100,61.82123547216275,-191.44078061409007,-360.4379971986224,412.7795870219249,61.82123547216275,61.66474239051666,61.55679892982592,61.82123547216275,61.66474239051666,61.55679892982592,-191.44078061409007,-191.1226177074358,-190.86810355849076
6,1683470592896390100,61.82041150194047,-191.76833505483944,-360.10046890845706,412.6368928199041,61.82041150194047,61.82123547216275,61.66474239051666,61.82041150194047,61.82123547216275,61.66474239051666,-191.76833505483944,-191.44078061409007,-191.1226177074358
7,1683470592906390100,61.752505765450046,-192.27728019042664,-360.01022185889906,412.78479173612186,61.752505765450046,61.82041150194047,61.82123547216275,61.752505765450046,61.82041150194047,61.82123547216275,-192.27728019042664,-191.76833505483944,-191.44078061409007
8,1683470592916390100,61.68224147986618,-193.16672543165632,-360.8850843668201,413.95184121636214,61.68224147986618,61.752505765450046,61.82041150194047,61.68224147986618,61.752505765450046,61.82041150194047,-193.16672543165632,-192.27728019042664,-191.76833505483944
9,1683470592926390100,61.01818225826355,-194.17031149242158,-362.18029765324707,415.45143692056394,61.01818225826355,61.68224147986618,61.752505765450046,61.01818225826355,61.68224147986618,61.752505765450046,-194.17031149242158,-193.16672543165632,-192.27728019042664
10,1683470592936390100,59.10681754434634,-194.85805445985076,-363.82166123752205,416.9286251311237,59.10681754434634,61.01818225826355,61.68224147986618,59.10681754434634,61.01818225826355,61.68224147986618,-194.85805445985076,-194.17031149242158,-193.16672543165632
11,1683470592946390100,57.66949602891014,-195.8199314137025,-365.9735132893702,419.0558778259296,57.66949602891014,59.10681754434634,61.01818225826355,57.66949602891014,59.10681754434634,61.01818225826355,-195.8199314137025,-194.85805445985076,-194.17031149242158
12,1683470592956390100,55.79131585957925,-196.34192002291292,-368.6701870673593,421.403046163538,55.79131585957925,57.66949602891014,59.10681754434634,55.79131585957925,57.66949602891014,59.10681754434634,-196.34192002291292,-195.8199314137025,-194.85805445985076
13,1683470592966390100,53.89862038703097,-197.01973280213076,-370.8499590046128,423.3810676999755,53.89862038703097,55.79131585957925,57.66949602891014,53.89862038703097,55.79131585957925,57.66949602891014,-197.01973280213076,-196.34192002291292,-195.8199314137025
14,1683470592976390100,52.94910536059403,-197.48577646580173,-370.3298898988725,423.02301003290466,52.94910536059403,53.89862038703097,55.79131585957925,52.94910536059403,53.89862038703097,55.79131585957925,-197.48577646580173,-197.01973280213076,-196.34192002291292
15,1683470592986390100,53.242387334089464,-197.74154907613186,-370.2392442192121,423.09995272993694,53.242387334089464,52.94910536059403,53.89862038703097,53.242387334089464,52.94910536059403,53.89862038703097,-197.74154907613186,-197.48577646580173,-197.01973280213076
16,1683470592996390100,54.007354536512096,-197.87669619583363,-368.9545740163578,422.1367775129322,54.007354536512096,53.242387334089464,52.94910536059403,54.007354536512096,53.242387334089464,52.94910536059403,-197.87669619583363,-197.74154907613186,-197.48577646580173
17,1683470593006390100,53.979406220602385,-198.18795926300854,-369.7837902466482,423.0038948070595,53.979406220602385,54.007354536512096,53.242387334089464,53.979406220602385,54.007354536512096,53.242387334089464,-198.18795926300854,-197.87669619583363,-197.74154907613186
18,1683470593016390100,53.45304938156452,-197.93972329152103,-369.80451370209397,422.8389065582235,53.45304938156452,53.979406220602385,54.007354536512096,53.45304938156452,53.979406220602385,54.007354536512096,-197.93972329152103,-198.18795926300854,-197.87669619583363
19,1683470593026390100,53.67148891203829,-197.23604680483174,-370.02619371161546,422.7316772066399,53.67148891203829,53.45304938156452,53.979406220602385,53.67148891203829,53.45304938156452,53.979406220602385,-197.23604680483174,-197.93972329152103,-198.18795926300854
20,1683470593036390100,53.725788573714176,-196.54674806018795,-370.2494015238101,422.61294805015376,53.725788573714176,53.67148891203829,53.45304938156452,53.725788573714176,53.67148891203829,53.45304938156452,-196.54674806018795,-197.23604680483174,-197.93972329152103
21,1683470593046390100,53.61636118765176,-196.5346588529563,-370.31968604622256,422.6550084771568,53.61636118765176,53.725788573714176,53.67148891203829,53.61636118765176,53.725788573714176,53.67148891203829,-196.5346588529563,-196.54674806018795,-197.23604680483174
22,1683470593056390100,52.534450075207985,-195.64806319399767,-371.35195808002817,423.01336840121024,52.534450075207985,53.61636118765176,53.725788573714176,52.534450075207985,53.61636118765176,53.725788573714176,-195.64806319399767,-196.5346588529563,-196.54674806018795
23,1683470593066390100,51.08209917998019,-195.49559675669516,-373.2263619450023,424.4123307098788,51.08209917998019,52.534450075207985,53.61636118765176,51.08209917998019,52.534450075207985,53.61636118765176,-195.49559675669516,-195.64806319399767,-196.5346588529563
24,1683470593076390100,49.603151759493024,-194.9436995143436,-374.3189339654258,424.9449175714739,49.603151759493024,51.08209917998019,52.534450075207985,49.603151759493024,51.08209917998019,52.534450075207985,-194.9436995143436,-195.49559675669516,-195.64806319399767
25,1683470593086390100,48.22129147459142,-195.19600201444786,-375.7019199721611,426.1205285182468,48.22129147459142,49.603151759493024,51.08209917998019,48.22129147459142,49.603151759493024,51.08209917998019,-195.19600201444786,-194.9436995143436,-195.49559675669516
26,1683470593096390100,46.52161658571331,-195.86467027506978,-376.5574130852718,426.9926407107995,46.52161658571331,48.22129147459142,49.603151759493024,46.52161658571331,48.22129147459142,49.603151759493024,-195.86467027506978,-195.19600201444786,-194.9436995143436
27,1683470593106390100,44.873440576899654,-196.4373681927997,-377.50464203177455,427.9147345526447,44.873440576899654,46.52161658571331,48.22129147459142,44.873440576899654,46.52161658571331,48.22129147459142,-196.4373681927997,-195.86467027506978,-195.19600201444786
28,1683470593116390100,43.03622056663162,-197.16306306816796,-378.52720419783014,428.96180953193016,43.03622056663162,44.873440576899654,46.52161658571331,43.03622056663162,44.873440576899654,46.52161658571331,-197.16306306816796,-196.4373681927997,-195.86467027506978
29,1683470593126390100,41.19294322504437,-198.14048882671992,-379.1057935911762,429.7414508962671,41.19294322504437,43.03622056663162,44.873440576899654,41.19294322504437,43.03622056663162,44.873440576899654,-198.14048882671992,-197.16306306816796,-196.4373681927997
30,1683470593136390100,38.50282503760127,-199.00846446180105,-379.7753681697683,430.4836428156163,38.50282503760127,41.19294322504437,43.03622056663162,38.50282503760127,41.19294322504437,43.03622056663162,-199.00846446180105,-198.14048882671992,-197.16306306816796
31,1683470593146390100,35.7746604639937,-199.9636874915926,-380.44325086452795,431.2799204402165,35.7746604639937,38.50282503760127,41.19294322504437,35.7746604639937,38.50282503760127,41.19294322504437,-199.9636874915926,-199.00846446180105,-198.14048882671992
32,1683470593156390100,32.604339238183066,-200.9431902667077,-381.65899510584774,432.5561202860576,32.604339238183066,35.7746604639937,38.50282503760127,32.604339238183066,35.7746604639937,38.50282503760127,-200.9431902667077,-199.9636874915926,-199.00846446180105
33,1683470593166390100,29.484211978809828,-202.27283963434624,-382.23459863104404,433.45923545402593,29.484211978809828,32.604339238183066,35.7746604639937,29.484211978809828,32.604339238183066,35.7746604639937,-202.27283963434624,-200.9431902667077,-199.9636874915926
34,1683470593176390100,25.262400984794485,-202.7430260919986,-383.0554976363728,434.1364276375649,25.262400984794485,29.484211978809828,32.604339238183066,25.262400984794485,29.484211978809828,32.604339238183066,-202.7430260919986,-202.27283963434624,-200.9431902667077
35,1683470593186390100,21.08052258600896,-202.6539683911289,-383.11717279112474,433.9260160725978,21.08052258600896,25.262400984794485,29.484211978809828,21.08052258600896,25.262400984794485,29.484211978809828,-202.6539683911289,-202.7430260919986,-202.27283963434624
36,1683470593196390100,16.80516094667921,-203.18579336919336,-383.2973301992073,434.14712183700175,16.80516094667921,21.08052258600896,25.262400984794485,16.80516094667921,21.08052258600896,25.262400984794485,-203.18579336919336,-202.6539683911289,-202.7430260919986
37,1683470593206390100,12.51832599579875,-202.79586934432675,-383.0684569865376,433.6177070264834,12.51832599579875,16.80516094667921,21.08052258600896,12.51832599579875,16.80516094667921,21.08052258600896,-202.79586934432675,-203.18579336919336,-202.6539683911289
38,1683470593216390100,8.52916872110502,-201.82321965015194,-382.65798808660776,432.70370296025544,8.52916872110502,12.51832599579875,16.80516094667921,8.52916872110502,12.51832599579875,16.80516094667921,-201.82321965015194,-202.79586934432675,-203.18579336919336
39,1683470593226390100,4.296674953230699,-200.6407437187518,-382.39333058447363,431.8562593400194,4.296674953230699,8.52916872110502,12.51832599579875,4.296674953230699,8.52916872110502,12.51832599579875,-200.6407437187518,-201.82321965015194,-202.79586934432675
40,1683470593236390100,-0.3305832428372058,-199.0082070353541,-380.88283476727105,429.73958343752685,-0.3305832428372058,4.296674953230699,8.52916872110502,-0.3305832428372058,4.296674953230699,8.52916872110502,-199.0082070353541,-200.6407437187518,-201.82321965015194
41,1683470593246390100,-4.52517783035649,-197.1557939281723,-379.4397974744641,427.62769346863706,-4.52517783035649,-0.3305832428372058,4.296674953230699,-4.52517783035649,-0.3305832428372058,4.296674953230699,-197.1557939281723,-199.0082070353541,-200.6407437187518
