,time,x,y,z,mag,lagX0,lagX1,lagX2,lagX0,lagX1,lagX2,lagY0,lagY1,lagY2
0,1683472978379798300,-149.06686401367188,-15.068740844726562,-388.48724365234375,416.3776355402768,-149.06686401367188,,,-149.06686401367188,,,-15.068740844726562,,
1,1683472978389798300,-149.08683638061254,-14.61631008774719,-387.8811874836442,415.80324302040106,-149.08683638061254,-149.06686401367188,,-149.08683638061254,-149.06686401367188,,-14.61631008774719,-15.068740844726562,
2,1683472978399798300,-149.00951011906145,-14.855358665885706,-388.7324711951673,416.57826389349265,-149.00951011906145,-149.08683638061254,-149.06686401367188,-149.00951011906145,-149.08683638061254,-149.06686401367188,-14.855358665885706,-14.61631008774719,-15.068740844726562
3,1683472978409798300,-148.79926759233285,-14.897892003931307,-389.1957718865287,416.9370672853714,-148.79926759233285,-149.00951011906145,-149.08683638061254,-148.79926759233285,-149.00951011906145,-149.08683638061254,-14.897892003931307,-14.855358665885706,-14.61631008774719
4,1683472978419798300,-148.88816874625263,-14.458086979166273,-389.20686530195985,416.9636759597743,-148.88816874625263,-148.79926759233285,-149.00951011906145,-148.88816874625263,-148.79926759233285,-149.00951011906145,-14.458086979166273,-14.897892003931307,-14.855358665885706
5,1683472978429798300,-148.5278269824074,-14.219931856636638,-389.35736227488826,416.9674776379831,-148.5278269824074,-148.88816874625263,-148.79926759233285,-148.5278269824074,-148.88816874625263,-148.79926759233285,-14.219931856636638,-14.458086979166273,-14.897892003931307
6,1683472978439798300,-148.55688668358457,-13.580219875627499,-389.53738648618867,417.12461737888367,-148.55688668358457,-148.5278269824074,-148.88816874625263,-148.55688668358457,-148.5278269824074,-148.88816874625263,-13.580219875627499,-14.219931856636638,-14.458086979166273
7,1683472978449798300,-148.2614293053538,-13.291932236621557,-389.9522862367087,417.39778679754085,-148.2614293053538,-148.55688668358457,-148.5278269824074,-148.2614293053538,-148.55688668358457,-148.5278269824074,-13.291932236621557,-13.580219875627499,-14.219931856636638
8,1683472978459798300,-148.2442501243553,-12.735885481440489,-390.48316795535493,417.8703925027217,-148.2442501243553,-148.2614293053538,-148.55688668358457,-148.2442501243553,-148.2614293053538,-148.55688668358457,-12.735885481440489,-13.291932236621557,-13.580219875627499
9,1683472978469798300,-148.37954985760538,-12.488565222446779,-390.57519194689,417.996932574404,-148.37954985760538,-148.2442501243553,-148.2614293053538,-148.37954985760538,-148.2442501243553,-148.2614293053538,-12.488565222446779,-12.735885481440489,-13.291932236621557
10,1683472978479798300,-148.0316129878437,-11.940446062366972,-391.2739041032397,418.5106936843338,-148.0316129878437,-148.37954985760538,-148.2442501243553,-148.0316129878437,-148.37954985760538,-148.2442501243553,-11.940446062366972,-12.488565222446779,-12.735885481440489
11,1683472978489798300,-147.8779905151412,-11.831276642836496,-391.34711466977484,418.52173581088164,-147.8779905151412,-148.0316129878437,-148.37954985760538,-147.8779905151412,-148.0316129878437,-148.37954985760538,-11.831276642836496,-11.940446062366972,-12.488565222446779
12,1683472978499798300,-147.65635594078094,-11.823488488729184,-391.37942012645317,418.47346968269375,-147.65635594078094,-147.8779905151412,-148.0316129878437,-147.65635594078094,-147.8779905151412,-148.0316129878437,-11.823488488729184,-11.831276642836496,-11.940446062366972
13,1683472978509798300,-147.04750631216248,-11.417098679537087,-391.757261260273,418.60132704643155,-147.04750631216248,-147.65635594078094,-147.8779905151412,-147.04750631216248,-147.65635594078094,-147.8779905151412,-11.417098679537087,-11.823488488729184,-11.831276642836496
14,1683472978519798300,-147.05821824292394,-11.321275392648413,-392.1148780090539,418.93718906938165,-147.05821824292394,-147.04750631216248,-147.65635594078094,-147.05821824292394,-147.04750631216248,-147.65635594078094,-11.321275392648413,-11.417098679537087,-11.823488488729184
15,1683472978529798300,-146.60024732582013,-10.981980677875,-391.6443510656446,418.327065986927,-146.60024732582013,-147.05821824292394,-147.04750631216248,-146.60024732582013,-147.05821824292394,-147.04750631216248,-10.981980677875,-11.321275392648413,-11.417098679537087
16,1683472978539798300,-145.83083055511625,-10.681551907934235,-392.07776889208657,418.456334103038,-145.83083055511625,-146.60024732582013,-147.05821824292394,-145.83083055511625,-146.60024732582013,-147.05821824292394,-10.681551907934235,-10.981980677875,-11.321275392648413
17,1683472978549798300,-145.20406770632968,-10.915147814158155,-392.05313212747177,418.2212573999917,-145.20406770632968,-145.83083055511625,-146.60024732582013,-145.20406770632968,-145.83083055511625,-146.60024732582013,-10.915147814158155,-10.681551907934235,-10.981980677875
18,1683472978559798300,-144.0594366838611,-10.767859772364334,-392.14738023622135,417.9098418653002,-144.0594366838611,-145.20406770632968,-145.83083055511625,-144.0594366838611,-145.20406770632968,-145.83083055511625,-10.767859772364334,-10.915147814158155,-10.681551907934235
19,1683472978569798300,-142.5138291759179,-11.070970846628223,-392.3862296211347,417.61191445905786,-142.5138291759179,-144.0594366838611,-145.20406770632968,-142.5138291759179,-144.0594366838611,-145.20406770632968,-11.070970846628223,-10.767859772364334,-10.915147814158155
20,1683472978579798300,-141.13343709572993,-11.297816620470297,-392.07290490693606,416.8542317033707,-141.13343709572993,-142.5138291759179,-144.0594366838611,-141.13343709572993,-142.5138291759179,-144.0594366838611,-11.297816620470297,-11.070970846628223,-10.767859772364334
21,1683472978589798300,-138.89132452058328,-11.610235936709998,-392.02632830081296,416.0651868236573,-138.89132452058328,-141.13343709572993,-142.5138291759179,-138.89132452058328,-141.13343709572993,-142.5138291759179,-11.610235936709998,-11.297816620470297,-11.070970846628223
22,1683472978599798300,-136.54906685268745,-11.175925002802654,-392.64796664015046,415.8641300528968,-136.54906685268745,-138.89132452058328,-141.13343709572993,-136.54906685268745,-138.89132452058328,-141.13343709572993,-11.175925002802654,-11.610235936709998,-11.297816620470297
23,1683472978609798300,-134.00718209267473,-11.312773859690965,-392.32592062598974,414.7354960693022,-134.00718209267473,-136.54906685268745,-138.89132452058328,-134.00718209267473,-136.54906685268745,-138.89132452058328,-11.312773859690965,-11.175925002802654,-11.610235936709998
24,1683472978619798300,-130.97802888439728,-11.150675637250197,-392.1720301652577,413.6163474302593,-130.97802888439728,-134.00718209267473,-136.54906685268745,-130.97802888439728,-134.00718209267473,-136.54906685268745,-11.150675637250197,-11.312773859690965,-11.175925002802654
25,1683472978629798300,-128.527358589958,-10.531154984989822,-391.29070717728007,411.99345219884924,-128.527358589958,-130.97802888439728,-134.00718209267473,-128.527358589958,-130.97802888439728,-134.00718209267473,-10.531154984989822,-11.150675637250197,-11.312773859690965
26,1683472978639798300,-125.7766029138836,-9.73709418567387,-391.47747971939987,411.3018137222234,-125.7766029138836,-128.527358589958,-130.97802888439728,-125.7766029138836,-128.527358589958,-130.97802888439728,-9.73709418567387,-10.531154984989822,-11.150675637250197
27,1683472978649798300,-122.7165377822816,-9.457354209915398,-390.9773351923273,409.89275039699766,-122.7165377822816,-125.7766029138836,-128.527358589958,-122.7165377822816,-125.7766029138836,-128.527358589958,-9.457354209915398,-9.73709418567387,-10.531154984989822
28,1683472978659798300,-119.71438574305006,-8.975435751671755,-390.18625833043205,408.2369517702566,-119.71438574305006,-122.7165377822816,-125.7766029138836,-119.71438574305006,-122.7165377822816,-125.7766029138836,-8.975435751671755,-9.457354209915398,-9.73709418567387
29,1683472978669798300,-116.59625756381742,-8.655908209381082,-388.9493541016139,406.14186201483824,-116.59625756381742,-119.71438574305006,-122.7165377822816,-116.59625756381742,-119.71438574305006,-122.7165377822816,-8.655908209381082,-8.975435751671755,-9.457354209915398
30,1683472978679798300,-112.57825694121664,-7.793520866839885,-386.27226270419175,402.41876675677116,-112.57825694121664,-116.59625756381742,-119.71438574305006,-112.57825694121664,-116.59625756381742,-119.71438574305006,-7.793520866839885,-8.655908209381082,-8.975435751671755
31,1683472978689798300,-108.75113772848009,-7.3073743896677605,-384.2816332587216,399.4403351411826,-108.75113772848009,-112.57825694121664,-116.59625756381742,-108.75113772848009,-112.57825694121664,-116.59625756381742,-7.3073743896677605,-7.793520866839885,-8.655908209381082
32,1683472978699798300,-104.73920936628453,-6.204403080477693,-380.7436700948333,394.9361200416375,-104.73920936628453,-108.75113772848009,-112.57825694121664,-104.73920936628453,-108.75113772848009,-112.57825694121664,-6.204403080477693,-7.3073743896677605,-7.793520866839885
33,1683472978709798300,-101.42044077001823,-5.389217933897555,-377.8124209323155,391.2254783199338,-101.42044077001823,-104.73920936628453,-108.75113772848009,-101.42044077001823,-104.73920936628453,-108.75113772848009,-5.389217933897555,-6.204403080477693,-7.3073743896677605
34,1683472978719798300,-98.39537227629512,-4.177013540944896,-374.76469734455605,387.4889354591543,-98.39537227629512,-101.42044077001823,-104.73920936628453,-98.39537227629512,-101.42044077001823,-104.73920936628453,-4.177013540944896,-5.389217933897555,-6.204403080477693
35,1683472978729798300,-95.78470836415086,-2.3716381186565108,-371.40251047669534,383.5624588149407,-95.78470836415086,-98.39537227629512,-101.42044077001823,-95.78470836415086,-98.39537227629512,-101.42044077001823,-2.3716381186565108,-4.177013540944896,-5.389217933897555
