time,x,y,z,mag,lagX0,lagX1,lagX2,lagX0.1,lagX1.1,lagX2.1,lagY0,lagY1,lagY2,activity,name
1672842768112578300,-334.4574279785156,-73.03666687011719,-93.15910339355467,354.7883092529846,-334.4574279785156,,,-334.4574279785156,,,-73.03666687011719,,,downstairs,wiktor
1672842768122578300,-334.6491567609204,-72.93308544777624,-92.9149612133198,354.8837599707832,-334.6491567609204,-334.4574279785156,,-334.6491567609204,-334.4574279785156,,-72.93308544777624,-73.03666687011719,,downstairs,wiktor
1672842768132578300,-334.55803457962065,-72.62429646782613,-92.34984748899224,354.5868881818185,-334.55803457962065,-334.6491567609204,-334.4574279785156,-334.55803457962065,-334.6491567609204,-334.4574279785156,-72.62429646782613,-72.93308544777624,-73.03666687011719,downstairs,wiktor
1672842768142578300,-334.2611856869439,-72.607427462193,-91.97928536286736,354.2069560516606,-334.2611856869439,-334.55803457962065,-334.6491567609204,-334.2611856869439,-334.55803457962065,-334.6491567609204,-72.607427462193,-72.62429646782613,-72.93308544777624,downstairs,wiktor
1672842768152578300,-333.74889251868086,-72.62004854125809,-92.0367868732269,353.74109860960243,-333.74889251868086,-334.2611856869439,-334.55803457962065,-333.74889251868086,-334.2611856869439,-334.55803457962065,-72.62004854125809,-72.607427462193,-72.62429646782613,downstairs,wiktor
1672842768162578300,-334.18649612817234,-72.47333132838725,-91.83018004034078,354.0703036326268,-334.18649612817234,-333.74889251868086,-334.2611856869439,-334.18649612817234,-333.74889251868086,-334.2611856869439,-72.47333132838725,-72.62004854125809,-72.607427462193,downstairs,wiktor
1672842768172578300,-334.10176283120694,-72.42271063748953,-91.67981981142653,353.9409926861499,-334.10176283120694,-334.18649612817234,-333.74889251868086,-334.10176283120694,-334.18649612817234,-333.74889251868086,-72.42271063748953,-72.47333132838725,-72.62004854125809,downstairs,wiktor
1672842768182578300,-333.8297770348613,-72.97144282882229,-91.9137332688768,353.85771980711047,-333.8297770348613,-334.10176283120694,-334.18649612817234,-333.8297770348613,-334.10176283120694,-334.18649612817234,-72.97144282882229,-72.42271063748953,-72.47333132838725,downstairs,wiktor
1672842768192578300,-334.2917957636285,-73.10262897118253,-91.6990358278928,354.2650310842647,-334.2917957636285,-333.8297770348613,-334.10176283120694,-334.2917957636285,-333.8297770348613,-334.10176283120694,-73.10262897118253,-72.97144282882229,-72.42271063748953,downstairs,wiktor
1672842768202578300,-334.2666378544056,-73.34714242861882,-91.856316307531,354.3325716477693,-334.2666378544056,-334.2917957636285,-333.8297770348613,-334.2666378544056,-334.2917957636285,-333.8297770348613,-73.34714242861882,-73.10262897118253,-72.97144282882229,downstairs,wiktor
1672842768212578300,-334.08366720047314,-73.5487633085303,-92.28848158753505,354.3140995050345,-334.08366720047314,-334.2666378544056,-334.2917957636285,-334.08366720047314,-334.2666378544056,-334.2917957636285,-73.5487633085303,-73.34714242861882,-73.10262897118253,downstairs,wiktor
1672842768222578300,-334.945764082068,-74.04635424422646,-92.28940906606472,355.2307172516832,-334.945764082068,-334.08366720047314,-334.2666378544056,-334.945764082068,-334.08366720047314,-334.2666378544056,-74.04635424422646,-73.5487633085303,-73.34714242861882,downstairs,wiktor
1672842768232578300,-335.282754938209,-74.33809248657654,-92.32675835517412,355.61904907059267,-335.282754938209,-334.945764082068,-334.08366720047314,-335.282754938209,-334.945764082068,-334.08366720047314,-74.33809248657654,-74.04635424422646,-73.5487633085303,downstairs,wiktor
1672842768242578300,-335.49127476553684,-75.03174877712236,-92.13041246987848,355.91034217935857,-335.49127476553684,-335.282754938209,-334.945764082068,-335.49127476553684,-335.282754938209,-334.945764082068,-75.03174877712236,-74.33809248657654,-74.04635424422646,downstairs,wiktor
1672842768252578300,-335.95718655781644,-75.25935058074447,-91.80064243077314,356.31244575566194,-335.95718655781644,-335.49127476553684,-335.282754938209,-335.95718655781644,-335.49127476553684,-335.282754938209,-75.25935058074447,-75.03174877712236,-74.33809248657654,downstairs,wiktor
1672842768262578300,-335.70682837939853,-75.98919299689136,-92.48499815328304,356.40834299478246,-335.70682837939853,-335.95718655781644,-335.49127476553684,-335.70682837939853,-335.95718655781644,-335.49127476553684,-75.98919299689136,-75.25935058074447,-75.03174877712236,downstairs,wiktor
1672842768272578300,-336.5674848792733,-76.84274835604336,-92.69403907758613,357.45582207230467,-336.5674848792733,-335.70682837939853,-335.95718655781644,-336.5674848792733,-335.70682837939853,-335.95718655781644,-76.84274835604336,-75.98919299689136,-75.25935058074447,downstairs,wiktor
1672842768282578300,-337.4327136113521,-77.31943792664126,-93.03898633566284,358.4625289689009,-337.4327136113521,-336.5674848792733,-335.70682837939853,-337.4327136113521,-336.5674848792733,-335.70682837939853,-77.31943792664126,-76.84274835604336,-75.98919299689136,downstairs,wiktor
1672842768292578300,-338.4619097206897,-77.68234061837643,-93.90993974814548,359.7361354649072,-338.4619097206897,-337.4327136113521,-336.5674848792733,-338.4619097206897,-337.4327136113521,-336.5674848792733,-77.68234061837643,-77.31943792664126,-76.84274835604336,downstairs,wiktor
1672842768302578300,-338.6208889656337,-77.76242287717287,-94.49553661432878,360.05625573739763,-338.6208889656337,-338.4619097206897,-337.4327136113521,-338.6208889656337,-338.4619097206897,-337.4327136113521,-77.76242287717287,-77.68234061837643,-77.31943792664126,downstairs,wiktor
1672842768312578300,-338.12142858695347,-78.50587823598481,-94.92656498939076,359.8615374390136,-338.12142858695347,-338.6208889656337,-338.4619097206897,-338.12142858695347,-338.6208889656337,-338.4619097206897,-78.50587823598481,-77.76242287717287,-77.68234061837643,downstairs,wiktor
1672842768322578300,-338.6057742319921,-79.02261360108871,-95.40955595395324,360.55710667094655,-338.6057742319921,-338.12142858695347,-338.6208889656337,-338.6057742319921,-338.12142858695347,-338.6208889656337,-79.02261360108871,-78.50587823598481,-77.76242287717287,downstairs,wiktor
1672842768332578300,-338.6511497316282,-79.0887309294857,-95.89890553651112,360.7439932385444,-338.6511497316282,-338.6057742319921,-338.12142858695347,-338.6511497316282,-338.6057742319921,-338.12142858695347,-79.0887309294857,-79.02261360108871,-78.50587823598481,downstairs,wiktor
1672842768342578300,-338.77490203564525,-79.295504962848,-96.8941157634784,361.1712627357836,-338.77490203564525,-338.6511497316282,-338.6057742319921,-338.77490203564525,-338.6511497316282,-338.6057742319921,-79.295504962848,-79.0887309294857,-79.02261360108871,downstairs,wiktor
1672842768352578300,-338.8664107378848,-80.1685545043926,-97.6855945273238,361.6627114257943,-338.8664107378848,-338.77490203564525,-338.6511497316282,-338.8664107378848,-338.77490203564525,-338.6511497316282,-80.1685545043926,-79.295504962848,-79.0887309294857,downstairs,wiktor
1672842768362578300,-339.1941083153033,-80.56855663878716,-98.3518273451361,362.2388954499484,-339.1941083153033,-338.8664107378848,-338.77490203564525,-339.1941083153033,-338.8664107378848,-338.77490203564525,-80.56855663878716,-80.1685545043926,-79.295504962848,downstairs,wiktor
