time,x,y,z,mag,lagX0,lagX1,lagX2,lagX0.1,lagX1.1,lagX2.1,lagY0,lagY1,lagY2,activity,name
1672605252652530200,-330.097412109375,-85.21139526367188,-92.13282775878906,353.1483276399861,-330.097412109375,,,-330.097412109375,,,-85.21139526367188,,,sitting,wiktor
1672605252662530200,-330.7510746091457,-85.5406851688875,-92.05965358011724,353.8198157135332,-330.7510746091457,-330.097412109375,,-330.7510746091457,-330.097412109375,,-85.5406851688875,-85.21139526367188,,sitting,wiktor
1672605252672530200,-330.6506716387722,-85.64596211192939,-91.9164680771712,353.71419901529373,-330.6506716387722,-330.7510746091457,-330.097412109375,-330.6506716387722,-330.7510746091457,-330.097412109375,-85.64596211192939,-85.5406851688875,-85.21139526367188,sitting,wiktor
1672605252682530200,-330.6452651256185,-85.40906448478597,-91.73061623302344,353.6035995301054,-330.6452651256185,-330.6506716387722,-330.7510746091457,-330.6452651256185,-330.6506716387722,-330.7510746091457,-85.40906448478597,-85.64596211192939,-85.5406851688875,sitting,wiktor
1672605252692530200,-330.603357443752,-85.28422142779644,-91.436541759419,353.45808739728767,-330.603357443752,-330.6452651256185,-330.6506716387722,-330.603357443752,-330.6452651256185,-330.6506716387722,-85.28422142779644,-85.40906448478597,-85.64596211192939,sitting,wiktor
1672605252702530200,-330.56598549445937,-85.42912006013616,-91.41237010701268,353.4518732851104,-330.56598549445937,-330.603357443752,-330.6452651256185,-330.56598549445937,-330.603357443752,-330.6452651256185,-85.42912006013616,-85.28422142779644,-85.40906448478597,sitting,wiktor
1672605252712530200,-329.9238492180682,-85.23434561320042,-91.25585077532487,352.7637598389402,-329.9238492180682,-330.56598549445937,-330.603357443752,-329.9238492180682,-330.56598549445937,-330.603357443752,-85.23434561320042,-85.42912006013616,-85.28422142779644,sitting,wiktor
1672605252722530200,-330.6014611406381,-85.28740765851164,-91.14099317953134,353.3807417661373,-330.6014611406381,-329.9238492180682,-330.56598549445937,-330.6014611406381,-329.9238492180682,-330.56598549445937,-85.28740765851164,-85.23434561320042,-85.42912006013616,sitting,wiktor
1672605252732530200,-330.73483481496186,-85.68961043545222,-90.90549959594382,353.54214763369845,-330.73483481496186,-330.6014611406381,-329.9238492180682,-330.73483481496186,-330.6014611406381,-329.9238492180682,-85.68961043545222,-85.28740765851164,-85.23434561320042,sitting,wiktor
1672605252742530200,-330.7677396663872,-85.4060853506754,-90.877202146654,353.4970479211128,-330.7677396663872,-330.73483481496186,-330.6014611406381,-330.7677396663872,-330.73483481496186,-330.6014611406381,-85.4060853506754,-85.68961043545222,-85.28740765851164,sitting,wiktor
