time,x,y,z,mag,lagX0,lagX1,lagX2,lagX0.1,lagX1.1,lagX2.1,lagY0,lagY1,lagY2,activity,name
1672842832043248600,-334.3997802734375,-96.6102294921875,-120.53280639648438,368.3543225038479,-334.3997802734375,,,-334.3997802734375,,,-96.6102294921875,,,upstairs,wiktor
1672842832053248600,-333.828565878579,-96.88244948602798,-121.57939686808098,368.251639721764,-333.828565878579,-334.3997802734375,,-333.828565878579,-334.3997802734375,,-96.88244948602798,-96.6102294921875,,upstairs,wiktor
1672842832063248600,-333.872796853873,-97.29077484218098,-121.8415115075813,368.4859471877748,-333.872796853873,-333.828565878579,-334.3997802734375,-333.872796853873,-333.828565878579,-334.3997802734375,-97.29077484218098,-96.88244948602798,-96.6102294921875,upstairs,wiktor
1672842832073248600,-333.2620203835649,-97.56931140166864,-123.00605350071449,368.3935856598918,-333.2620203835649,-333.872796853873,-333.828565878579,-333.2620203835649,-333.872796853873,-333.828565878579,-97.56931140166864,-97.29077484218098,-96.88244948602798,upstairs,wiktor
1672842832083248600,-333.30304352721,-97.78588478025549,-123.50323968577186,368.65437512613335,-333.30304352721,-333.2620203835649,-333.872796853873,-333.30304352721,-333.2620203835649,-333.872796853873,-97.78588478025549,-97.56931140166864,-97.29077484218098,upstairs,wiktor
1672842832093248600,-332.4772517121131,-97.8906483155823,-124.59919563609364,368.3051200931727,-332.4772517121131,-333.30304352721,-333.2620203835649,-332.4772517121131,-333.30304352721,-333.2620203835649,-97.8906483155823,-97.78588478025549,-97.56931140166864,upstairs,wiktor
1672842832103248600,-331.96071748701013,-98.40015047976708,-125.5280770627348,368.2903823072213,-331.96071748701013,-332.4772517121131,-333.30304352721,-331.96071748701013,-332.4772517121131,-333.30304352721,-98.40015047976708,-97.8906483155823,-97.78588478025549,upstairs,wiktor
1672842832113248600,-331.16154582663535,-98.41813796746928,-126.28874965092596,367.8354898642392,-331.16154582663535,-331.96071748701013,-332.4772517121131,-331.16154582663535,-331.96071748701013,-332.4772517121131,-98.41813796746928,-98.40015047976708,-97.8906483155823,upstairs,wiktor
1672842832123248600,-330.81936214921814,-97.96272797465572,-127.1476015744658,367.7018616096348,-330.81936214921814,-331.16154582663535,-331.96071748701013,-330.81936214921814,-331.16154582663535,-331.96071748701013,-97.96272797465572,-98.41813796746928,-98.40015047976708,upstairs,wiktor
1672842832133248600,-330.4381344585376,-97.47180953089791,-127.96409288139516,367.5118003882658,-330.4381344585376,-330.81936214921814,-331.16154582663535,-330.4381344585376,-330.81936214921814,-331.16154582663535,-97.47180953089791,-97.96272797465572,-98.41813796746928,upstairs,wiktor
1672842832143248600,-329.8007217170658,-97.350737979393,-128.33795350369476,367.03720865839534,-329.8007217170658,-330.4381344585376,-330.81936214921814,-329.8007217170658,-330.4381344585376,-330.81936214921814,-97.350737979393,-97.47180953089791,-97.96272797465572,upstairs,wiktor
1672842832153248600,-329.5261273011661,-96.7294473528399,-128.7414103254521,366.7675085007894,-329.5261273011661,-329.8007217170658,-330.4381344585376,-329.5261273011661,-329.8007217170658,-330.4381344585376,-96.7294473528399,-97.350737979393,-97.47180953089791,upstairs,wiktor
1672842832163248600,-329.96034799465906,-96.3297253889363,-129.18519105335778,367.20847053105535,-329.96034799465906,-329.5261273011661,-329.8007217170658,-329.96034799465906,-329.5261273011661,-329.8007217170658,-96.3297253889363,-96.7294473528399,-97.350737979393,upstairs,wiktor
1672842832173248600,-329.20498688253303,-95.22602100764507,-129.14405805660613,366.22685073135375,-329.20498688253303,-329.96034799465906,-329.5261273011661,-329.20498688253303,-329.96034799465906,-329.5261273011661,-95.22602100764507,-96.3297253889363,-96.7294473528399,upstairs,wiktor
1672842832183248600,-328.7450181071346,-94.9195525679754,-130.20000893670544,366.10797685530304,-328.7450181071346,-329.20498688253303,-329.96034799465906,-328.7450181071346,-329.20498688253303,-329.96034799465906,-94.9195525679754,-95.22602100764507,-96.3297253889363,upstairs,wiktor
1672842832193248600,-328.03770766746226,-93.76404738497055,-130.74444103836524,365.3690505450194,-328.03770766746226,-328.7450181071346,-329.20498688253303,-328.03770766746226,-328.7450181071346,-329.20498688253303,-93.76404738497055,-94.9195525679754,-95.22602100764507,upstairs,wiktor
