time,x,y,z,mag,lagX0,lagX1,lagX2,lagX0.1,lagX1.1,lagX2.1,lagY0,lagY1,lagY2,activity,name
1672726986256836400,-317.4644599514542,-140.35778739048277,-93.61286203404704,359.50988825291853,-317.4644599514542,,,-317.4644599514542,,,-140.35778739048277,,,walking,wiktor
1672726986266836400,-316.3484825355045,-140.52418527832782,-93.5827494324456,358.5821245433048,-316.3484825355045,-317.4644599514542,,-316.3484825355045,-317.4644599514542,,-140.52418527832782,-140.35778739048277,,walking,wiktor
1672726986276836400,-315.899444718188,-141.26820762902682,-94.15263431531046,358.62777947126455,-315.899444718188,-316.3484825355045,-317.4644599514542,-315.899444718188,-316.3484825355045,-317.4644599514542,-141.26820762902682,-140.52418527832782,-140.35778739048277,walking,wiktor
1672726986286836400,-315.14868077820176,-142.07395875119298,-93.7318343213271,358.1750375399119,-315.14868077820176,-315.899444718188,-316.3484825355045,-315.14868077820176,-315.899444718188,-316.3484825355045,-142.07395875119298,-141.26820762902682,-140.52418527832782,walking,wiktor
1672726986296836400,-313.9958544718904,-142.85359964114232,-93.1894145178204,357.3301198249855,-313.9958544718904,-315.14868077820176,-315.899444718188,-313.9958544718904,-315.14868077820176,-315.899444718188,-142.85359964114232,-142.07395875119298,-141.26820762902682,walking,wiktor
1672726986306836400,-313.1234421567342,-142.86274883853756,-92.47230991722284,356.3806716633376,-313.1234421567342,-313.9958544718904,-315.14868077820176,-313.1234421567342,-313.9958544718904,-315.14868077820176,-142.86274883853756,-142.85359964114232,-142.07395875119298,walking,wiktor
1672726986316836400,-312.6468979431749,-143.24251307192787,-92.26697872120828,356.0613650861202,-312.6468979431749,-313.1234421567342,-313.9958544718904,-312.6468979431749,-313.1234421567342,-313.9958544718904,-143.24251307192787,-142.86274883853756,-142.85359964114232,walking,wiktor
1672726986326836400,-312.82964424157603,-143.30185068638133,-91.60577874513189,356.0750278044713,-312.82964424157603,-312.6468979431749,-313.1234421567342,-312.82964424157603,-312.6468979431749,-313.1234421567342,-143.30185068638133,-143.24251307192787,-142.86274883853756,walking,wiktor
1672726986336836400,-313.038475088818,-143.10608058557244,-91.27851386530436,356.0957796435609,-313.038475088818,-312.82964424157603,-312.6468979431749,-313.038475088818,-312.82964424157603,-312.6468979431749,-143.10608058557244,-143.30185068638133,-143.24251307192787,walking,wiktor
1672726986346836400,-313.6240626524481,-142.8718642418858,-90.89427934664197,356.4185633276189,-313.6240626524481,-313.038475088818,-312.82964424157603,-313.6240626524481,-313.038475088818,-312.82964424157603,-142.8718642418858,-143.10608058557244,-143.30185068638133,walking,wiktor
