time,x,y,z,mag,lagX0,lagX1,lagX2,lagY0,lagY1,lagY2,lagZ0,lagZ1,lagZ2,activity,name
1672332313771207000,-0.0970299741798335,-1.0315094762224395,-0.9082061709460704,1.3777754041826098,-0.0970299741798335,,,-1.0315094762224395,,,-0.9082061709460704,,,sitting,karol
1672332313781207000,-0.1738780886254223,-1.181178008960596,-1.0218420320817438,1.5714885354609165,-0.1738780886254223,-0.0970299741798335,,-1.181178008960596,-1.0315094762224395,,-1.0218420320817438,-0.9082061709460704,,sitting,karol
1672332313791207000,-0.2389204366508992,-1.1959839593651127,-1.1544107544066842,1.6793227194312348,-0.2389204366508992,-0.1738780886254223,-0.0970299741798335,-1.1959839593651127,-1.181178008960596,-1.0315094762224395,-1.1544107544066842,-1.0218420320817438,-0.9082061709460704,sitting,karol
1672332313801207000,-0.2847315203380646,-1.165445565913492,-1.23661326825635,1.7229474109818603,-0.2847315203380646,-0.2389204366508992,-0.1738780886254223,-1.165445565913492,-1.1959839593651127,-1.181178008960596,-1.23661326825635,-1.1544107544066842,-1.0218420320817438,sitting,karol
1672332313811207000,-0.3474363780585496,-1.2233349144342158,-1.2428926708157726,1.77821330015265,-0.3474363780585496,-0.2847315203380646,-0.2389204366508992,-1.2233349144342158,-1.165445565913492,-1.1959839593651127,-1.2428926708157726,-1.23661326825635,-1.1544107544066842,sitting,karol
1672332313821207000,-0.4346749125888988,-1.3772113863281543,-1.2046795733209563,1.880666466081332,-0.4346749125888988,-0.3474363780585496,-0.2847315203380646,-1.3772113863281543,-1.2233349144342158,-1.165445565913492,-1.2046795733209563,-1.2428926708157726,-1.23661326825635,sitting,karol
1672332313831207000,-0.54437957098713,-1.478451818600254,-1.2041203380242245,1.9829459613600424,-0.54437957098713,-0.4346749125888988,-0.3474363780585496,-1.478451818600254,-1.3772113863281543,-1.2233349144342158,-1.2041203380242245,-1.2046795733209563,-1.2428926708157726,sitting,karol
1672332313841207000,-0.6161658334245022,-1.437409979443383,-1.205092191696167,1.9743492532402187,-0.6161658334245022,-0.54437957098713,-0.4346749125888988,-1.437409979443383,-1.478451818600254,-1.3772113863281543,-1.205092191696167,-1.2041203380242245,-1.2046795733209563,sitting,karol
1672332313851207000,-0.6051840819503973,-1.23853579859966,-1.160582815160692,1.801990890183788,-0.6051840819503973,-0.6161658334245022,-0.54437957098713,-1.23853579859966,-1.437409979443383,-1.478451818600254,-1.160582815160692,-1.205092191696167,-1.2041203380242245,sitting,karol
1672332313861207000,-0.5730386354344529,-1.002274164683189,-1.052215888108245,1.5620771600914556,-0.5730386354344529,-0.6051840819503973,-0.6161658334245022,-1.002274164683189,-1.23853579859966,-1.437409979443383,-1.052215888108245,-1.160582815160692,-1.205092191696167,sitting,karol
1672332313871207000,-0.5056766336824364,-0.9237247903298844,-0.8479069554758419,1.352006860658148,-0.5056766336824364,-0.5730386354344529,-0.6051840819503973,-0.9237247903298844,-1.002274164683189,-1.23853579859966,-0.8479069554758419,-1.052215888108245,-1.160582815160692,sitting,karol
1672332313881207000,-0.4069331213201128,-1.0549269190903003,-0.54656053595357,1.255863762241166,-0.4069331213201128,-0.5056766336824364,-0.5730386354344529,-1.0549269190903003,-0.9237247903298844,-1.002274164683189,-0.54656053595357,-0.8479069554758419,-1.052215888108245,sitting,karol
1672332313891207000,-0.2928282287675386,-1.157871855904764,-0.2765026731500227,1.225915712648543,-0.2928282287675386,-0.4069331213201128,-0.5056766336824364,-1.157871855904764,-1.0549269190903003,-0.9237247903298844,-0.2765026731500227,-0.54656053595357,-0.8479069554758419,sitting,karol
1672332313901207000,-0.2097699224698739,-1.0694768611697931,-0.1373202345424679,1.098472131537896,-0.2097699224698739,-0.2928282287675386,-0.4069331213201128,-1.0694768611697931,-1.157871855904764,-1.0549269190903003,-0.1373202345424679,-0.2765026731500227,-0.54656053595357,sitting,karol
1672332313911207000,-0.1256491188615486,-0.8059851327227969,-0.0962765824310437,0.821382319973756,-0.1256491188615486,-0.2097699224698739,-0.2928282287675386,-0.8059851327227969,-1.0694768611697931,-1.157871855904764,-0.0962765824310437,-0.1373202345424679,-0.2765026731500227,sitting,karol
1672332313921207000,-0.0910365349127629,-0.5818209230344911,-0.1063574689618019,0.5984272289707334,-0.0910365349127629,-0.1256491188615486,-0.2097699224698739,-0.5818209230344911,-0.8059851327227969,-1.0694768611697931,-0.1063574689618019,-0.0962765824310437,-0.1373202345424679,sitting,karol
1672332313931207000,-0.0744548176947994,-0.6139278267259534,-0.1038643880833066,0.6270874798768811,-0.0744548176947994,-0.0910365349127629,-0.1256491188615486,-0.6139278267259534,-0.5818209230344911,-0.8059851327227969,-0.1038643880833066,-0.1063574689618019,-0.0962765824310437,sitting,karol
