filename;p1;p2
InterpolationAccelerometerMichalWalking20.csv;61;96
InterpolationAccelerometerMichalWalking19.csv;94;101
InterpolationAccelerometerMichalWalking18.csv;61,5;66
InterpolationAccelerometerMichalWalking12.csv;6,7;80
InterpolationAccelerometerMichalWalking11.csv;25;66
InterpolationAccelerometerMichalWalking10.csv;7;72,5
InterpolationAccelerometerMichalWalking8.csv;25;66
InterpolationAccelerometerMichalWalking7.csv;32;33
InterpolationAccelerometerMichalWalking6.csv;63;66
InterpolationAccelerometerMichalWalking6.csv;123;129,8
InterpolationAccelerometerMichalWalking4.csv;62,3;63,1
InterpolationAccelerometerMichalWalking2.csv;25,4;65,5
