time,x,y,z,mag,lagX0,lagX1,lagX2,lagX0.1,lagX1.1,lagX2.1,lagY0,lagY1,lagY2,activity,name
1672837780454046500,-496.62203792302176,56.94954691782736,-110.75036414352614,511.9983814455713,-496.62203792302176,,,-496.62203792302176,,,56.94954691782736,,,jogging,karol
1672837780464046500,-495.03752574066993,57.20154581860498,-107.74216893534526,509.8456077111726,-495.03752574066993,-496.62203792302176,,-495.03752574066993,-496.62203792302176,,57.20154581860498,56.94954691782736,,jogging,karol
1672837780474046500,-495.2532834363776,57.63903169465552,-106.43903785522777,509.8306988685137,-495.2532834363776,-495.03752574066993,-496.62203792302176,-495.2532834363776,-495.03752574066993,-496.62203792302176,57.63903169465552,57.20154581860498,56.94954691782736,jogging,karol
1672837780484046500,-494.1973265121112,59.02924455381456,-103.05863212513832,508.2681682928972,-494.1973265121112,-495.2532834363776,-495.03752574066993,-494.1973265121112,-495.2532834363776,-495.03752574066993,59.02924455381456,57.63903169465552,57.20154581860498,jogging,karol
1672837780494046500,-493.0111505140864,60.2757582306488,-100.56699280955716,506.76116820871374,-493.0111505140864,-494.1973265121112,-495.2532834363776,-493.0111505140864,-494.1973265121112,-495.2532834363776,60.2757582306488,59.02924455381456,57.63903169465552,jogging,karol
1672837780504046500,-492.68829960396977,61.08710656161958,-99.9017735232575,506.4126375869919,-492.68829960396977,-493.0111505140864,-494.1973265121112,-492.68829960396977,-493.0111505140864,-494.1973265121112,61.08710656161958,60.2757582306488,59.02924455381456,jogging,karol
1672837780514046500,-491.5801721883171,60.54718505116727,-99.85925014539086,505.2612167442852,-491.5801721883171,-492.68829960396977,-493.0111505140864,-491.5801721883171,-492.68829960396977,-493.0111505140864,60.54718505116727,61.08710656161958,60.2757582306488,jogging,karol
1672837780524046500,-491.7073251595477,60.6030689519861,-99.01094665874044,505.22469569510986,-491.7073251595477,-491.5801721883171,-492.68829960396977,-491.7073251595477,-491.5801721883171,-492.68829960396977,60.6030689519861,60.54718505116727,61.08710656161958,jogging,karol
1672837780534046500,-492.5630409888996,60.24748009324426,-99.7215515973498,506.15461675144405,-492.5630409888996,-491.7073251595477,-491.5801721883171,-492.5630409888996,-491.7073251595477,-491.5801721883171,60.24748009324426,60.6030689519861,60.54718505116727,jogging,karol
1672837780544046500,-492.1446131174797,59.60847167970851,-101.54483726822532,506.0344297499674,-492.1446131174797,-492.5630409888996,-491.7073251595477,-492.1446131174797,-492.5630409888996,-491.7073251595477,59.60847167970851,60.24748009324426,60.6030689519861,jogging,karol
1672837780554046500,-493.5370510036568,58.55489982743654,-105.23545302739848,508.0177138457567,-493.5370510036568,-492.1446131174797,-492.5630409888996,-493.5370510036568,-492.1446131174797,-492.5630409888996,58.55489982743654,59.60847167970851,60.24748009324426,jogging,karol
1672837780564046500,-495.8042443152473,57.06332595053481,-108.960036075197,510.8330072646624,-495.8042443152473,-493.5370510036568,-492.1446131174797,-495.8042443152473,-493.5370510036568,-492.1446131174797,57.06332595053481,58.55489982743654,59.60847167970851,jogging,karol
1672837780574046500,-498.5680896857714,55.64031052404942,-113.2793295407013,514.2938758232717,-498.5680896857714,-495.8042443152473,-493.5370510036568,-498.5680896857714,-495.8042443152473,-493.5370510036568,55.64031052404942,57.06332595053481,58.55489982743654,jogging,karol
1672837780584046500,-499.0853200256715,55.5789533341427,-117.09750145659532,515.6423194097077,-499.0853200256715,-498.5680896857714,-495.8042443152473,-499.0853200256715,-498.5680896857714,-495.8042443152473,55.5789533341427,55.64031052404942,57.06332595053481,jogging,karol
1672837780594046500,-499.6186217051667,56.00833311860749,-120.97110751093902,517.0973886858437,-499.6186217051667,-499.0853200256715,-498.5680896857714,-499.6186217051667,-499.0853200256715,-498.5680896857714,56.00833311860749,55.5789533341427,55.64031052404942,jogging,karol
1672837780604046500,-501.0636880521408,55.15342847771476,-125.34602450674171,519.4404162335697,-501.0636880521408,-499.6186217051667,-499.0853200256715,-501.0636880521408,-499.6186217051667,-499.0853200256715,55.15342847771476,56.00833311860749,55.5789533341427,jogging,karol
1672837780614046500,-501.4763233467276,54.253142925169136,-126.97404303678894,520.1387449514973,-501.4763233467276,-501.0636880521408,-499.6186217051667,-501.4763233467276,-501.0636880521408,-499.6186217051667,54.253142925169136,55.15342847771476,56.00833311860749,jogging,karol
1672837780624046500,-500.6174991563129,53.71619444999222,-129.2188728899955,519.8084523347721,-500.6174991563129,-501.4763233467276,-501.0636880521408,-500.6174991563129,-501.4763233467276,-501.0636880521408,53.71619444999222,54.253142925169136,55.15342847771476,jogging,karol
1672837780634046500,-500.1441973221084,52.66256327055163,-131.03105344684607,519.6986633161482,-500.1441973221084,-500.6174991563129,-501.4763233467276,-500.1441973221084,-500.6174991563129,-501.4763233467276,52.66256327055163,53.71619444999222,54.253142925169136,jogging,karol
1672837780644046500,-501.6213063283947,52.40873550629532,-133.47062918703156,521.713541491455,-501.6213063283947,-500.1441973221084,-500.6174991563129,-501.6213063283947,-500.1441973221084,-500.6174991563129,52.40873550629532,52.66256327055163,53.71619444999222,jogging,karol
1672837780654046500,-501.2321544557164,52.11789083296971,-135.86740371765472,521.9290168195026,-501.2321544557164,-501.6213063283947,-500.1441973221084,-501.2321544557164,-501.6213063283947,-500.1441973221084,52.11789083296971,52.40873550629532,52.66256327055163,jogging,karol
1672837780664046500,-501.273361924946,50.90065394363871,-138.5567969749135,522.555112821007,-501.273361924946,-501.2321544557164,-501.6213063283947,-501.273361924946,-501.2321544557164,-501.6213063283947,50.90065394363871,52.11789083296971,52.40873550629532,jogging,karol
1672837780674046500,-498.61716515739903,50.01901746460922,-141.93041568749726,520.8312801617733,-498.61716515739903,-501.273361924946,-501.2321544557164,-498.61716515739903,-501.273361924946,-501.2321544557164,50.01901746460922,50.90065394363871,52.11789083296971,jogging,karol
1672837780684046500,-497.9879191270511,49.613885104135086,-145.69152063078408,521.2288598833787,-497.9879191270511,-498.61716515739903,-501.273361924946,-497.9879191270511,-498.61716515739903,-501.273361924946,49.613885104135086,50.01901746460922,50.90065394363871,jogging,karol
1672837780694046500,-497.949822336325,48.28955851498177,-149.91121079758395,522.2636098266345,-497.949822336325,-497.9879191270511,-498.61716515739903,-497.949822336325,-497.9879191270511,-498.61716515739903,48.28955851498177,49.613885104135086,50.01901746460922,jogging,karol
1672837780704046500,-496.5104244033189,47.3941570653938,-155.05107069834213,522.3118246697132,-496.5104244033189,-497.949822336325,-497.9879191270511,-496.5104244033189,-497.949822336325,-497.9879191270511,47.3941570653938,48.28955851498177,49.613885104135086,jogging,karol
1672837780714046500,-495.7852539059688,47.73752633066327,-159.2054573314074,522.9036881251454,-495.7852539059688,-496.5104244033189,-497.949822336325,-495.7852539059688,-496.5104244033189,-497.949822336325,47.73752633066327,47.3941570653938,48.28955851498177,jogging,karol
1672837780724046500,-492.5127444405143,47.49844870901463,-163.59564717395378,521.141479677405,-492.5127444405143,-495.7852539059688,-496.5104244033189,-492.5127444405143,-495.7852539059688,-496.5104244033189,47.49844870901463,47.73752633066327,47.3941570653938,jogging,karol
1672837780734046500,-490.1716873022516,45.85221508823776,-167.66197016422188,520.0781142295672,-490.1716873022516,-492.5127444405143,-495.7852539059688,-490.1716873022516,-492.5127444405143,-495.7852539059688,45.85221508823776,47.49844870901463,47.73752633066327,jogging,karol
1672837780744046500,-486.9891024943885,45.16376146895729,-172.67606141696243,518.6667267955305,-486.9891024943885,-490.1716873022516,-492.5127444405143,-486.9891024943885,-490.1716873022516,-492.5127444405143,45.16376146895729,45.85221508823776,47.49844870901463,jogging,karol
1672837780754046500,-483.79411965132846,45.24045545201958,-177.48544858761403,517.3050680972077,-483.79411965132846,-486.9891024943885,-490.1716873022516,-483.79411965132846,-486.9891024943885,-490.1716873022516,45.24045545201958,45.16376146895729,45.85221508823776,jogging,karol
1672837780764046500,-479.2031207092799,43.02223217365814,-181.21732521128692,514.126698699309,-479.2031207092799,-483.79411965132846,-486.9891024943885,-479.2031207092799,-483.79411965132846,-486.9891024943885,43.02223217365814,45.24045545201958,45.16376146895729,jogging,karol
1672837780774046500,-472.4828701545339,42.66095877056209,-186.0971771403632,509.6000189681133,-472.4828701545339,-479.2031207092799,-483.79411965132846,-472.4828701545339,-479.2031207092799,-483.79411965132846,42.66095877056209,43.02223217365814,45.24045545201958,jogging,karol
1672837780784046500,-467.9578666105208,44.65412214840404,-189.10034625337403,506.69270421100447,-467.9578666105208,-472.4828701545339,-479.2031207092799,-467.9578666105208,-472.4828701545339,-479.2031207092799,44.65412214840404,42.66095877056209,43.02223217365814,jogging,karol
1672837780794046500,-462.9189105291893,44.15142029009142,-192.27129667776416,503.2012690418345,-462.9189105291893,-467.9578666105208,-472.4828701545339,-462.9189105291893,-467.9578666105208,-472.4828701545339,44.15142029009142,44.65412214840404,42.66095877056209,jogging,karol
1672837780804046500,-459.6759338378906,43.55870819091797,-194.12245178222656,500.8820734413852,-459.6759338378906,-462.9189105291893,-467.9578666105208,-459.6759338378906,-462.9189105291893,-467.9578666105208,43.55870819091797,44.15142029009142,44.65412214840404,jogging,karol
1672837780814046500,-458.46978144432575,43.17182737126664,-194.5244626794343,499.8981033739825,-458.46978144432575,-459.6759338378906,-462.9189105291893,-458.46978144432575,-459.6759338378906,-462.9189105291893,43.17182737126664,43.55870819091797,44.15142029009142,jogging,karol
1672837780824046500,-453.451737736248,43.090030367081326,-197.51318044756687,496.4742547439616,-453.451737736248,-458.46978144432575,-459.6759338378906,-453.451737736248,-458.46978144432575,-459.6759338378906,43.090030367081326,43.17182737126664,43.55870819091797,jogging,karol
1672837780834046500,-450.9710734227677,46.10999551245926,-198.8150521012793,495.0035006868909,-450.9710734227677,-453.451737736248,-458.46978144432575,-450.9710734227677,-453.451737736248,-458.46978144432575,46.10999551245926,43.090030367081326,43.17182737126664,jogging,karol
1672837780844046500,-449.9868450987396,49.07142509019327,-197.9666319127681,494.0515690423267,-449.9868450987396,-450.9710734227677,-453.451737736248,-449.9868450987396,-450.9710734227677,-453.451737736248,49.07142509019327,46.10999551245926,43.090030367081326,jogging,karol
