time,x,y,z,mag,lagX0,lagX1,lagX2,lagX0.1,lagX1.1,lagX2.1,lagY0,lagY1,lagY2,activity,name
1672331897140389000,-429.317571593348,7.674106725283448,-102.15302031728368,441.37026265119385,-429.317571593348,,,-429.317571593348,,,7.674106725283448,,,sitting,karol
1672331897150389000,-429.904412968107,7.160541696278793,-102.30438921460184,441.9674939397801,-429.904412968107,-429.317571593348,,-429.904412968107,-429.317571593348,,7.160541696278793,7.674106725283448,,sitting,karol
1672331897160389000,-428.5917728418712,7.279471875479151,-103.77220114445332,441.035790145073,-428.5917728418712,-429.904412968107,-429.317571593348,-428.5917728418712,-429.904412968107,-429.317571593348,7.279471875479151,7.160541696278793,7.674106725283448,sitting,karol
1672331897170389000,-428.1317649106096,7.40547569140423,-103.8841917854874,440.6172653206106,-428.1317649106096,-428.5917728418712,-429.904412968107,-428.1317649106096,-428.5917728418712,-429.904412968107,7.40547569140423,7.279471875479151,7.160541696278793,sitting,karol
1672331897180389000,-426.8526714502729,6.684464414519551,-105.10523766133136,439.6532681245398,-426.8526714502729,-428.1317649106096,-428.5917728418712,-426.8526714502729,-428.1317649106096,-428.5917728418712,6.684464414519551,7.40547569140423,7.279471875479151,sitting,karol
1672331897190389000,-427.0521058660509,7.487099581453617,-104.40614171690775,439.6933024427167,-427.0521058660509,-426.8526714502729,-428.1317649106096,-427.0521058660509,-426.8526714502729,-428.1317649106096,7.487099581453617,6.684464414519551,7.40547569140423,sitting,karol
1672331897200389000,-426.0850067570163,7.59151670755454,-105.45105764891262,439.0056829567494,-426.0850067570163,-427.0521058660509,-426.8526714502729,-426.0850067570163,-427.0521058660509,-426.8526714502729,7.59151670755454,7.487099581453617,6.684464414519551,sitting,karol
1672331897210389000,-425.947535800454,6.802860284933721,-106.11379676412824,439.0190428970411,-425.947535800454,-426.0850067570163,-427.0521058660509,-425.947535800454,-426.0850067570163,-427.0521058660509,6.802860284933721,7.59151670755454,7.487099581453617,sitting,karol
1672331897220389000,-425.464274890315,6.3550157553727,-105.8972355789832,438.4911172834214,-425.464274890315,-425.947535800454,-426.0850067570163,-425.464274890315,-425.947535800454,-426.0850067570163,6.3550157553727,6.802860284933721,7.59151670755454,sitting,karol
1672331897230389000,-425.15808858945707,6.125208981947184,-106.6311062769913,438.36869334382,-425.15808858945707,-425.464274890315,-425.947535800454,-425.15808858945707,-425.464274890315,-425.947535800454,6.125208981947184,6.3550157553727,6.802860284933721,sitting,karol
1672331897240389000,-424.4123244638794,6.6018495078459765,-107.85118834388496,437.9512351860029,-424.4123244638794,-425.15808858945707,-425.464274890315,-424.4123244638794,-425.15808858945707,-425.464274890315,6.6018495078459765,6.125208981947184,6.3550157553727,sitting,karol
1672331897250389000,-424.2210998535156,6.757480144500732,-107.99349975585938,437.8033817689724,-424.2210998535156,-424.4123244638794,-425.15808858945707,-424.2210998535156,-424.4123244638794,-425.15808858945707,6.757480144500732,6.6018495078459765,6.125208981947184,sitting,karol
1672331897260389000,-422.3735980981621,7.173523562649256,-107.24088988536896,435.8342853357197,-422.3735980981621,-424.2210998535156,-424.4123244638794,-422.3735980981621,-424.2210998535156,-424.4123244638794,7.173523562649256,6.757480144500732,6.6018495078459765,sitting,karol
1672331897270389000,-421.80413818359375,7.301761627197266,-107.0089111328125,435.2274735968477,-421.80413818359375,-422.3735980981621,-424.2210998535156,-421.80413818359375,-422.3735980981621,-424.2210998535156,7.301761627197266,7.173523562649256,6.757480144500732,sitting,karol
1672331897280389000,-422.288623643725,7.333557853426542,-109.1706787709186,436.23353817995735,-422.288623643725,-421.80413818359375,-422.3735980981621,-422.288623643725,-421.80413818359375,-422.3735980981621,7.333557853426542,7.301761627197266,7.173523562649256,sitting,karol
1672331897290389000,-421.3238873504311,8.437035195596644,-109.78829958256074,435.4749962284868,-421.3238873504311,-422.288623643725,-421.80413818359375,-421.3238873504311,-422.288623643725,-421.80413818359375,8.437035195596644,7.333557853426542,7.301761627197266,sitting,karol
1672331897300389000,-420.921533128029,6.679194436491812,-110.20597202064832,435.16078058366753,-420.921533128029,-421.3238873504311,-422.288623643725,-420.921533128029,-421.3238873504311,-422.288623643725,6.679194436491812,8.437035195596644,7.333557853426542,sitting,karol
1672331897310389000,-417.80598448236657,8.044480120528538,-109.27777379979,431.9353958363764,-417.80598448236657,-420.921533128029,-421.3238873504311,-417.80598448236657,-420.921533128029,-421.3238873504311,8.044480120528538,6.679194436491812,8.437035195596644,sitting,karol
1672331897320389000,-417.1144575536869,8.750719527299196,-110.69505299068577,431.64156489981673,-417.1144575536869,-417.80598448236657,-420.921533128029,-417.1144575536869,-417.80598448236657,-420.921533128029,8.750719527299196,8.044480120528538,6.679194436491812,sitting,karol
1672331897330389000,-416.5467956612235,8.732941137680388,-112.0074540920666,431.43153223742655,-416.5467956612235,-417.1144575536869,-417.80598448236657,-416.5467956612235,-417.1144575536869,-417.80598448236657,8.732941137680388,8.750719527299196,8.044480120528538,sitting,karol
1672331897340389000,-412.9586709440536,7.410418114089264,-112.90373353198603,428.17873750335445,-412.9586709440536,-416.5467956612235,-417.1144575536869,-412.9586709440536,-416.5467956612235,-417.1144575536869,7.410418114089264,8.732941137680388,8.750719527299196,sitting,karol
1672331897350389000,-410.9664867489492,7.5262884916316946,-113.66799288959253,426.46278953360274,-410.9664867489492,-412.9586709440536,-416.5467956612235,-410.9664867489492,-412.9586709440536,-416.5467956612235,7.5262884916316946,7.410418114089264,8.732941137680388,sitting,karol
1672331897360389000,-410.9992577616208,7.098358225296947,-115.48243300831436,426.9742016839163,-410.9992577616208,-410.9664867489492,-412.9586709440536,-410.9992577616208,-410.9664867489492,-412.9586709440536,7.098358225296947,7.5262884916316946,7.410418114089264,sitting,karol
1672331897370389000,-411.8592253217323,7.564957554618612,-113.68184637525752,427.32752340647136,-411.8592253217323,-410.9992577616208,-410.9664867489492,-411.8592253217323,-410.9992577616208,-410.9664867489492,7.564957554618612,7.098358225296947,7.5262884916316946,sitting,karol
1672331897380389000,-409.98248056333085,8.26127456371906,-114.53718117451989,425.761258098578,-409.98248056333085,-411.8592253217323,-410.9992577616208,-409.98248056333085,-411.8592253217323,-410.9992577616208,8.26127456371906,7.564957554618612,7.098358225296947,sitting,karol
1672331897390389000,-410.6338045954197,7.83877000609574,-114.19901268340892,426.28978675260703,-410.6338045954197,-409.98248056333085,-411.8592253217323,-410.6338045954197,-409.98248056333085,-411.8592253217323,7.83877000609574,8.26127456371906,7.564957554618612,sitting,karol
1672331897400389000,-411.4277142202917,7.914388835120685,-115.3812689084004,427.3736524331841,-411.4277142202917,-410.6338045954197,-409.98248056333085,-411.4277142202917,-410.6338045954197,-409.98248056333085,7.914388835120685,7.83877000609574,8.26127456371906,sitting,karol
1672331897410389000,-409.9571613692437,8.35817352190427,-114.23641820225836,425.6579524292147,-409.9571613692437,-411.4277142202917,-410.6338045954197,-409.9571613692437,-411.4277142202917,-410.6338045954197,8.35817352190427,7.914388835120685,7.83877000609574,sitting,karol
1672331897420389000,-409.5830480730597,8.977291871515947,-113.82416808110852,425.1997251616247,-409.5830480730597,-409.9571613692437,-411.4277142202917,-409.5830480730597,-409.9571613692437,-411.4277142202917,8.977291871515947,8.35817352190427,7.914388835120685,sitting,karol
1672331897430389000,-409.92215065343487,8.53366043811055,-114.07722802440952,425.5850172533608,-409.92215065343487,-409.5830480730597,-409.9571613692437,-409.92215065343487,-409.5830480730597,-409.9571613692437,8.53366043811055,8.977291871515947,8.35817352190427,sitting,karol
1672331897440389000,-410.8550048444728,8.77453196855899,-115.42258277526903,426.8503250924531,-410.8550048444728,-409.92215065343487,-409.5830480730597,-410.8550048444728,-409.92215065343487,-409.5830480730597,8.77453196855899,8.53366043811055,8.977291871515947,sitting,karol
1672331897450389000,-408.71816191759706,8.503380620555685,-116.60876200364466,425.1122754512033,-408.71816191759706,-410.8550048444728,-409.92215065343487,-408.71816191759706,-410.8550048444728,-409.92215065343487,8.503380620555685,8.77453196855899,8.53366043811055,sitting,karol
1672331897460389000,-408.82853479975023,9.055032869005212,-116.6232474899602,425.23375494176594,-408.82853479975023,-408.71816191759706,-410.8550048444728,-408.82853479975023,-408.71816191759706,-410.8550048444728,9.055032869005212,8.503380620555685,8.77453196855899,sitting,karol
1672331897470389000,-408.7161261585376,8.641747914511507,-116.0606336269424,424.96308341660335,-408.7161261585376,-408.82853479975023,-408.71816191759706,-408.7161261585376,-408.82853479975023,-408.71816191759706,8.641747914511507,9.055032869005212,8.503380620555685,sitting,karol
1672331897480389000,-407.60349371448746,8.328718869558385,-117.7307287037538,424.34714577499074,-407.60349371448746,-408.7161261585376,-408.82853479975023,-407.60349371448746,-408.7161261585376,-408.82853479975023,8.328718869558385,8.641747914511507,9.055032869005212,sitting,karol
1672331897490389000,-407.5339821451284,8.829481748398536,-117.18113960021736,424.1383333642655,-407.5339821451284,-407.60349371448746,-408.7161261585376,-407.5339821451284,-407.60349371448746,-408.7161261585376,8.829481748398536,8.328718869558385,8.641747914511507,sitting,karol
1672331897500389000,-406.221883471948,10.626421377057769,-117.26007877380307,422.9409716695915,-406.221883471948,-407.5339821451284,-407.60349371448746,-406.221883471948,-407.5339821451284,-407.60349371448746,10.626421377057769,8.829481748398536,8.328718869558385,sitting,karol
1672331897510389000,-406.50912934888265,11.085029136313768,-118.3231754166729,423.524407744848,-406.50912934888265,-406.221883471948,-407.5339821451284,-406.50912934888265,-406.221883471948,-407.5339821451284,11.085029136313768,10.626421377057769,8.829481748398536,sitting,karol
1672331897520389000,-406.3158425181224,11.89763968820159,-118.45909945889942,423.39895601663375,-406.3158425181224,-406.50912934888265,-406.221883471948,-406.3158425181224,-406.50912934888265,-406.221883471948,11.89763968820159,11.085029136313768,10.626421377057769,sitting,karol
1672331897530389000,-404.65431879324,11.952102136083845,-119.16185894908573,422.0041695193239,-404.65431879324,-406.3158425181224,-406.50912934888265,-404.65431879324,-406.3158425181224,-406.50912934888265,11.952102136083845,11.89763968820159,11.085029136313768,sitting,karol
1672331897540389000,-405.49198499788616,12.51022218348911,-118.17228423708492,422.5457896115125,-405.49198499788616,-404.65431879324,-406.3158425181224,-405.49198499788616,-404.65431879324,-406.3158425181224,12.51022218348911,11.952102136083845,11.89763968820159,sitting,karol
1672331897550389000,-405.4860314786,12.210441513510274,-118.91721529343732,422.7402520453485,-405.4860314786,-405.49198499788616,-404.65431879324,-405.4860314786,-405.49198499788616,-404.65431879324,12.210441513510274,12.51022218348911,11.952102136083845,sitting,karol
1672331897560389000,-404.6352306623685,12.17320530772719,-120.58825619149722,422.3971879072568,-404.6352306623685,-405.4860314786,-405.49198499788616,-404.6352306623685,-405.4860314786,-405.49198499788616,12.17320530772719,12.210441513510274,12.51022218348911,sitting,karol
1672331897570389000,-405.6940237355502,14.002382028758142,-119.77451532220635,423.2370991747887,-405.6940237355502,-404.6352306623685,-405.4860314786,-405.6940237355502,-404.6352306623685,-405.4860314786,14.002382028758142,12.17320530772719,12.210441513510274,sitting,karol
1672331897580389000,-405.4812356265712,13.89209265248825,-120.84338964654064,423.3333763179817,-405.4812356265712,-405.6940237355502,-404.6352306623685,-405.4812356265712,-405.6940237355502,-404.6352306623685,13.89209265248825,14.002382028758142,12.17320530772719,sitting,karol
1672331897590389000,-407.4112441080997,14.723649897092937,-121.6266162480943,425.4335923172534,-407.4112441080997,-405.4812356265712,-405.6940237355502,-407.4112441080997,-405.4812356265712,-405.6940237355502,14.723649897092937,13.89209265248825,14.002382028758142,sitting,karol
1672331897600389000,-408.0612182617188,15.037208557128906,-121.6612319946289,426.0769072138029,-408.0612182617188,-407.4112441080997,-405.4812356265712,-408.0612182617188,-407.4112441080997,-405.4812356265712,15.037208557128906,14.723649897092937,13.89209265248825,sitting,karol
1672331897610389000,-407.46963124321474,14.480868097710072,-121.6697944577105,425.4935191160098,-407.46963124321474,-408.0612182617188,-407.4112441080997,-407.46963124321474,-408.0612182617188,-407.4112441080997,14.480868097710072,15.037208557128906,14.723649897092937,sitting,karol
