time,x,y,z,mag,lagX0,lagX1,lagX2,lagX0.1,lagX1.1,lagX2.1,lagY0,lagY1,lagY2,activity,name
1672332313771207000,-428.9701745287888,27.612341216391968,-119.56482196780452,446.1766451473035,-428.9701745287888,,,-428.9701745287888,,,27.612341216391968,,,sitting,karol
1672332313781207000,-427.2957218708311,28.09821811450151,-120.38720587376464,444.8193151476416,-427.2957218708311,-428.9701745287888,,-427.2957218708311,-428.9701745287888,,28.09821811450151,27.612341216391968,,sitting,karol
1672332313791207000,-427.075408740652,28.25478281364344,-120.27687023080446,444.5877450125666,-427.075408740652,-427.2957218708311,-428.9701745287888,-427.075408740652,-427.2957218708311,-428.9701745287888,28.25478281364344,28.09821811450151,27.612341216391968,sitting,karol
1672332313801207000,-428.7342339400632,27.39606424804872,-119.94045134642654,446.0373297804126,-428.7342339400632,-427.075408740652,-427.2957218708311,-428.7342339400632,-427.075408740652,-427.2957218708311,27.39606424804872,28.25478281364344,28.09821811450151,sitting,karol
1672332313811207000,-428.9027169337168,28.295891446542715,-120.86584333394111,446.505039334052,-428.9027169337168,-428.7342339400632,-427.075408740652,-428.9027169337168,-428.7342339400632,-427.075408740652,28.295891446542715,27.39606424804872,28.25478281364344,sitting,karol
1672332313821207000,-428.9538314860533,28.774415784796023,-120.86730817110708,446.5851125315879,-428.9538314860533,-428.9027169337168,-428.7342339400632,-428.9538314860533,-428.9027169337168,-428.7342339400632,28.774415784796023,28.295891446542715,27.39606424804872,sitting,karol
1672332313831207000,-429.5465477168059,28.51919709854652,-121.22792359849592,447.2357216486344,-429.5465477168059,-428.9538314860533,-428.9027169337168,-429.5465477168059,-428.9538314860533,-428.9027169337168,28.51919709854652,28.774415784796023,28.295891446542715,sitting,karol
1672332313841207000,-429.7066796759169,27.955573862920044,-121.57324501509082,447.447648973157,-429.7066796759169,-429.5465477168059,-428.9538314860533,-429.7066796759169,-429.5465477168059,-428.9538314860533,27.955573862920044,28.51919709854652,28.774415784796023,sitting,karol
1672332313851207000,-429.7742720964188,27.87015552075049,-121.99752850032267,447.6226842832527,-429.7742720964188,-429.7066796759169,-429.5465477168059,-429.7742720964188,-429.7066796759169,-429.5465477168059,27.87015552075049,27.955573862920044,28.51919709854652,sitting,karol
1672332313861207000,-430.1421307235099,28.19891881946214,-120.8526067276481,447.68603306202806,-430.1421307235099,-429.7742720964188,-429.7066796759169,-430.1421307235099,-429.7742720964188,-429.7066796759169,28.19891881946214,27.87015552075049,27.955573862920044,sitting,karol
1672332313871207000,-430.4503194942349,28.95722200308742,-120.7589691742756,448.00527552123606,-430.4503194942349,-430.1421307235099,-429.7742720964188,-430.4503194942349,-430.1421307235099,-429.7742720964188,28.95722200308742,28.19891881946214,27.87015552075049,sitting,karol
1672332313881207000,-430.40629783371486,28.1673723621953,-120.86932742543674,447.9423806618352,-430.40629783371486,-430.4503194942349,-430.1421307235099,-430.40629783371486,-430.4503194942349,-430.1421307235099,28.1673723621953,28.95722200308742,28.19891881946214,sitting,karol
1672332313891207000,-429.7523444180872,28.48327302334709,-120.1540979673285,447.14134413326974,-429.7523444180872,-430.40629783371486,-430.4503194942349,-429.7523444180872,-430.40629783371486,-430.4503194942349,28.48327302334709,28.1673723621953,28.95722200308742,sitting,karol
1672332313901207000,-429.207901096269,27.86230726328307,-120.62688356851616,446.7063639226002,-429.207901096269,-429.7523444180872,-430.40629783371486,-429.207901096269,-429.7523444180872,-430.40629783371486,27.86230726328307,28.48327302334709,28.1673723621953,sitting,karol
1672332313911207000,-428.6707057705171,28.62869985300928,-120.7082062458451,446.2607393622661,-428.6707057705171,-429.207901096269,-429.7523444180872,-428.6707057705171,-429.207901096269,-429.7523444180872,28.62869985300928,27.86230726328307,28.48327302334709,sitting,karol
1672332313921207000,-428.75246492445615,28.08195277632465,-120.93216121376584,446.3651642616849,-428.75246492445615,-428.6707057705171,-429.207901096269,-428.75246492445615,-428.6707057705171,-429.207901096269,28.08195277632465,28.62869985300928,27.86230726328307,sitting,karol
1672332313931207000,-429.0933893701144,28.95800865657557,-120.98765456475986,446.7636014981173,-429.0933893701144,-428.75246492445615,-428.6707057705171,-429.0933893701144,-428.75246492445615,-428.6707057705171,28.95800865657557,28.08195277632465,28.62869985300928,sitting,karol
1672332313941207000,-427.8289130184665,29.333660008344275,-120.76061475464728,445.51225404018686,-427.8289130184665,-429.0933893701144,-428.75246492445615,-427.8289130184665,-429.0933893701144,-428.75246492445615,29.333660008344275,28.95800865657557,28.08195277632465,sitting,karol
1672332313951207000,-428.46329364059096,29.22019090316754,-121.66668449531792,446.3601636233279,-428.46329364059096,-427.8289130184665,-429.0933893701144,-428.46329364059096,-427.8289130184665,-429.0933893701144,29.22019090316754,29.333660008344275,28.95800865657557,sitting,karol
1672332313961207000,-427.9259377317192,29.086715175946463,-121.11121673532108,445.6843860877423,-427.9259377317192,-428.46329364059096,-427.8289130184665,-427.9259377317192,-428.46329364059096,-427.8289130184665,29.086715175946463,29.22019090316754,29.333660008344275,sitting,karol
1672332313971207000,-428.9068377744871,29.103004828554344,-121.20777239335644,446.65353963482784,-428.9068377744871,-427.9259377317192,-428.46329364059096,-428.9068377744871,-427.9259377317192,-428.46329364059096,29.103004828554344,29.086715175946463,29.22019090316754,sitting,karol
1672332313981207000,-428.9029586512061,27.93540814511764,-121.15515524759417,446.5609774835472,-428.9029586512061,-428.9068377744871,-427.9259377317192,-428.9029586512061,-428.9068377744871,-427.9259377317192,27.93540814511764,29.103004828554344,29.086715175946463,sitting,karol
1672332313991207000,-428.8965020947017,28.004723230706336,-121.24466122107874,446.5834097981172,-428.8965020947017,-428.9029586512061,-428.9068377744871,-428.8965020947017,-428.9029586512061,-428.9068377744871,28.004723230706336,27.93540814511764,29.103004828554344,sitting,karol
1672332314001207000,-427.3279207463111,29.20347799161651,-121.14811515935268,445.1279150792906,-427.3279207463111,-428.8965020947017,-428.9029586512061,-427.3279207463111,-428.8965020947017,-428.9029586512061,29.20347799161651,28.004723230706336,27.93540814511764,sitting,karol
1672332314011207000,-427.5074466346911,28.55045064993044,-121.41750805075498,445.33128839290254,-427.5074466346911,-427.3279207463111,-428.8965020947017,-427.5074466346911,-427.3279207463111,-428.8965020947017,28.55045064993044,29.20347799161651,28.004723230706336,sitting,karol
1672332314021207000,-428.4763665251856,28.53944629228188,-123.09728645491153,446.7207613239592,-428.4763665251856,-427.5074466346911,-427.3279207463111,-428.4763665251856,-427.5074466346911,-427.3279207463111,28.53944629228188,28.55045064993044,29.20347799161651,sitting,karol
1672332314031207000,-428.2416541505742,29.489666415500302,-122.61828746629692,446.42558080388375,-428.2416541505742,-428.4763665251856,-427.5074466346911,-428.2416541505742,-428.4763665251856,-427.5074466346911,29.489666415500302,28.53944629228188,28.55045064993044,sitting,karol
1672332314041207000,-429.1031027162073,29.650889784075247,-123.89857355882816,447.6153533510392,-429.1031027162073,-428.2416541505742,-428.4763665251856,-429.1031027162073,-428.2416541505742,-428.4763665251856,29.650889784075247,29.489666415500302,28.53944629228188,sitting,karol
1672332314051207000,-429.0400124162492,29.275559277771524,-123.16108433620988,447.3265511011308,-429.0400124162492,-429.1031027162073,-428.2416541505742,-429.0400124162492,-429.1031027162073,-428.2416541505742,29.275559277771524,29.650889784075247,29.489666415500302,sitting,karol
1672332314061207000,-428.5675973430896,29.19922606429885,-122.40944493700373,446.66189954479887,-428.5675973430896,-429.0400124162492,-429.1031027162073,-428.5675973430896,-429.0400124162492,-429.1031027162073,29.19922606429885,29.275559277771524,29.650889784075247,sitting,karol
1672332314071207000,-428.515859077109,28.792171676304587,-121.95895055076195,446.4625586203997,-428.515859077109,-428.5675973430896,-429.0400124162492,-428.515859077109,-428.5675973430896,-429.0400124162492,28.792171676304587,29.19922606429885,29.275559277771524,sitting,karol
1672332314081207000,-428.8410941494906,29.05473858196052,-123.54889251633158,447.2283429160214,-428.8410941494906,-428.515859077109,-428.5675973430896,-428.8410941494906,-428.515859077109,-428.5675973430896,29.05473858196052,28.792171676304587,29.19922606429885,sitting,karol
