time,x,y,z,mag,lagX0,lagX1,lagX2,lagX0.1,lagX1.1,lagX2.1,lagY0,lagY1,lagY2,activity,name
1672853590826765800,-459.3940124511719,22.15296936035156,-139.805419921875,480.7069462437588,-459.3940124511719,,,-459.3940124511719,,,22.15296936035156,,,squats,karol
1672853590836765800,-459.40409959313774,22.130021466550705,-139.8467362372874,480.7275467552416,-459.40409959313774,-459.3940124511719,,-459.40409959313774,-459.3940124511719,,22.130021466550705,22.15296936035156,,squats,karol
1672853590846765800,-459.85897533056624,22.02784141164894,-140.54117889033049,481.3598715651513,-459.85897533056624,-459.40409959313774,-459.3940124511719,-459.85897533056624,-459.40409959313774,-459.3940124511719,22.02784141164894,22.130021466550705,22.15296936035156,squats,karol
1672853590856765800,-461.08101713990953,22.3909660292596,-140.75203260264578,482.6056303114099,-461.08101713990953,-459.85897533056624,-459.40409959313774,-461.08101713990953,-459.85897533056624,-459.40409959313774,22.3909660292596,22.02784141164894,22.130021466550705,squats,karol
1672853590866765800,-459.493144878725,22.484410305912107,-137.52559766458668,480.1591287379084,-459.493144878725,-461.08101713990953,-459.85897533056624,-459.493144878725,-461.08101713990953,-459.85897533056624,22.484410305912107,22.3909660292596,22.02784141164894,squats,karol
1672853590876765800,-460.1116067542652,21.665210850603827,-139.33798949403163,481.2350229850603,-460.1116067542652,-459.493144878725,-461.08101713990953,-460.1116067542652,-459.493144878725,-461.08101713990953,21.665210850603827,22.484410305912107,22.3909660292596,squats,karol
1672853590886765800,-460.2466905367749,22.838855415530777,-136.76063461673152,480.6787915516104,-460.2466905367749,-460.1116067542652,-459.493144878725,-460.2466905367749,-460.1116067542652,-459.493144878725,22.838855415530777,21.665210850603827,22.484410305912107,squats,karol
1672853590896765800,-461.8618319519926,22.68813596116565,-138.46973239118972,482.70588365580414,-461.8618319519926,-460.2466905367749,-460.1116067542652,-461.8618319519926,-460.2466905367749,-460.1116067542652,22.68813596116565,22.838855415530777,21.665210850603827,squats,karol
1672853590906765800,-462.0452200481468,22.146279807722973,-138.3191687572443,482.8130440702254,-462.0452200481468,-461.8618319519926,-460.2466905367749,-462.0452200481468,-461.8618319519926,-460.2466905367749,22.146279807722973,22.68813596116565,22.838855415530777,squats,karol
1672853590916765800,-462.7124921155884,23.019659273319625,-136.96549872658005,483.1069269988777,-462.7124921155884,-462.0452200481468,-461.8618319519926,-462.7124921155884,-462.0452200481468,-461.8618319519926,23.019659273319625,22.146279807722973,22.68813596116565,squats,karol
1672853590926765800,-463.3417458561543,22.2515568369965,-138.40150175384076,484.082308003936,-463.3417458561543,-462.7124921155884,-462.0452200481468,-463.3417458561543,-462.7124921155884,-462.0452200481468,22.2515568369965,23.019659273319625,22.146279807722973,squats,karol
1672853590936765800,-463.7620016055979,23.80082853694403,-138.826004794498,484.67961910882696,-463.7620016055979,-463.3417458561543,-462.7124921155884,-463.7620016055979,-463.3417458561543,-462.7124921155884,23.80082853694403,22.2515568369965,23.019659273319625,squats,karol
1672853590946765800,-463.5817114949599,25.28234818666896,-137.9309766922802,484.3264959649787,-463.5817114949599,-463.7620016055979,-463.3417458561543,-463.5817114949599,-463.7620016055979,-463.3417458561543,25.28234818666896,23.80082853694403,22.2515568369965,squats,karol
1672853590956765800,-463.83252477537593,24.41992031606748,-139.25103922095877,484.8997787913084,-463.83252477537593,-463.5817114949599,-463.7620016055979,-463.83252477537593,-463.5817114949599,-463.7620016055979,24.41992031606748,25.28234818666896,23.80082853694403,squats,karol
1672853590966765800,-464.0353613903407,25.061546776706365,-139.1546890556808,485.0988819134593,-464.0353613903407,-463.83252477537593,-463.5817114949599,-464.0353613903407,-463.83252477537593,-463.5817114949599,25.061546776706365,24.41992031606748,25.28234818666896,squats,karol
1672853590976765800,-465.8597007854444,26.58013870552914,-140.13556966913583,487.2060575116059,-465.8597007854444,-464.0353613903407,-463.83252477537593,-465.8597007854444,-464.0353613903407,-463.83252477537593,26.58013870552914,25.061546776706365,24.41992031606748,squats,karol
