time,x,y,z,mag,lagX0,lagX1,lagX2,lagX0.1,lagX1.1,lagX2.1,lagY0,lagY1,lagY2,activity,name
1670850179053838800,-7.826655526878651,-105.74727582854062,-371.5983123439056,386.4311693157433,-7.826655526878651,,,-7.826655526878651,,,-105.74727582854062,,,upstairs,kasper
1670850179063838800,-8.008717830337616,-105.84757020028138,-371.64159423401975,386.5039744212124,-8.008717830337616,-7.826655526878651,,-8.008717830337616,-7.826655526878651,,-105.84757020028138,-105.74727582854062,,upstairs,kasper
1670850179073838800,-8.313619464603322,-105.8329733870809,-371.7034380038677,386.5658809937161,-8.313619464603322,-8.008717830337616,-7.826655526878651,-8.313619464603322,-8.008717830337616,-7.826655526878651,-105.8329733870809,-105.84757020028138,-105.74727582854062,upstairs,kasper
1670850179083838800,-8.277754495529363,-105.46308907154078,-371.4509015977392,386.22112406466505,-8.277754495529363,-8.313619464603322,-8.008717830337616,-8.277754495529363,-8.313619464603322,-8.008717830337616,-105.46308907154078,-105.8329733870809,-105.84757020028138,upstairs,kasper
1670850179093838800,-8.277790826189438,-105.65351885424218,-371.5757635720808,386.39324003069817,-8.277790826189438,-8.277754495529363,-8.313619464603322,-8.277790826189438,-8.277754495529363,-8.313619464603322,-105.65351885424218,-105.46308907154078,-105.8329733870809,upstairs,kasper
1670850179103838800,-8.441350783710353,-105.74752821879068,-371.6483361970122,386.4922792572253,-8.441350783710353,-8.277790826189438,-8.277754495529363,-8.441350783710353,-8.277790826189438,-8.277754495529363,-105.74752821879068,-105.65351885424218,-105.46308907154078,upstairs,kasper
1670850179113838800,-8.470361677693948,-105.7073463760632,-371.3971802210529,386.240411636288,-8.470361677693948,-8.441350783710353,-8.277790826189438,-8.470361677693948,-8.441350783710353,-8.277790826189438,-105.7073463760632,-105.74752821879068,-105.65351885424218,upstairs,kasper
1670850179123838800,-8.504508519070582,-105.58231453526572,-371.4435214249587,386.2515261022906,-8.504508519070582,-8.470361677693948,-8.441350783710353,-8.504508519070582,-8.470361677693948,-8.441350783710353,-105.58231453526572,-105.7073463760632,-105.74752821879068,upstairs,kasper
1670850179133838800,-8.579645948369965,-105.38445365624032,-371.6692968689472,386.4163035277902,-8.579645948369965,-8.504508519070582,-8.470361677693948,-8.579645948369965,-8.504508519070582,-8.470361677693948,-105.38445365624032,-105.58231453526572,-105.7073463760632,upstairs,kasper
1670850179143838800,-8.322211729566526,-105.16434280471906,-371.5805849030679,386.2653612253191,-8.322211729566526,-8.579645948369965,-8.504508519070582,-8.322211729566526,-8.579645948369965,-8.504508519070582,-105.16434280471906,-105.38445365624032,-105.58231453526572,upstairs,kasper
1670850179153838800,-8.403920804428175,-104.88380786069293,-371.4268543755433,386.042934383673,-8.403920804428175,-8.322211729566526,-8.579645948369965,-8.403920804428175,-8.322211729566526,-8.579645948369965,-104.88380786069293,-105.16434280471906,-105.38445365624032,upstairs,kasper
1670850179163838800,-8.112929951755458,-104.91599071309663,-371.5811026226431,386.19386396727214,-8.112929951755458,-8.403920804428175,-8.322211729566526,-8.112929951755458,-8.403920804428175,-8.322211729566526,-104.91599071309663,-104.88380786069293,-105.16434280471906,upstairs,kasper
1670850179173838800,-7.876943939895664,-104.88268591488487,-371.54810248238897,386.14817947106326,-7.876943939895664,-8.112929951755458,-8.403920804428175,-7.876943939895664,-8.112929951755458,-8.403920804428175,-104.88268591488487,-104.91599071309663,-104.88380786069293,upstairs,kasper
1670850179183838800,-7.890117835601023,-104.54048381233147,-371.5516797243933,386.0590854016961,-7.890117835601023,-7.876943939895664,-8.112929951755458,-7.890117835601023,-7.876943939895664,-8.112929951755458,-104.54048381233147,-104.88268591488487,-104.91599071309663,upstairs,kasper
1670850179193838800,-7.796834609894686,-104.36890793940108,-371.362481820724,385.8286568911709,-7.796834609894686,-7.890117835601023,-7.876943939895664,-7.796834609894686,-7.890117835601023,-7.876943939895664,-104.36890793940108,-104.54048381233147,-104.88268591488487,upstairs,kasper
1670850179203838800,-7.805583074374017,-104.20368878259887,-371.34815431728487,385.77038196041656,-7.805583074374017,-7.796834609894686,-7.890117835601023,-7.805583074374017,-7.796834609894686,-7.890117835601023,-104.20368878259887,-104.36890793940108,-104.54048381233147,upstairs,kasper
1670850179213838800,-7.616079617051406,-104.3231778016472,-371.5477381708717,385.99099968167394,-7.616079617051406,-7.805583074374017,-7.796834609894686,-7.616079617051406,-7.805583074374017,-7.796834609894686,-104.3231778016472,-104.20368878259887,-104.36890793940108,upstairs,kasper
1670850179223838800,-7.465773811229438,-103.94510835894624,-371.5402765722257,385.8788675811614,-7.465773811229438,-7.616079617051406,-7.805583074374017,-7.465773811229438,-7.616079617051406,-7.805583074374017,-103.94510835894624,-104.3231778016472,-104.20368878259887,upstairs,kasper
1670850179233838800,-7.451949106645042,-103.60948739013692,-371.3225662634473,385.5786633609375,-7.451949106645042,-7.465773811229438,-7.616079617051406,-7.451949106645042,-7.465773811229438,-7.616079617051406,-103.60948739013692,-103.94510835894624,-104.3231778016472,upstairs,kasper
1670850179243838800,-7.457679566909976,-103.56522402045006,-371.1077299262096,385.3599873130489,-7.457679566909976,-7.451949106645042,-7.465773811229438,-7.457679566909976,-7.451949106645042,-7.465773811229438,-103.56522402045006,-103.60948739013692,-103.94510835894624,upstairs,kasper
1670850179253838800,-7.606093238683419,-103.3980989566458,-371.26258877237314,385.4671572834294,-7.606093238683419,-7.457679566909976,-7.451949106645042,-7.606093238683419,-7.457679566909976,-7.451949106645042,-103.3980989566458,-103.56522402045006,-103.60948739013692,upstairs,kasper
1670850179263838800,-7.648749787578399,-103.01326541920322,-371.2312174147116,385.3347285268342,-7.648749787578399,-7.606093238683419,-7.457679566909976,-7.648749787578399,-7.606093238683419,-7.457679566909976,-103.01326541920322,-103.3980989566458,-103.56522402045006,upstairs,kasper
1670850179273838800,-7.521084016149723,-102.82636988298462,-371.174363503266,385.22751351655165,-7.521084016149723,-7.648749787578399,-7.606093238683419,-7.521084016149723,-7.648749787578399,-7.606093238683419,-102.82636988298462,-103.01326541920322,-103.3980989566458,upstairs,kasper
1670850179283838800,-7.372223376207799,-103.0777727571638,-371.58884297149353,385.6911265961138,-7.372223376207799,-7.521084016149723,-7.648749787578399,-7.372223376207799,-7.521084016149723,-7.648749787578399,-103.0777727571638,-102.82636988298462,-103.01326541920322,upstairs,kasper
1670850179293838800,-6.883196761170876,-103.4308661805316,-371.65351988358896,385.8389059158878,-6.883196761170876,-7.372223376207799,-7.521084016149723,-6.883196761170876,-7.372223376207799,-7.521084016149723,-103.4308661805316,-103.0777727571638,-102.82636988298462,upstairs,kasper
1670850179303838800,-7.127565311986964,-103.67514401689964,-371.69729279553934,385.9510527848505,-7.127565311986964,-6.883196761170876,-7.372223376207799,-7.127565311986964,-6.883196761170876,-7.372223376207799,-103.67514401689964,-103.4308661805316,-103.0777727571638,upstairs,kasper
1670850179313838800,-7.555282967985024,-103.95202960822829,-372.0878748063213,386.409747985582,-7.555282967985024,-7.127565311986964,-6.883196761170876,-7.555282967985024,-7.127565311986964,-6.883196761170876,-103.95202960822829,-103.67514401689964,-103.4308661805316,upstairs,kasper
1670850179323838800,-7.894002344130562,-104.36345954222011,-372.16103979167167,386.5978356114374,-7.894002344130562,-7.555282967985024,-7.127565311986964,-7.894002344130562,-7.555282967985024,-7.127565311986964,-104.36345954222011,-103.95202960822829,-103.67514401689964,upstairs,kasper
1670850179333838800,-8.592072366084253,-104.88684471454646,-372.31807099467824,386.90544050312303,-8.592072366084253,-7.894002344130562,-7.555282967985024,-8.592072366084253,-7.894002344130562,-7.555282967985024,-104.88684471454646,-104.36345954222011,-103.95202960822829,upstairs,kasper
1670850179343838800,-9.298763133661824,-105.093943853479,-372.7323976548273,387.3766181534586,-9.298763133661824,-8.592072366084253,-7.894002344130562,-9.298763133661824,-8.592072366084253,-7.894002344130562,-105.093943853479,-104.88684471454646,-104.36345954222011,upstairs,kasper
1670850179353838800,-9.93499152798963,-105.39455545427424,-372.8944511139711,387.62996278365154,-9.93499152798963,-9.298763133661824,-8.592072366084253,-9.93499152798963,-9.298763133661824,-8.592072366084253,-105.39455545427424,-105.093943853479,-104.88684471454646,upstairs,kasper
1670850179363838800,-10.505560082081182,-106.06839829281532,-372.8475764466736,387.7836860560274,-10.505560082081182,-9.93499152798963,-9.298763133661824,-10.505560082081182,-9.93499152798963,-9.298763133661824,-106.06839829281532,-105.39455545427424,-105.093943853479,upstairs,kasper
