time,x,y,z,mag,lagX0,lagX1,lagX2,lagX0.1,lagX1.1,lagX2.1,lagY0,lagY1,lagY2,activity,name
1674839680954909400,-42.58416580692555,-83.48277777102706,327.6452334507358,340.7846598144136,-42.58416580692555,,,-42.58416580692555,,,-83.48277777102706,,,squats,kuba
1674839680964909400,-42.77742189535167,-83.43295029860177,327.6728161021582,340.8231791293847,-42.77742189535167,-42.58416580692555,,-42.77742189535167,-42.58416580692555,,-83.43295029860177,-83.48277777102706,,squats,kuba
1674839680974909400,-42.91305399268063,-83.34296287838028,327.6764656655026,340.8217214547234,-42.91305399268063,-42.77742189535167,-42.58416580692555,-42.91305399268063,-42.77742189535167,-42.58416580692555,-83.34296287838028,-83.43295029860177,-83.48277777102706,squats,kuba
1674839680984909400,-42.606500260294496,-83.31861320259588,327.64999255624684,340.7518492870477,-42.606500260294496,-42.91305399268063,-42.77742189535167,-42.606500260294496,-42.91305399268063,-42.77742189535167,-83.31861320259588,-83.34296287838028,-83.43295029860177,squats,kuba
1674839680994909400,-42.55491343008861,-83.28013404762778,327.5289594807776,340.6196128859788,-42.55491343008861,-42.606500260294496,-42.91305399268063,-42.55491343008861,-42.606500260294496,-42.91305399268063,-83.28013404762778,-83.31861320259588,-83.34296287838028,squats,kuba
1674839681004909400,-43.04124821874737,-83.14020873608189,327.29102608324393,340.4177714390507,-43.04124821874737,-42.55491343008861,-42.606500260294496,-43.04124821874737,-42.55491343008861,-42.606500260294496,-83.14020873608189,-83.28013404762778,-83.31861320259588,squats,kuba
1674839681014909400,-43.561739149714974,-82.92469902224452,327.02392622613064,340.17463037391747,-43.561739149714974,-43.04124821874737,-42.55491343008861,-43.561739149714974,-43.04124821874737,-42.55491343008861,-82.92469902224452,-83.14020873608189,-83.28013404762778,squats,kuba
1674839681024909400,-43.68179798803922,-82.56861740775757,326.85809153890085,339.9439484099533,-43.68179798803922,-43.561739149714974,-43.04124821874737,-43.68179798803922,-43.561739149714974,-43.04124821874737,-82.56861740775757,-82.92469902224452,-83.14020873608189,squats,kuba
1674839681034909400,-43.69606389198108,-81.98175769456027,326.78400779917206,339.7324570123247,-43.69606389198108,-43.68179798803922,-43.561739149714974,-43.69606389198108,-43.68179798803922,-43.561739149714974,-81.98175769456027,-82.56861740775757,-82.92469902224452,squats,kuba
1674839681044909400,-43.902331007257146,-81.15634044213378,326.69582923313544,339.47596542341,-43.902331007257146,-43.69606389198108,-43.68179798803922,-43.902331007257146,-43.69606389198108,-43.68179798803922,-81.15634044213378,-81.98175769456027,-82.56861740775757,squats,kuba
1674839681054909400,-44.4154175808163,-80.25591588295933,326.59109189764143,339.2277740103021,-44.4154175808163,-43.902331007257146,-43.69606389198108,-44.4154175808163,-43.902331007257146,-43.69606389198108,-80.25591588295933,-81.15634044213378,-81.98175769456027,squats,kuba
1674839681064909400,-45.0053518591204,-79.27738669547989,326.4479593818781,338.9375398533191,-45.0053518591204,-44.4154175808163,-43.902331007257146,-45.0053518591204,-44.4154175808163,-43.902331007257146,-79.27738669547989,-80.25591588295933,-81.15634044213378,squats,kuba
1674839681074909400,-45.52978724788869,-78.30087664705398,326.1628931793039,338.50586656309105,-45.52978724788869,-45.0053518591204,-44.4154175808163,-45.52978724788869,-45.0053518591204,-44.4154175808163,-78.30087664705398,-79.27738669547989,-80.25591588295933,squats,kuba
1674839681084909400,-45.717115310652126,-77.2759693705192,326.1228238406244,338.25689394935296,-45.717115310652126,-45.52978724788869,-45.0053518591204,-45.717115310652126,-45.52978724788869,-45.0053518591204,-77.2759693705192,-78.30087664705398,-79.27738669547989,squats,kuba
1674839681094909400,-45.50183007764928,-76.46973777292015,326.2145858373239,338.1331000486217,-45.50183007764928,-45.717115310652126,-45.52978724788869,-45.50183007764928,-45.717115310652126,-45.52978724788869,-76.46973777292015,-77.2759693705192,-78.30087664705398,squats,kuba
1674839681104909400,-45.77993207931072,-75.63976707691582,326.1511121275508,337.92266051076626,-45.77993207931072,-45.50183007764928,-45.717115310652126,-45.77993207931072,-45.50183007764928,-45.717115310652126,-75.63976707691582,-76.46973777292015,-77.2759693705192,squats,kuba
