time,x,y,z,mag,lagX0,lagX1,lagX2,lagX0.1,lagX1.1,lagX2.1,lagY0,lagY1,lagY2,activity,name
1675001275519819500,-53.97193908691406,-94.5115966796875,326.3180236816406,343.989628761155,-53.97193908691406,,,-53.97193908691406,,,-94.5115966796875,,,standing,kuba
1675001275529819500,-54.009378477411694,-94.99829618482435,326.16894951035914,343.98818710273633,-54.009378477411694,-53.97193908691406,,-54.009378477411694,-53.97193908691406,,-94.99829618482435,-94.5115966796875,,standing,kuba
1675001275539819500,-54.33403506268532,-95.23924445153014,325.841944733677,343.79597728553495,-54.33403506268532,-54.009378477411694,-53.97193908691406,-54.33403506268532,-54.009378477411694,-53.97193908691406,-95.23924445153014,-94.99829618482435,-94.5115966796875,standing,kuba
1675001275549819500,-53.936339019409616,-95.31880524506828,325.56404602937056,343.4919960744035,-53.936339019409616,-54.33403506268532,-54.009378477411694,-53.936339019409616,-54.33403506268532,-54.009378477411694,-95.31880524506828,-95.23924445153014,-94.99829618482435,standing,kuba
1675001275559819500,-54.25652713906916,-95.51420951964474,325.3930161023314,343.4346369915638,-54.25652713906916,-53.936339019409616,-54.33403506268532,-54.25652713906916,-53.936339019409616,-54.33403506268532,-95.51420951964474,-95.31880524506828,-95.23924445153014,standing,kuba
1675001275569819500,-54.04216019479415,-95.63252534409604,325.3204247161634,343.3649861586267,-54.04216019479415,-54.25652713906916,-53.936339019409616,-54.04216019479415,-54.25652713906916,-53.936339019409616,-95.63252534409604,-95.51420951964474,-95.31880524506828,standing,kuba
1675001275579819500,-53.96491966176577,-95.78364158002243,325.06837842591847,343.1561877642412,-53.96491966176577,-54.04216019479415,-54.25652713906916,-53.96491966176577,-54.04216019479415,-54.25652713906916,-95.78364158002243,-95.63252534409604,-95.51420951964474,standing,kuba
1675001275589819500,-54.33804048174439,-95.85673862942647,324.8144802658419,342.99501975165015,-54.33804048174439,-53.96491966176577,-54.04216019479415,-54.33804048174439,-53.96491966176577,-54.04216019479415,-95.85673862942647,-95.78364158002243,-95.63252534409604,standing,kuba
1675001275599819500,-54.29868087398743,-95.99559425692344,324.44672336144856,342.6794087210017,-54.29868087398743,-54.33804048174439,-53.96491966176577,-54.29868087398743,-54.33804048174439,-53.96491966176577,-95.99559425692344,-95.85673862942647,-95.78364158002243,standing,kuba
1675001275609819500,-54.65397414707073,-96.26358029557302,323.74203657745943,342.14418017659165,-54.65397414707073,-54.29868087398743,-54.33804048174439,-54.65397414707073,-54.29868087398743,-54.33804048174439,-96.26358029557302,-95.99559425692344,-95.85673862942647,standing,kuba
1675001275619819500,-54.70393741240305,-96.78998864026188,323.0865913764078,341.6807986946706,-54.70393741240305,-54.65397414707073,-54.29868087398743,-54.70393741240305,-54.65397414707073,-54.29868087398743,-96.78998864026188,-96.26358029557302,-95.99559425692344,standing,kuba
1675001275629819500,-54.597875646240496,-97.190135900607,322.4077976905025,341.1358066124117,-54.597875646240496,-54.70393741240305,-54.65397414707073,-54.597875646240496,-54.70393741240305,-54.65397414707073,-97.190135900607,-96.78998864026188,-96.26358029557302,standing,kuba
1675001275639819500,-54.46300496413459,-97.7569347685294,321.75800993794064,340.66237562179623,-54.46300496413459,-54.597875646240496,-54.70393741240305,-54.46300496413459,-54.597875646240496,-54.70393741240305,-97.7569347685294,-97.190135900607,-96.78998864026188,standing,kuba
1675001275649819500,-54.01557230207973,-98.14615725843136,321.05743383414364,340.0415063722125,-54.01557230207973,-54.46300496413459,-54.597875646240496,-54.01557230207973,-54.46300496413459,-54.597875646240496,-98.14615725843136,-97.7569347685294,-97.190135900607,standing,kuba
1675001275659819500,-54.063073569259,-98.48303170581852,321.0054225816216,340.0973460415853,-54.063073569259,-54.01557230207973,-54.46300496413459,-54.063073569259,-54.01557230207973,-54.46300496413459,-98.48303170581852,-98.14615725843136,-97.7569347685294,standing,kuba
1675001275669819500,-53.74301570953615,-99.02709992573686,321.2569006523363,340.4418811985423,-53.74301570953615,-54.063073569259,-54.01557230207973,-53.74301570953615,-54.063073569259,-54.01557230207973,-99.02709992573686,-98.48303170581852,-98.14615725843136,standing,kuba
1675001275679819500,-53.23839243037119,-99.4280750208014,321.6949419254846,340.89280454617,-53.23839243037119,-53.74301570953615,-54.063073569259,-53.23839243037119,-53.74301570953615,-54.063073569259,-99.4280750208014,-99.02709992573686,-98.48303170581852,standing,kuba
1675001275689819500,-52.71349904690639,-99.72887913673608,322.18851633042806,341.3649108664223,-52.71349904690639,-53.23839243037119,-53.74301570953615,-52.71349904690639,-53.23839243037119,-53.74301570953615,-99.72887913673608,-99.4280750208014,-99.02709992573686,standing,kuba
1675001275699819500,-52.20083134883824,-100.21927761215824,322.56919439221616,341.7889927564316,-52.20083134883824,-52.71349904690639,-53.23839243037119,-52.20083134883824,-52.71349904690639,-53.23839243037119,-100.21927761215824,-99.72887913673608,-99.4280750208014,standing,kuba
1675001275709819500,-51.709846948925886,-100.59823205962212,322.79101610107824,342.0350166877208,-51.709846948925886,-52.20083134883824,-52.71349904690639,-51.709846948925886,-52.20083134883824,-52.71349904690639,-100.59823205962212,-100.21927761215824,-99.72887913673608,standing,kuba
1675001275719819500,-51.258377302547466,-101.03885991363776,322.6853753690622,341.9972572015902,-51.258377302547466,-51.709846948925886,-52.20083134883824,-51.258377302547466,-51.709846948925886,-52.20083134883824,-101.03885991363776,-100.59823205962212,-100.21927761215824,standing,kuba
1675001275729819500,-51.01445092822279,-101.44343817024586,322.4406686363363,341.84971865127545,-51.01445092822279,-51.258377302547466,-51.709846948925886,-51.01445092822279,-51.258377302547466,-51.709846948925886,-101.44343817024586,-101.03885991363776,-100.59823205962212,standing,kuba
1675001275739819500,-50.896286748032246,-101.72535943303744,322.2069865142764,341.6955119914947,-50.896286748032246,-51.01445092822279,-51.258377302547466,-50.896286748032246,-51.01445092822279,-51.258377302547466,-101.72535943303744,-101.44343817024586,-101.03885991363776,standing,kuba
1675001275749819500,-51.07000470414182,-101.88763122588524,321.822463437818,341.40728280235726,-51.07000470414182,-50.896286748032246,-51.01445092822279,-51.07000470414182,-50.896286748032246,-51.01445092822279,-101.88763122588524,-101.72535943303744,-101.44343817024586,standing,kuba
1675001275759819500,-51.33624094043518,-101.7781877791543,321.5136440689433,341.1234856529148,-51.33624094043518,-51.07000470414182,-50.896286748032246,-51.33624094043518,-51.07000470414182,-50.896286748032246,-101.7781877791543,-101.88763122588524,-101.72535943303744,standing,kuba
1675001275769819500,-51.52227145370633,-101.62308364573023,321.0614068192943,340.67906089779115,-51.52227145370633,-51.33624094043518,-51.07000470414182,-51.52227145370633,-51.33624094043518,-51.07000470414182,-101.62308364573023,-101.7781877791543,-101.88763122588524,standing,kuba
1675001275779819500,-52.12055679527062,-101.60681031950502,320.6479476654723,340.3756787522169,-52.12055679527062,-51.52227145370633,-51.33624094043518,-52.12055679527062,-51.52227145370633,-51.33624094043518,-101.60681031950502,-101.62308364573023,-101.7781877791543,standing,kuba
1675001275789819500,-51.989043733071846,-101.5589963328668,320.2302894873268,339.947832335427,-51.989043733071846,-52.12055679527062,-51.52227145370633,-51.989043733071846,-52.12055679527062,-51.52227145370633,-101.5589963328668,-101.60681031950502,-101.62308364573023,standing,kuba
1675001275799819500,-52.34411300670314,-101.200606702676,319.78565014836306,339.47655442498456,-52.34411300670314,-51.989043733071846,-52.12055679527062,-52.34411300670314,-51.989043733071846,-52.12055679527062,-101.200606702676,-101.5589963328668,-101.60681031950502,standing,kuba
1675001275809819500,-52.54058790404905,-100.9958668677818,319.11674375841574,338.81584179115976,-52.54058790404905,-52.34411300670314,-51.989043733071846,-52.54058790404905,-52.34411300670314,-51.989043733071846,-100.9958668677818,-101.200606702676,-101.5589963328668,standing,kuba
