time,x,y,z,mag,lagX0,lagX1,lagX2,lagX0.1,lagX1.1,lagX2.1,lagY0,lagY1,lagY2,activity,name
1674889714990524200,-34.40331369867004,-98.58065299165924,314.7902304571589,331.6543717923559,-34.40331369867004,,,-34.40331369867004,,,-98.58065299165924,,,upstairs,kuba
1674889715000524200,-34.59128448367247,-98.66399942884728,314.65186096240734,331.5673918717461,-34.59128448367247,-34.40331369867004,,-34.59128448367247,-34.40331369867004,,-98.66399942884728,-98.58065299165924,,upstairs,kuba
1674889715010524200,-34.701463915415125,-98.54783389621034,314.6053787244715,331.50024356835104,-34.701463915415125,-34.59128448367247,-34.40331369867004,-34.701463915415125,-34.59128448367247,-34.40331369867004,-98.54783389621034,-98.66399942884728,-98.58065299165924,upstairs,kuba
1674889715020524200,-34.88472582340947,-98.59272554281492,314.4696228782301,331.4040032029057,-34.88472582340947,-34.701463915415125,-34.59128448367247,-34.88472582340947,-34.701463915415125,-34.59128448367247,-98.59272554281492,-98.54783389621034,-98.66399942884728,upstairs,kuba
1674889715030524200,-35.19723146503899,-98.72670731683174,314.4064315272462,331.4169760681004,-35.19723146503899,-34.88472582340947,-34.701463915415125,-35.19723146503899,-34.88472582340947,-34.701463915415125,-98.72670731683174,-98.59272554281492,-98.54783389621034,upstairs,kuba
1674889715040524200,-35.27123319089059,-98.7804866189728,314.3934211133446,331.42852572891195,-35.27123319089059,-35.19723146503899,-34.88472582340947,-35.27123319089059,-35.19723146503899,-34.88472582340947,-98.7804866189728,-98.72670731683174,-98.59272554281492,upstairs,kuba
1674889715050524200,-35.3983216118989,-98.74377750481791,314.2173289707984,331.2641009744391,-35.3983216118989,-35.27123319089059,-35.19723146503899,-35.3983216118989,-35.27123319089059,-35.19723146503899,-98.74377750481791,-98.7804866189728,-98.72670731683174,upstairs,kuba
1674889715060524200,-35.45958592508087,-98.68955656662546,314.0414745548634,331.08769012134576,-35.45958592508087,-35.3983216118989,-35.27123319089059,-35.45958592508087,-35.3983216118989,-35.27123319089059,-98.68955656662546,-98.74377750481791,-98.7804866189728,upstairs,kuba
1674889715070524200,-35.3339832169222,-98.92069146023064,313.7619842727227,330.8781895859868,-35.3339832169222,-35.45958592508087,-35.3983216118989,-35.3339832169222,-35.45958592508087,-35.3983216118989,-98.92069146023064,-98.68955656662546,-98.74377750481791,upstairs,kuba
1674889715080524200,-35.36775687262006,-98.9917676835255,313.3212469876245,330.4851768373127,-35.36775687262006,-35.3339832169222,-35.45958592508087,-35.36775687262006,-35.3339832169222,-35.45958592508087,-98.9917676835255,-98.92069146023064,-98.68955656662546,upstairs,kuba
