time,x,y,z,mag,lagX0,lagX1,lagX2,lagX0.1,lagX1.1,lagX2.1,lagY0,lagY1,lagY2,activity,name
1674934019427890000,-218.70490870445457,-37.46833779508055,-1.9411166201006915,221.89971014465723,-218.70490870445457,,,-218.70490870445457,,,-37.46833779508055,,,downstairs,michal
1674934019437890000,-219.67217923058303,-36.23961348653342,-5.035275532708962,222.69829346732092,-219.67217923058303,-218.70490870445457,,-219.67217923058303,-218.70490870445457,,-36.23961348653342,-37.46833779508055,,downstairs,michal
1674934019447890000,-219.4838797988239,-34.89845497930847,-1.8387425529028287,222.2486369489434,-219.4838797988239,-219.67217923058303,-218.70490870445457,-219.4838797988239,-219.67217923058303,-218.70490870445457,-34.89845497930847,-36.23961348653342,-37.46833779508055,downstairs,michal
1674934019457890000,-220.82194004118747,-35.32628005234591,-1.9674123954321423,223.6384268801412,-220.82194004118747,-219.4838797988239,-219.67217923058303,-220.82194004118747,-219.4838797988239,-219.67217923058303,-35.32628005234591,-34.89845497930847,-36.23961348653342,downstairs,michal
1674934019467890000,-220.8594743992235,-34.569662210815984,-2.449147721734012,223.56199878743715,-220.8594743992235,-220.82194004118747,-219.4838797988239,-220.8594743992235,-220.82194004118747,-219.4838797988239,-34.569662210815984,-35.32628005234591,-34.89845497930847,downstairs,michal
1674934019477890000,-220.48821054384683,-35.12437412927223,-1.6068354620015426,223.2741690545567,-220.48821054384683,-220.8594743992235,-220.82194004118747,-220.48821054384683,-220.8594743992235,-220.82194004118747,-35.12437412927223,-34.569662210815984,-35.32628005234591,downstairs,michal
1674934019487890000,-218.5309493497689,-35.63786048813401,-2.671024750838626,221.4338892245325,-218.5309493497689,-220.48821054384683,-220.8594743992235,-218.5309493497689,-220.48821054384683,-220.8594743992235,-35.63786048813401,-35.12437412927223,-34.569662210815984,downstairs,michal
1674934019497890000,-217.476636660646,-35.513799703384635,-1.6895196512379358,220.36372645980248,-217.476636660646,-218.5309493497689,-220.48821054384683,-217.476636660646,-218.5309493497689,-220.48821054384683,-35.513799703384635,-35.63786048813401,-35.12437412927223,downstairs,michal
1674934019507890000,-219.8872304045571,-35.82997509873235,-0.574365018850457,222.78804076013023,-219.8872304045571,-217.476636660646,-218.5309493497689,-219.8872304045571,-217.476636660646,-218.5309493497689,-35.82997509873235,-35.513799703384635,-35.63786048813401,downstairs,michal
1674934019517890000,-219.46877642753412,-35.67186083190732,-3.335843090861265,222.3739043389237,-219.46877642753412,-219.8872304045571,-217.476636660646,-219.46877642753412,-219.8872304045571,-217.476636660646,-35.67186083190732,-35.82997509873235,-35.513799703384635,downstairs,michal
