time,x,y,z,mag,lagX0,lagX1,lagX2,lagX0.1,lagX1.1,lagX2.1,lagY0,lagY1,lagY2,activity,name
1674934073821634800,-236.15607676309563,-136.896004654999,-173.7773620103824,323.58736104787243,-236.15607676309563,,,-236.15607676309563,,,-136.896004654999,,,upstairs,michal
1674934073831634800,-235.9968512426161,-136.9083987652879,-173.7036208390766,323.4368119764821,-235.9968512426161,-236.15607676309563,,-235.9968512426161,-236.15607676309563,,-136.9083987652879,-136.896004654999,,upstairs,michal
1674934073841634800,-236.2881524873524,-136.8474212724444,-173.81236115734075,323.682011557476,-236.2881524873524,-235.9968512426161,-236.15607676309563,-236.2881524873524,-235.9968512426161,-236.15607676309563,-136.8474212724444,-136.9083987652879,-136.896004654999,upstairs,michal
1674934073851634800,-236.36277923267852,-136.88398803046272,-173.88657905178206,323.79180341702823,-236.36277923267852,-236.2881524873524,-235.9968512426161,-236.36277923267852,-236.2881524873524,-235.9968512426161,-136.88398803046272,-136.8474212724444,-136.9083987652879,upstairs,michal
1674934073861634800,-236.3025038109229,-136.88400268554688,-173.83781860730898,323.72162528424894,-236.3025038109229,-236.36277923267852,-236.2881524873524,-236.3025038109229,-236.36277923267852,-236.2881524873524,-136.88400268554688,-136.88398803046272,-136.8474212724444,upstairs,michal
1674934073871634800,-236.2408152589895,-136.94496764843447,-173.8621881079567,323.71547292668805,-236.2408152589895,-236.3025038109229,-236.36277923267852,-236.2408152589895,-236.3025038109229,-236.36277923267852,-136.94496764843447,-136.88400268554688,-136.88398803046272,upstairs,michal
1674934073881634800,-236.3134131331665,-136.9449920654297,-173.86219787597656,323.7684727219629,-236.3134131331665,-236.2408152589895,-236.3025038109229,-236.3134131331665,-236.2408152589895,-236.3025038109229,-136.9449920654297,-136.94496764843447,-136.88400268554688,upstairs,michal
1674934073891634800,-236.35059302868564,-136.90883077336468,-173.8502262011925,323.77389011306485,-236.35059302868564,-236.3134131331665,-236.2408152589895,-236.35059302868564,-236.3134131331665,-236.2408152589895,-136.90883077336468,-136.9449920654297,-136.94496764843447,upstairs,michal
1674934073901634800,-236.35060119628903,-136.87222016567054,-173.78902317656102,323.725556475837,-236.35060119628903,-236.35059302868564,-236.3134131331665,-236.35060119628903,-236.35059302868564,-236.3134131331665,-136.87222016567054,-136.90883077336468,-136.9449920654297,upstairs,michal
1674934073911634800,-236.5701025175089,-136.83519960848528,-173.82557739204026,323.8898217183042,-236.5701025175089,-236.35060119628903,-236.35059302868564,-236.5701025175089,-236.35060119628903,-236.35059302868564,-136.83519960848528,-136.87222016567054,-136.90883077336468,upstairs,michal
