time,x,y,z,mag,lagX0,lagX1,lagX2,lagX0.1,lagX1.1,lagX2.1,lagY0,lagY1,lagY2,activity,name
1674934736672980500,-230.98697657617492,-118.36521100774856,-181.07164928576367,316.4684007918924,-230.98697657617492,,,-230.98697657617492,,,-118.36521100774856,,,walking,michal
1674934736682980500,-231.2272128254763,-118.51411485399208,-180.76541624697896,316.52449365192405,-231.2272128254763,-230.98697657617492,,-231.2272128254763,-230.98697657617492,,-118.51411485399208,-118.36521100774856,,walking,michal
1674934736692980500,-231.46235979548857,-118.639361992924,-180.4182106657144,316.5451831192545,-231.46235979548857,-231.2272128254763,-230.98697657617492,-231.46235979548857,-231.2272128254763,-230.98697657617492,-118.639361992924,-118.51411485399208,-118.36521100774856,walking,michal
1674934736702980500,-231.70857961676165,-118.78135603238572,-179.9874144541852,316.53332489773044,-231.70857961676165,-231.46235979548857,-231.2272128254763,-231.70857961676165,-231.46235979548857,-231.2272128254763,-118.78135603238572,-118.639361992924,-118.51411485399208,walking,michal
1674934736712980500,-231.9134982633205,-118.9629184556743,-179.55726849692195,316.5072816133909,-231.9134982633205,-231.70857961676165,-231.46235979548857,-231.9134982633205,-231.70857961676165,-231.46235979548857,-118.9629184556743,-118.78135603238572,-118.639361992924,walking,michal
1674934736722980500,-231.9326713015047,-119.11032201410345,-178.90059667224426,316.2047695988159,-231.9326713015047,-231.9134982633205,-231.70857961676165,-231.9326713015047,-231.9134982633205,-231.70857961676165,-119.11032201410345,-118.9629184556743,-118.78135603238572,walking,michal
1674934736732980500,-231.9459569467984,-119.3146651022832,-178.211657360236,315.90237585608344,-231.9459569467984,-231.9326713015047,-231.9134982633205,-231.9459569467984,-231.9326713015047,-231.9134982633205,-119.3146651022832,-119.11032201410345,-118.9629184556743,walking,michal
1674934736742980500,-231.92739276115407,-119.46989428294285,-177.58314335126576,315.59332051784685,-231.92739276115407,-231.9459569467984,-231.9326713015047,-231.92739276115407,-231.9459569467984,-231.9326713015047,-119.46989428294285,-119.3146651022832,-119.11032201410345,walking,michal
1674934736752980500,-231.83107700172243,-119.58121281915086,-176.96986202730233,315.2199974447053,-231.83107700172243,-231.92739276115407,-231.9459569467984,-231.83107700172243,-231.92739276115407,-231.9459569467984,-119.58121281915086,-119.46989428294285,-119.3146651022832,walking,michal
1674934736762980500,-231.6688448051692,-119.5349843493176,-176.40542378669556,314.76648436280004,-231.6688448051692,-231.83107700172243,-231.92739276115407,-231.6688448051692,-231.83107700172243,-231.92739276115407,-119.5349843493176,-119.58121281915086,-119.46989428294285,walking,michal
1674934736772980500,-231.4307034484036,-119.42154404880216,-175.819969261993,314.2202050678968,-231.4307034484036,-231.6688448051692,-231.83107700172243,-231.4307034484036,-231.6688448051692,-231.83107700172243,-119.42154404880216,-119.5349843493176,-119.58121281915086,walking,michal
1674934736782980500,-231.20747227952955,-119.24757888953869,-175.27776201669042,313.68642649385663,-231.20747227952955,-231.4307034484036,-231.6688448051692,-231.20747227952955,-231.4307034484036,-231.6688448051692,-119.24757888953869,-119.42154404880216,-119.5349843493176,walking,michal
1674934736792980500,-230.99705638083944,-118.9971938056917,-174.73809677145542,313.1347547838671,-230.99705638083944,-231.20747227952955,-231.4307034484036,-230.99705638083944,-231.20747227952955,-231.4307034484036,-118.9971938056917,-119.24757888953869,-119.42154404880216,walking,michal
1674934736802980500,-230.82365757741485,-118.76699036736484,-174.41215130256285,312.7375216060994,-230.82365757741485,-230.99705638083944,-231.20747227952955,-230.82365757741485,-230.99705638083944,-231.20747227952955,-118.76699036736484,-118.9971938056917,-119.24757888953869,walking,michal
1674934736812980500,-230.640784015352,-118.43797603717115,-174.16273804550315,312.3385738945869,-230.640784015352,-230.82365757741485,-230.99705638083944,-230.640784015352,-230.82365757741485,-230.99705638083944,-118.43797603717115,-118.76699036736484,-118.9971938056917,walking,michal
1674934736822980500,-230.4798428459558,-118.08296032961128,-173.93136459338226,311.95618773766466,-230.4798428459558,-230.640784015352,-230.82365757741485,-230.4798428459558,-230.640784015352,-230.82365757741485,-118.08296032961128,-118.43797603717115,-118.76699036736484,walking,michal
1674934736832980500,-230.32204001976424,-117.74771870413603,-173.8319477153981,311.65736542784146,-230.32204001976424,-230.4798428459558,-230.640784015352,-230.32204001976424,-230.4798428459558,-230.640784015352,-117.74771870413603,-118.08296032961128,-118.43797603717115,walking,michal
