time,x,y,z,mag,lagX0,lagX1,lagX2,lagX0.1,lagX1.1,lagX2.1,lagY0,lagY1,lagY2,activity,name
1672933396137567200,-330.2880859375,-123.50259399414062,-91.99415588378906,364.425623622036,-330.2880859375,,,-330.2880859375,,,-123.50259399414062,,,jogging,wiktor
1672933396147567200,-330.2358077572118,-124.3093603804761,-92.3877816117066,364.7519814811067,-330.2358077572118,-330.2880859375,,-330.2358077572118,-330.2880859375,,-124.3093603804761,-123.50259399414062,,jogging,wiktor
1672933396157567200,-330.34341501508146,-125.39849112412202,-93.34951814691397,365.4663951149187,-330.34341501508146,-330.2358077572118,-330.2880859375,-330.34341501508146,-330.2358077572118,-330.2880859375,-125.39849112412202,-124.3093603804761,-123.50259399414062,jogging,wiktor
1672933396167567200,-329.3345005005323,-126.30654474883916,-93.86046909568653,364.9991015402475,-329.3345005005323,-330.34341501508146,-330.2358077572118,-329.3345005005323,-330.34341501508146,-330.2358077572118,-126.30654474883916,-125.39849112412202,-124.3093603804761,jogging,wiktor
1672933396177567200,-328.98903538222146,-127.19298748672207,-95.3615615681312,365.3842756499443,-328.98903538222146,-329.3345005005323,-330.34341501508146,-328.98903538222146,-329.3345005005323,-330.34341501508146,-127.19298748672207,-126.30654474883916,-125.39849112412202,jogging,wiktor
1672933396187567200,-328.93775371403416,-128.43078247674748,-96.8254555187937,366.1552683527114,-328.93775371403416,-328.98903538222146,-329.3345005005323,-328.93775371403416,-328.98903538222146,-329.3345005005323,-128.43078247674748,-127.19298748672207,-126.30654474883916,jogging,wiktor
1672933396197567200,-328.5695129814175,-129.249098841977,-98.33713346706944,366.5152742121797,-328.5695129814175,-328.93775371403416,-328.98903538222146,-328.5695129814175,-328.93775371403416,-328.98903538222146,-129.249098841977,-128.43078247674748,-127.19298748672207,jogging,wiktor
1672933396207567200,-328.68888745104454,-129.33623875675804,-99.752665521607,367.0352049439074,-328.68888745104454,-328.5695129814175,-328.93775371403416,-328.68888745104454,-328.5695129814175,-328.93775371403416,-129.33623875675804,-129.249098841977,-128.43078247674748,jogging,wiktor
1672933396217567200,-328.7061439202457,-129.77016620936212,-101.00607229817436,367.5462579458901,-328.7061439202457,-328.68888745104454,-328.5695129814175,-328.7061439202457,-328.68888745104454,-328.5695129814175,-129.77016620936212,-129.33623875675804,-129.249098841977,jogging,wiktor
1672933396227567200,-328.1509563336098,-129.58566150599924,-101.80304929841732,367.2047857218995,-328.1509563336098,-328.7061439202457,-328.68888745104454,-328.1509563336098,-328.7061439202457,-328.68888745104454,-129.58566150599924,-129.77016620936212,-129.33623875675804,jogging,wiktor
1672933396237567200,-328.66027994026484,-129.2472709174696,-102.58430531042276,367.7580404913658,-328.66027994026484,-328.1509563336098,-328.7061439202457,-328.66027994026484,-328.1509563336098,-328.7061439202457,-129.2472709174696,-129.58566150599924,-129.77016620936212,jogging,wiktor
1672933396247567200,-329.2222603141935,-129.14241061361025,-103.2190691234904,368.4009163074935,-329.2222603141935,-328.66027994026484,-328.1509563336098,-329.2222603141935,-328.66027994026484,-328.1509563336098,-129.14241061361025,-129.2472709174696,-129.58566150599924,jogging,wiktor
1672933396257567200,-328.541765171206,-129.08007765516334,-103.6193425623488,367.8835767771215,-328.541765171206,-329.2222603141935,-328.66027994026484,-328.541765171206,-329.2222603141935,-328.66027994026484,-129.08007765516334,-129.14241061361025,-129.2472709174696,jogging,wiktor
1672933396267567200,-329.0437415312182,-128.9074931254931,-102.79861776805971,368.04141266953343,-329.0437415312182,-328.541765171206,-329.2222603141935,-329.0437415312182,-328.541765171206,-329.2222603141935,-128.9074931254931,-129.08007765516334,-129.14241061361025,jogging,wiktor
1672933396277567200,-329.08467193680616,-128.70244456224685,-102.25395303211616,367.8544704781333,-329.08467193680616,-329.0437415312182,-328.541765171206,-329.08467193680616,-329.0437415312182,-328.541765171206,-128.70244456224685,-128.9074931254931,-129.08007765516334,jogging,wiktor
1672933396287567200,-329.568384372807,-128.6706173401503,-101.76219951905628,368.1399095395036,-329.568384372807,-329.08467193680616,-329.0437415312182,-329.568384372807,-329.08467193680616,-329.0437415312182,-128.6706173401503,-128.70244456224685,-128.9074931254931,jogging,wiktor
1672933396297567200,-329.5825744802479,-128.75526311604708,-101.60768862392824,368.1395300271458,-329.5825744802479,-329.568384372807,-329.08467193680616,-329.5825744802479,-329.568384372807,-329.08467193680616,-128.75526311604708,-128.6706173401503,-128.70244456224685,jogging,wiktor
1672933396307567200,-328.89380825303766,-128.73846793093256,-101.6968459833184,367.5418053981675,-328.89380825303766,-329.5825744802479,-329.568384372807,-328.89380825303766,-329.5825744802479,-329.568384372807,-128.73846793093256,-128.75526311604708,-128.6706173401503,jogging,wiktor
1672933396317567200,-328.8612260063337,-129.12475207675695,-101.78613508611036,367.6728503235461,-328.8612260063337,-328.89380825303766,-329.5825744802479,-328.8612260063337,-328.89380825303766,-329.5825744802479,-129.12475207675695,-128.73846793093256,-128.75526311604708,jogging,wiktor
1672933396327567200,-329.326253037346,-129.60933039405546,-102.23363605812084,368.38305580805127,-329.326253037346,-328.8612260063337,-328.89380825303766,-329.326253037346,-328.8612260063337,-328.89380825303766,-129.60933039405546,-129.12475207675695,-128.73846793093256,jogging,wiktor
1672933396337567200,-329.01151226932046,-129.3886856613281,-102.72473127927464,368.1608039964472,-329.01151226932046,-329.326253037346,-328.8612260063337,-329.01151226932046,-329.326253037346,-328.8612260063337,-129.3886856613281,-129.60933039405546,-129.12475207675695,jogging,wiktor
1672933396347567200,-328.44137572609304,-129.07111123696643,-103.09392511820032,367.6430965502699,-328.44137572609304,-329.01151226932046,-329.326253037346,-328.44137572609304,-329.01151226932046,-329.326253037346,-129.07111123696643,-129.3886856613281,-129.60933039405546,jogging,wiktor
1672933396357567200,-328.5896146968998,-129.00772583624644,-103.2524571826184,367.7977679735776,-328.5896146968998,-328.44137572609304,-329.01151226932046,-328.5896146968998,-328.44137572609304,-329.01151226932046,-129.00772583624644,-129.07111123696643,-129.3886856613281,jogging,wiktor
1672933396367567200,-328.66185419702686,-129.11871455668256,-103.69442821933602,368.0255307675445,-328.66185419702686,-328.5896146968998,-328.44137572609304,-328.66185419702686,-328.5896146968998,-328.44137572609304,-129.11871455668256,-129.00772583624644,-129.07111123696643,jogging,wiktor
1672933396377567200,-328.86293678465006,-129.2354639538758,-103.77779912870746,368.2695587826893,-328.86293678465006,-328.66185419702686,-328.5896146968998,-328.86293678465006,-328.66185419702686,-328.5896146968998,-129.2354639538758,-129.11871455668256,-129.00772583624644,jogging,wiktor
1672933396387567200,-328.8592047347247,-129.24626336136686,-103.5247152659639,368.1987775679467,-328.8592047347247,-328.86293678465006,-328.66185419702686,-328.8592047347247,-328.86293678465006,-328.66185419702686,-129.24626336136686,-129.2354639538758,-129.11871455668256,jogging,wiktor
1672933396397567200,-328.2895816368129,-129.57103479783865,-103.45509417061162,367.7847998214533,-328.2895816368129,-328.8592047347247,-328.86293678465006,-328.2895816368129,-328.8592047347247,-328.86293678465006,-129.57103479783865,-129.24626336136686,-129.2354639538758,jogging,wiktor
1672933396407567200,-328.0201612611357,-129.6239472142087,-103.91332780902414,367.69222670804334,-328.0201612611357,-328.2895816368129,-328.8592047347247,-328.0201612611357,-328.2895816368129,-328.8592047347247,-129.6239472142087,-129.57103479783865,-129.24626336136686,jogging,wiktor
1672933396417567200,-328.1631897395516,-129.81927904385822,-104.2586683730771,367.986404969574,-328.1631897395516,-328.0201612611357,-328.2895816368129,-328.1631897395516,-328.0201612611357,-328.2895816368129,-129.81927904385822,-129.6239472142087,-129.57103479783865,jogging,wiktor
