time,x,y,z,mag,lagX0,lagX1,lagX2,lagX0.1,lagX1.1,lagX2.1,lagY0,lagY1,lagY2,activity,name
1671725090486060800,-333.533099319053,-91.1537910417562,-98.78825631145818,359.60041928189656,-333.533099319053,,,-333.533099319053,,,-91.1537910417562,,,sitting,wiktor
1671725090496060800,-333.525709493081,-91.04715415873746,-98.74723607279638,359.5552805971351,-333.525709493081,-333.533099319053,,-333.525709493081,-333.533099319053,,-91.04715415873746,-91.1537910417562,,sitting,wiktor
1671725090506060800,-333.2557384819196,-91.07812186326008,-98.79959292966088,359.3271087412347,-333.2557384819196,-333.525709493081,-333.533099319053,-333.2557384819196,-333.525709493081,-333.533099319053,-91.07812186326008,-91.04715415873746,-91.1537910417562,sitting,wiktor
1671725090516060800,-333.1122440312601,-90.9583587454781,-98.40461030739944,359.05522900936006,-333.1122440312601,-333.2557384819196,-333.525709493081,-333.1122440312601,-333.2557384819196,-333.525709493081,-90.9583587454781,-91.07812186326008,-91.04715415873746,sitting,wiktor
1671725090526060800,-333.3495001706208,-91.10976142034797,-98.12636494962318,359.2376113219523,-333.3495001706208,-333.1122440312601,-333.2557384819196,-333.3495001706208,-333.1122440312601,-333.2557384819196,-91.10976142034797,-90.9583587454781,-91.07812186326008,sitting,wiktor
1671725090536060800,-333.0266558281607,-91.1117643347506,-98.05466364764445,358.9189660011463,-333.0266558281607,-333.3495001706208,-333.1122440312601,-333.0266558281607,-333.3495001706208,-333.1122440312601,-91.1117643347506,-91.10976142034797,-90.9583587454781,sitting,wiktor
1671725090546060800,-333.3281371730227,-91.00475805589213,-98.06868278993208,359.1754161467641,-333.3281371730227,-333.0266558281607,-333.3495001706208,-333.3281371730227,-333.0266558281607,-333.3495001706208,-91.00475805589213,-91.1117643347506,-91.10976142034797,sitting,wiktor
1671725090556060800,-333.4354460334088,-91.03225302785437,-98.12416475037476,359.297118650824,-333.4354460334088,-333.3281371730227,-333.0266558281607,-333.4354460334088,-333.3281371730227,-333.0266558281607,-91.03225302785437,-91.00475805589213,-91.1117643347506,sitting,wiktor
1671725090566060800,-333.34702603246353,-91.08126347771548,-98.01071744492344,359.19651592889034,-333.34702603246353,-333.4354460334088,-333.3281371730227,-333.34702603246353,-333.4354460334088,-333.3281371730227,-91.08126347771548,-91.03225302785437,-91.00475805589213,sitting,wiktor
1671725090576060800,-333.3835420207536,-90.97682840391109,-97.95355391433148,359.18834630481274,-333.3835420207536,-333.34702603246353,-333.4354460334088,-333.3835420207536,-333.34702603246353,-333.4354460334088,-90.97682840391109,-91.08126347771548,-91.03225302785437,sitting,wiktor
1671725090586060800,-333.26822902083745,-91.0067434817495,-98.2202083060117,359.1617311929469,-333.26822902083745,-333.3835420207536,-333.34702603246353,-333.26822902083745,-333.3835420207536,-333.34702603246353,-91.0067434817495,-90.97682840391109,-91.08126347771548,sitting,wiktor
1671725090596060800,-333.2312482497587,-90.97563880218316,-98.46552429659668,359.186707911862,-333.2312482497587,-333.26822902083745,-333.3835420207536,-333.2312482497587,-333.26822902083745,-333.3835420207536,-90.97563880218316,-91.0067434817495,-90.97682840391109,sitting,wiktor
1671725090606060800,-333.52920539298424,-90.93344956849718,-98.37740077366894,359.4283462437054,-333.52920539298424,-333.2312482497587,-333.26822902083745,-333.52920539298424,-333.2312482497587,-333.26822902083745,-90.93344956849718,-90.97563880218316,-91.0067434817495,sitting,wiktor
1671725090616060800,-333.30012042886244,-90.950532595652,-98.40045376719316,359.22641740122134,-333.30012042886244,-333.52920539298424,-333.2312482497587,-333.30012042886244,-333.52920539298424,-333.2312482497587,-90.950532595652,-90.93344956849718,-90.97563880218316,sitting,wiktor
1671725090626060800,-333.19042655373283,-91.04172651864924,-98.6301598921985,359.21075256027007,-333.19042655373283,-333.30012042886244,-333.52920539298424,-333.19042655373283,-333.30012042886244,-333.52920539298424,-91.04172651864924,-90.950532595652,-90.93344956849718,sitting,wiktor
1671725090636060800,-333.4582653804623,-91.03389181092145,-98.55753872872135,359.43730002470915,-333.4582653804623,-333.19042655373283,-333.30012042886244,-333.4582653804623,-333.19042655373283,-333.30012042886244,-91.03389181092145,-91.04172651864924,-90.950532595652,sitting,wiktor
1671725090646060800,-333.2797105440825,-91.17724130256794,-98.72349051734513,359.35356179092264,-333.2797105440825,-333.4582653804623,-333.19042655373283,-333.2797105440825,-333.4582653804623,-333.19042655373283,-91.17724130256794,-91.03389181092145,-91.04172651864924,sitting,wiktor
1671725090656060800,-333.031038426688,-91.18108619412553,-98.81219865118852,359.1483170465659,-333.031038426688,-333.2797105440825,-333.4582653804623,-333.031038426688,-333.2797105440825,-333.4582653804623,-91.18108619412553,-91.17724130256794,-91.03389181092145,sitting,wiktor
