time,x,y,z,mag,lagX0,lagX1,lagX2,lagX0.1,lagX1.1,lagX2.1,lagY0,lagY1,lagY2,activity,name
1671728569071418600,-349.5197448730469,-75.64241027832031,-73.39131164550781,365.0645297942291,-349.5197448730469,,,-349.5197448730469,,,-75.64241027832031,,,sitting,wiktor
1671728569081418600,-349.3713585830801,-75.27711314781529,-73.35758144361813,364.8401358366609,-349.3713585830801,-349.5197448730469,,-349.3713585830801,-349.5197448730469,,-75.27711314781529,-75.64241027832031,,sitting,wiktor
1671728569091418600,-349.5162600388796,-75.78264131822654,-73.12318788055123,365.03647127725066,-349.5162600388796,-349.3713585830801,-349.5197448730469,-349.5162600388796,-349.3713585830801,-349.5197448730469,-75.78264131822654,-75.27711314781529,-75.64241027832031,sitting,wiktor
1671728569101418600,-349.8144906260886,-75.74258223821163,-73.14073808774552,365.3172377319776,-349.8144906260886,-349.5162600388796,-349.3713585830801,-349.8144906260886,-349.5162600388796,-349.3713585830801,-75.74258223821163,-75.78264131822654,-75.27711314781529,sitting,wiktor
1671728569111418600,-349.7229194299913,-75.84856254440427,-73.07224913278324,365.23783813840015,-349.7229194299913,-349.8144906260886,-349.5162600388796,-349.7229194299913,-349.8144906260886,-349.5162600388796,-75.84856254440427,-75.74258223821163,-75.78264131822654,sitting,wiktor
1671728569121418600,-349.53585750401754,-76.04109448668825,-73.05935184528917,365.0961963974098,-349.53585750401754,-349.7229194299913,-349.8144906260886,-349.53585750401754,-349.7229194299913,-349.8144906260886,-76.04109448668825,-75.84856254440427,-75.74258223821163,sitting,wiktor
1671728569131418600,-349.4115259946347,-75.78603230293936,-73.00477375065262,364.91318718361686,-349.4115259946347,-349.53585750401754,-349.7229194299913,-349.4115259946347,-349.53585750401754,-349.7229194299913,-75.78603230293936,-76.04109448668825,-75.84856254440427,sitting,wiktor
1671728569141418600,-349.47121069917034,-75.9343846223807,-73.2612299272837,365.0525519510608,-349.47121069917034,-349.4115259946347,-349.53585750401754,-349.47121069917034,-349.4115259946347,-349.53585750401754,-75.9343846223807,-75.78603230293936,-76.04109448668825,sitting,wiktor
1671728569151418600,-349.7749899659211,-76.09222527857101,-73.17153368778942,365.3582402187315,-349.7749899659211,-349.47121069917034,-349.4115259946347,-349.7749899659211,-349.47121069917034,-349.4115259946347,-76.09222527857101,-75.9343846223807,-75.78603230293936,sitting,wiktor
1671728569161418600,-349.58325829131,-75.8382905246943,-73.02868051424376,365.09326064024816,-349.58325829131,-349.7749899659211,-349.47121069917034,-349.58325829131,-349.7749899659211,-349.47121069917034,-75.8382905246943,-76.09222527857101,-75.9343846223807,sitting,wiktor
