time,x,y,z,mag,lagX0,lagX1,lagX2,lagX0.1,lagX1.1,lagX2.1,lagY0,lagY1,lagY2,activity,name
1673359316090543600,-353.9412536621094,-86.50689697265625,-108.43304443359376,380.152047729433,-353.9412536621094,,,-353.9412536621094,,,-86.50689697265625,,,standing,wiktor
1673359316100543600,-354.5372814756727,-86.32677276542137,-108.36351168576044,380.6463533479902,-354.5372814756727,-353.9412536621094,,-354.5372814756727,-353.9412536621094,,-86.32677276542137,-86.50689697265625,,standing,wiktor
1673359316110543600,-353.9451260024957,-86.70413264981372,-108.82282437151606,380.3119324234685,-353.9451260024957,-354.5372814756727,-353.9412536621094,-353.9451260024957,-354.5372814756727,-353.9412536621094,-86.70413264981372,-86.32677276542137,-86.50689697265625,standing,wiktor
1673359316120543600,-354.38379986148976,-87.19889762146576,-109.41726342319224,381.0034945846134,-354.38379986148976,-353.9451260024957,-354.5372814756727,-354.38379986148976,-353.9451260024957,-354.5372814756727,-87.19889762146576,-86.70413264981372,-86.32677276542137,standing,wiktor
1673359316130543600,-354.2718842811243,-87.55806417149738,-109.35647929671036,380.9643318707544,-354.2718842811243,-354.38379986148976,-353.9451260024957,-354.2718842811243,-354.38379986148976,-353.9451260024957,-87.55806417149738,-87.19889762146576,-86.70413264981372,standing,wiktor
1673359316140543600,-354.2256604933492,-87.8846021242864,-109.9886958915278,381.17848190370427,-354.2256604933492,-354.2718842811243,-354.38379986148976,-354.2256604933492,-354.2718842811243,-354.38379986148976,-87.8846021242864,-87.55806417149738,-87.19889762146576,standing,wiktor
1673359316150543600,-354.8465484945314,-87.98955395039113,-110.14074658264336,381.8235438532473,-354.8465484945314,-354.2256604933492,-354.2718842811243,-354.8465484945314,-354.2256604933492,-354.2718842811243,-87.98955395039113,-87.8846021242864,-87.55806417149738,standing,wiktor
1673359316160543600,-354.64544695404004,-88.50604501852962,-110.74535173996352,381.9309439965045,-354.64544695404004,-354.8465484945314,-354.2256604933492,-354.64544695404004,-354.8465484945314,-354.2256604933492,-88.50604501852962,-87.98955395039113,-87.8846021242864,standing,wiktor
1673359316170543600,-354.7031618374639,-88.87854656525339,-111.18738988584025,382.199378239515,-354.7031618374639,-354.64544695404004,-354.8465484945314,-354.7031618374639,-354.64544695404004,-354.8465484945314,-88.87854656525339,-88.50604501852962,-87.98955395039113,standing,wiktor
1673359316180543600,-354.57910061863885,-89.55506271219089,-111.57137784704008,382.3540508580944,-354.57910061863885,-354.7031618374639,-354.64544695404004,-354.57910061863885,-354.7031618374639,-354.64544695404004,-89.55506271219089,-88.87854656525339,-88.50604501852962,standing,wiktor
1673359316190543600,-355.0185170009542,-90.36291742977323,-111.7862280288337,383.01405331513786,-355.0185170009542,-354.57910061863885,-354.7031618374639,-355.0185170009542,-354.57910061863885,-354.7031618374639,-90.36291742977323,-89.55506271219089,-88.87854656525339,standing,wiktor
1673359316200543600,-354.74227055141046,-90.87747439997764,-111.929724568044,382.921737579844,-354.74227055141046,-355.0185170009542,-354.57910061863885,-354.74227055141046,-355.0185170009542,-354.57910061863885,-90.87747439997764,-90.36291742977323,-89.55506271219089,standing,wiktor
1673359316210543600,-354.4302171035708,-91.38528682274276,-112.19870767140058,382.8323385594426,-354.4302171035708,-354.74227055141046,-355.0185170009542,-354.4302171035708,-354.74227055141046,-355.0185170009542,-91.38528682274276,-90.87747439997764,-90.36291742977323,standing,wiktor
1673359316220543600,-354.14760096314217,-91.61960791855942,-112.9635712812659,382.85172620704896,-354.14760096314217,-354.4302171035708,-354.74227055141046,-354.14760096314217,-354.4302171035708,-354.74227055141046,-91.61960791855942,-91.38528682274276,-90.87747439997764,standing,wiktor
1673359316230543600,-354.72401256150624,-92.1119166883651,-113.87600938977744,383.77268766586377,-354.72401256150624,-354.14760096314217,-354.4302171035708,-354.72401256150624,-354.14760096314217,-354.4302171035708,-92.1119166883651,-91.61960791855942,-91.38528682274276,standing,wiktor
1673359316240543600,-354.81963033091085,-92.1254439172504,-115.02204625707957,384.2058544716366,-354.81963033091085,-354.72401256150624,-354.14760096314217,-354.81963033091085,-354.72401256150624,-354.14760096314217,-92.1254439172504,-92.1119166883651,-91.61960791855942,standing,wiktor
