time,x,y,z,mag,lagX0,lagX1,lagX2,lagX0.1,lagX1.1,lagX2.1,lagY0,lagY1,lagY2,activity,name
1672662358299623700,-331.9537353515625,-107.41769409179688,-89.06227111816406,360.08878287802776,-331.9537353515625,,,-331.9537353515625,,,-107.41769409179688,,,walking,wiktor
1672662358309623700,-332.6431093326853,-107.99189149183982,-90.48301778420372,361.2490322780653,-332.6431093326853,-331.9537353515625,,-332.6431093326853,-331.9537353515625,,-107.99189149183982,-107.41769409179688,,walking,wiktor
1672662358319623700,-332.7858587518172,-108.62581316208006,-91.09398200737571,361.72380157831424,-332.7858587518172,-332.6431093326853,-331.9537353515625,-332.7858587518172,-332.6431093326853,-331.9537353515625,-108.62581316208006,-107.99189149183982,-107.41769409179688,walking,wiktor
1672662358329623700,-332.9784063683796,-109.37612402804707,-92.20183992119064,362.4071396921939,-332.9784063683796,-332.7858587518172,-332.6431093326853,-332.9784063683796,-332.7858587518172,-332.6431093326853,-109.37612402804707,-108.62581316208006,-107.99189149183982,walking,wiktor
1672662358339623700,-332.61911079352507,-109.765774554633,-92.77747929599924,362.34190869008427,-332.61911079352507,-332.9784063683796,-332.7858587518172,-332.61911079352507,-332.9784063683796,-332.7858587518172,-109.765774554633,-109.37612402804707,-108.62581316208006,walking,wiktor
1672662358349623700,-332.6244476338282,-109.95514797381972,-93.19882177050728,362.5123144240271,-332.6244476338282,-332.61911079352507,-332.9784063683796,-332.6244476338282,-332.61911079352507,-332.9784063683796,-109.95514797381972,-109.765774554633,-109.37612402804707,walking,wiktor
1672662358359623700,-332.3323517640992,-109.90605713294188,-93.74246867278237,362.3696784451399,-332.3323517640992,-332.6244476338282,-332.61911079352507,-332.3323517640992,-332.6244476338282,-332.61911079352507,-109.90605713294188,-109.95514797381972,-109.765774554633,walking,wiktor
1672662358369623700,-332.4540081816918,-110.14453617939444,-94.04162055600028,362.63109740209137,-332.4540081816918,-332.3323517640992,-332.6244476338282,-332.4540081816918,-332.3323517640992,-332.6244476338282,-110.14453617939444,-109.90605713294188,-109.95514797381972,walking,wiktor
1672662358379623700,-332.3846102147382,-110.1538429205094,-94.2486047743244,362.6240445966959,-332.3846102147382,-332.4540081816918,-332.3323517640992,-332.3846102147382,-332.4540081816918,-332.3323517640992,-110.1538429205094,-110.14453617939444,-109.90605713294188,walking,wiktor
1672662358389623700,-332.7197153825711,-110.0409015102586,-94.11833020176653,362.8631547696987,-332.7197153825711,-332.3846102147382,-332.4540081816918,-332.7197153825711,-332.3846102147382,-332.4540081816918,-110.0409015102586,-110.1538429205094,-110.14453617939444,walking,wiktor
1672662358399623700,-332.4518235214474,-109.6065803081918,-94.2191513877803,362.5121596551282,-332.4518235214474,-332.7197153825711,-332.3846102147382,-332.4518235214474,-332.7197153825711,-332.3846102147382,-109.6065803081918,-110.0409015102586,-110.1538429205094,walking,wiktor
