time,x,y,z,mag,lagX0,lagX1,lagX2,lagX0.1,lagX1.1,lagX2.1,lagY0,lagY1,lagY2,activity,name
1672662228092274200,-330.41278076171875,-104.21380615234376,-85.73648071289062,356.90876594513867,-330.41278076171875,,,-330.41278076171875,,,-104.21380615234376,,,walking,wiktor
1672662228102274200,-331.3883339927429,-105.16901147194372,-86.95998569893545,358.38636691876354,-331.3883339927429,-330.41278076171875,,-331.3883339927429,-330.41278076171875,,-105.16901147194372,-104.21380615234376,,walking,wiktor
1672662228112274200,-331.15494647635643,-105.29937802127228,-87.03830717131585,358.2278946462344,-331.15494647635643,-331.3883339927429,-330.41278076171875,-331.15494647635643,-331.3883339927429,-330.41278076171875,-105.29937802127228,-105.16901147194372,-104.21380615234376,walking,wiktor
1672662228122274200,-332.1324102560907,-105.83987238391876,-88.3362209061687,359.6071529499209,-332.1324102560907,-331.15494647635643,-331.3883339927429,-332.1324102560907,-331.15494647635643,-331.3883339927429,-105.83987238391876,-105.29937802127228,-105.16901147194372,walking,wiktor
1672662228132274200,-331.81226595595484,-106.19342307952182,-88.1873702648659,359.37923593107627,-331.81226595595484,-332.1324102560907,-331.15494647635643,-331.81226595595484,-332.1324102560907,-331.15494647635643,-106.19342307952182,-105.83987238391876,-105.29937802127228,walking,wiktor
1672662228142274200,-332.4864187633106,-106.3084662753648,-88.66729475541179,360.15357533018465,-332.4864187633106,-331.81226595595484,-332.1324102560907,-332.4864187633106,-331.81226595595484,-332.1324102560907,-106.3084662753648,-106.19342307952182,-105.83987238391876,walking,wiktor
1672662228152274200,-331.5205761745442,-106.46743643938068,-88.99044188301158,359.38907356180016,-331.5205761745442,-332.4864187633106,-331.81226595595484,-331.5205761745442,-332.4864187633106,-331.81226595595484,-106.46743643938068,-106.3084662753648,-106.19342307952182,walking,wiktor
1672662228162274200,-332.0927338535456,-106.6495203439309,-89.05821633739484,359.9875969601045,-332.0927338535456,-331.5205761745442,-332.4864187633106,-332.0927338535456,-331.5205761745442,-332.4864187633106,-106.6495203439309,-106.46743643938068,-106.3084662753648,walking,wiktor
1672662228172274200,-332.09742881390946,-106.05682817111447,-88.98665874720047,359.7990806846478,-332.09742881390946,-332.0927338535456,-331.5205761745442,-332.09742881390946,-332.0927338535456,-331.5205761745442,-106.05682817111447,-106.6495203439309,-106.46743643938068,walking,wiktor
1672662228182274200,-332.5626550074363,-106.07917139356432,-89.30520220919051,360.3139315246702,-332.5626550074363,-332.09742881390946,-332.0927338535456,-332.5626550074363,-332.09742881390946,-332.0927338535456,-106.07917139356432,-106.05682817111447,-106.6495203439309,walking,wiktor
1672662228192274200,-332.01765916106484,-105.25669120878749,-89.42316942536536,359.5986655552168,-332.01765916106484,-332.5626550074363,-332.09742881390946,-332.01765916106484,-332.5626550074363,-332.09742881390946,-105.25669120878749,-106.07917139356432,-106.05682817111447,walking,wiktor
1672662228202274200,-332.8947370547901,-104.83083048140394,-90.06952812396118,360.44545894583234,-332.8947370547901,-332.01765916106484,-332.5626550074363,-332.8947370547901,-332.01765916106484,-332.5626550074363,-104.83083048140394,-105.25669120878749,-106.07917139356432,walking,wiktor
1672662228212274200,-332.2898919482014,-104.28909626747024,-90.02972940649266,359.7195297287031,-332.2898919482014,-332.8947370547901,-332.01765916106484,-332.2898919482014,-332.8947370547901,-332.01765916106484,-104.28909626747024,-104.83083048140394,-105.25669120878749,walking,wiktor
1672662228222274200,-332.9382835240156,-104.13862118347036,-91.21688272618192,360.573533072235,-332.9382835240156,-332.2898919482014,-332.8947370547901,-332.9382835240156,-332.2898919482014,-332.8947370547901,-104.13862118347036,-104.28909626747024,-104.83083048140394,walking,wiktor
1672662228232274200,-332.6897653403419,-103.77398395135702,-91.6087837584309,360.3382979493677,-332.6897653403419,-332.9382835240156,-332.2898919482014,-332.6897653403419,-332.9382835240156,-332.2898919482014,-103.77398395135702,-104.13862118347036,-104.28909626747024,walking,wiktor
1672662228242274200,-333.61622314408567,-103.76467788925552,-91.84358894619594,361.2507959200964,-333.61622314408567,-332.6897653403419,-332.9382835240156,-333.61622314408567,-332.6897653403419,-332.9382835240156,-103.76467788925552,-103.77398395135702,-104.13862118347036,walking,wiktor
1672662228252274200,-333.0468725928591,-103.38716638782032,-92.2709082302426,360.7257213219218,-333.0468725928591,-333.61622314408567,-332.6897653403419,-333.0468725928591,-333.61622314408567,-332.6897653403419,-103.38716638782032,-103.76467788925552,-103.77398395135702,walking,wiktor
1672662228262274200,-333.976458306728,-103.32033509090624,-93.21350374394208,361.80674900646153,-333.976458306728,-333.0468725928591,-333.61622314408567,-333.976458306728,-333.0468725928591,-333.61622314408567,-103.32033509090624,-103.38716638782032,-103.76467788925552,walking,wiktor
1672662228272274200,-332.9001276724076,-103.05683171444136,-94.26400922600152,361.0109541311505,-332.9001276724076,-333.976458306728,-333.0468725928591,-332.9001276724076,-333.976458306728,-333.0468725928591,-103.05683171444136,-103.32033509090624,-103.38716638782032,walking,wiktor
1672662228282274200,-333.6826252758113,-103.15813933610066,-95.83591843816993,362.1742942080945,-333.6826252758113,-332.9001276724076,-333.976458306728,-333.6826252758113,-332.9001276724076,-333.976458306728,-103.15813933610066,-103.05683171444136,-103.32033509090624,walking,wiktor
1672662228292274200,-333.6760043050045,-103.28387856945557,-96.80848826935672,362.4625757541068,-333.6760043050045,-333.6826252758113,-332.9001276724076,-333.6760043050045,-333.6826252758113,-332.9001276724076,-103.28387856945557,-103.15813933610066,-103.05683171444136,walking,wiktor
1672662228302274200,-333.8296634975574,-103.97840069499163,-98.36854123893944,363.2218632564092,-333.8296634975574,-333.6760043050045,-333.6826252758113,-333.8296634975574,-333.6760043050045,-333.6826252758113,-103.97840069499163,-103.28387856945557,-103.15813933610066,walking,wiktor
1672662228312274200,-333.6915486008912,-104.44479579023144,-99.16095082728778,363.44416234725225,-333.6915486008912,-333.8296634975574,-333.6760043050045,-333.6915486008912,-333.8296634975574,-333.6760043050045,-104.44479579023144,-103.97840069499163,-103.28387856945557,walking,wiktor
1672662228322274200,-334.3272335068271,-104.60631146782154,-101.1304679921301,364.6156209209071,-334.3272335068271,-333.6915486008912,-333.8296634975574,-334.3272335068271,-333.6915486008912,-333.8296634975574,-104.60631146782154,-104.44479579023144,-103.97840069499163,walking,wiktor
1672662228332274200,-333.5797571788001,-104.6418079072836,-101.95514216448198,364.17058279788586,-333.5797571788001,-334.3272335068271,-333.6915486008912,-333.5797571788001,-334.3272335068271,-333.6915486008912,-104.6418079072836,-104.60631146782154,-104.44479579023144,walking,wiktor
1672662228342274200,-334.29978213224047,-105.01366832193762,-104.24055370086388,365.5821493234537,-334.29978213224047,-333.5797571788001,-334.3272335068271,-334.29978213224047,-333.5797571788001,-334.3272335068271,-105.01366832193762,-104.6418079072836,-104.60631146782154,walking,wiktor
1672662228352274200,-333.541001835568,-105.16878146928644,-106.05202421811276,365.45465428965065,-333.541001835568,-334.29978213224047,-333.5797571788001,-333.541001835568,-334.29978213224047,-333.5797571788001,-105.16878146928644,-105.01366832193762,-104.6418079072836,walking,wiktor
