time,x,y,z,mag,lagX0,lagX1,lagX2,lagY0,lagY1,lagY2,lagZ0,lagZ1,lagZ2,activity,name
1672842696310193700,0.9006560444831848,-0.8815279006958008,1.87441635131836,2.25869639576878,0.9006560444831848,,,-0.8815279006958008,,,1.87441635131836,,,downstairs,wiktor
1672842696320193700,0.9830869147310288,-0.9911281239758456,2.1635928909418376,2.5748648581596103,0.9830869147310288,0.9006560444831848,,-0.9911281239758456,-0.8815279006958008,,2.1635928909418376,1.87441635131836,,downstairs,wiktor
1672842696330193700,1.0874195750656563,-1.3613815980243067,2.391705884164903,2.9590705000091173,1.0874195750656563,0.9830869147310288,0.9006560444831848,-1.3613815980243067,-0.9911281239758456,-0.8815279006958008,2.391705884164903,2.1635928909418376,1.87441635131836,downstairs,wiktor
1672842696340193700,1.1641893097700793,-1.7928276282142088,2.5323959795781223,3.3140001585477568,1.1641893097700793,1.0874195750656563,0.9830869147310288,-1.7928276282142088,-1.3613815980243067,-0.9911281239758456,2.5323959795781223,2.391705884164903,2.1635928909418376,downstairs,wiktor
1672842696350193700,1.1644729093701531,-2.049942504022176,2.5606902896163715,3.4807177687639768,1.1644729093701531,1.1641893097700793,1.0874195750656563,-2.049942504022176,-1.7928276282142088,-1.3613815980243067,2.5606902896163715,2.5323959795781223,2.391705884164903,downstairs,wiktor
1672842696360193700,1.032157689446602,-2.3464534900306484,2.349551767866183,3.4772959302659108,1.032157689446602,1.1644729093701531,1.1641893097700793,-2.3464534900306484,-2.049942504022176,-1.7928276282142088,2.349551767866183,2.5606902896163715,2.5323959795781223,downstairs,wiktor
1672842696370193700,0.9597997917290972,-2.6358908975134234,2.0479185247879235,3.4731983456127127,0.9597997917290972,1.032157689446602,1.1644729093701531,-2.6358908975134234,-2.3464534900306484,-2.049942504022176,2.0479185247879235,2.349551767866183,2.5606902896163715,downstairs,wiktor
1672842696380193700,1.1090147654802174,-2.590283203735419,1.9147654005384585,3.406729717002241,1.1090147654802174,0.9597997917290972,1.032157689446602,-2.590283203735419,-2.6358908975134234,-2.3464534900306484,1.9147654005384585,2.0479185247879235,2.349551767866183,downstairs,wiktor
1672842696390193700,1.373814967215931,-2.29117585631263,1.9421814351498647,3.302865891273397,1.373814967215931,1.1090147654802174,0.9597997917290972,-2.29117585631263,-2.590283203735419,-2.6358908975134234,1.9421814351498647,1.9147654005384585,2.0479185247879235,downstairs,wiktor
1672842696400193700,1.5798725720897002,-1.9529598720661188,2.0062662187321982,3.2148333932519475,1.5798725720897002,1.373814967215931,1.1090147654802174,-1.9529598720661188,-2.29117585631263,-2.590283203735419,2.0062662187321982,1.9421814351498647,1.9147654005384585,downstairs,wiktor
