time,q0,q1,q2,q3,activity,name
1672331657603706400,0.6456938296077235,-0.3402206223691164,-0.2618221861533208,-0.5480689058695617,lying,karol
1672331657613706400,0.6348125593377081,-0.3661781054558851,-0.2590859033306014,-0.5460705690231197,lying,karol
1672331657623706400,0.6231273564428815,-0.3923958888637816,-0.2559485462365655,-0.5435592735022267,lying,karol
1672331657633706400,0.6118415463341167,-0.4193853412605677,-0.2506915149024938,-0.5394758072931108,lying,karol
1672331657643706400,0.601374621625973,-0.4475679498091533,-0.242464443429474,-0.5332189465749645,lying,karol
1672331657653706400,0.5911166229897944,-0.4768270545830848,-0.2315534788012985,-0.5251305010601675,lying,karol
1672331657663706400,0.5810844799075018,-0.5068127122324919,-0.2180043243127626,-0.5150960296280902,lying,karol
1672331657673706400,0.5706559467995577,-0.5367023091781854,-0.2027200231789377,-0.5038423957553448,lying,karol
1672331657683706400,0.5588908670599373,-0.5656758860451744,-0.1870816292188706,-0.4925264089580686,lying,karol
1672331657693706400,0.5454163615163282,-0.5928695323995242,-0.1722865271492474,-0.4821443392838007,lying,karol
1672331657703706400,0.5300901368170658,-0.6172946043310492,-0.1600287753091164,-0.4737876898884357,lying,karol
1672331657713706400,0.5138046915127457,-0.6388971419492498,-0.1502333105896563,-0.4671396197636284,lying,karol
1672331657723706400,0.496524510795992,-0.6583023589684747,-0.1430632994350556,-0.4618923560326996,lying,karol
1672331657733706400,0.4792865898391805,-0.6763345491415439,-0.1370023872151409,-0.4565827876095558,lying,karol
1672331657743706400,0.4620649014280252,-0.6940436560100786,-0.1309775489966731,-0.4502217575573974,lying,karol
1672331657753706400,0.4439379489499381,-0.712320058748372,-0.1244015609682186,-0.4425413247024541,lying,karol
1672331657763706400,0.4238591915423655,-0.7313482682984217,-0.1168058753453968,-0.4341592100639292,lying,karol
1672331657773706400,0.4018501291873316,-0.750788613362385,-0.1080088605357456,-0.4252493550307703,lying,karol
1672331657783706400,0.3797151869504944,-0.7697775345153666,-0.0977573772236163,-0.4152814155666457,lying,karol
1672331657793706400,0.3609044939814764,-0.7868481561023428,-0.0859851966625451,-0.4037560964828666,lying,karol
